vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtB2;0;0;0;0
drtB15;4232.53;965.97;3266.57;965.97
drtB3;3820.42;2385.37;1435.04;2385.37
drtB16;28025.14;25477.58;2547.57;25477.58
drtB0;0;0;0;0
drtB1;39392.05;37346.58;2045.46;37346.58
drtB8;8678.16;4828.24;3849.93;4828.24
drtB9;0;0;0;0
drtB6;40614.82;38375.55;2239.28;38375.55
drtB7;3416.23;1440.59;1975.64;1440.59
drtB4;0;0;0;0
drtB5;4418.19;1737.96;2680.23;1737.96
drtB10;40081.93;38094.74;1987.19;38094.74
drtB11;0;0;0;0
drtB12;0;0;0;0
drtB13;0;0;0;0
drtB14;0;0;0;0
