departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
21015.0;31154061791-1;drtE37;120470563_0;383143.21;3946498.53;31236534_0;375951.05;3949059.57;147.0;22048.0;886.0;12366.56;12366.56;-10.66;21615;24750.08
22354.0;61375035592-1;drtE34;1026016077_0;365390.12;3941436.73;314246438_0;347001.84;3923150.79;237.0;26325.0;3734.0;34184.37;33973.11;-25.78;22954;34313.97
23420.0;42141004881-1;drtE15;166124858_1;348304.16;3921367.86;41907366_1;347172.41;3922534.4;360.0;24082.0;302.0;2180.31;2180.31;-3.53;24020;25507.04
24034.0;31123009881-2;drtE41;183554469_0_r;372884.43;3942784.02;43117642_2;374423.04;3942489.37;469.0;24811.0;308.0;1852.92;1852.92;-3.3;24634;26126.66
24274.0;42163016361-1;drtE10;150512966_0;355862.59;3927464.51;193632514_0;357849.27;3927025.2;136.0;24656.0;246.0;2626.37;2626.37;-3.84;24874;26208.4
24570.0;31046036711-1;drtE50;961252056_1;383807.7;3949461.11;961252052_0;384024.32;3949308.46;222.0;24893.0;101.0;597.89;597.89;-2.42;25170;26063.1
24625.0;32094007553-1;drtE13;144486625_1;360349.87;3933208.78;143581839_3;360632.03;3932616.79;113.0;24880.0;142.0;945.34;945.34;-2.66;25225;26241.23
24640.0;42167021043-1;drtE10;133369729_5;355282.23;3927767.03;162098899_1;357090.87;3923496.96;519.0;26605.0;1446.0;10387.88;6455.33;-6.52;25240;28077.29
24922.0;43613000842-1;drtE39;317374509_2;337199.86;3914140.8;204881585_13;336135.83;3916240.18;109.0;26347.0;1316.0;9810.49;3696.47;-4.59;25522;27587.62
24922.0;43613000841-1;drtE39;317374509_2;337199.86;3914140.8;204881585_13;336135.83;3916240.18;109.0;26347.0;1316.0;9810.49;3696.47;-4.59;25522;27587.62
24924.0;31124086071-1;drtE38;35206115_10;379277.59;3948028.41;40969752_1;385649.05;3948067.76;322.0;26698.0;1452.0;14083.81;7527.72;-7.27;25524;28123.85
25207.0;31155073602-1;drtE38;101968960_0;378017.77;3949525.37;45178116_0;379551.18;3948999.97;474.0;25965.0;284.0;2633.39;2633.39;-3.84;25807;27246.82
25233.0;42154006501-1;drtE10;313114359_0;354438.27;3926228.28;42372993_0;354244.5;3925855.61;436.0;25751.0;82.0;491.07;491.07;-2.35;25833;26676.14
25261.0;43614000813-1;drtE39;317379237_0;337574.02;3913427.24;166177967_1;349267.75;3919327.02;474.0;27858.0;2123.0;19598.91;17252.53;-14.08;25861;31455.75
25839.0;32093005203-1;drtE13;149986967_0_r;360841.12;3938448.34;549391606_1;359694.84;3937626.47;440.0;26562.0;283.0;2000.13;2000.13;-3.4;26439;27853.25
26424.0;31047055852-1;drtE23;149672905_1;383144.19;3950199.09;187032446_0;370130.89;3945470.21;105.0;27858.0;1329.0;15852.94;15852.94;-13.1;27024;31448.72
27024.0;42155010491-1;drtE29;848697060_0;353929.98;3924111.09;204660020_0;338501.78;3913042.85;371.0;29772.0;2377.0;22948.43;22948.43;-18.06;27624;35271.14
27315.0;32094006855-1;drtE13;150612626_1;359891.14;3937161.21;189330545_4;360318.07;3937267.7;151.0;27595.0;129.0;705.81;705.81;-2.49;27915;28797.19
27619.0;31123005983-1;drtE41;234062702_4;374532.78;3943615.32;42751203_0;374378.37;3942926.12;178.0;27967.0;170.0;1018.09;1018.09;-2.71;28219;29313.24
27734.0;42124010692-1;drtE12;172325796_4;350701.53;3925671.25;189853391_0;350068.04;3927528.04;185.0;28244.0;325.0;2304.09;2304.09;-3.61;28334;29862.21
28205.0;31157242091-1;drtE47;78520132_1;375627.09;3945912.16;40201269_0_r;373729.98;3950183.81;224.0;30043.0;1614.0;12654.26;6340.73;-6.44;28805;31215.33
28227.0;61372018172-1;drtE28;147372870_1;365077.98;3942069.88;275432900_0;368585.76;3940554.06;319.0;29589.0;1043.0;5468.7;5201.69;-5.64;28827;31751.91
28235.0;42062018564-1;drtE19;208840518_1;334565.65;3906423.42;208937256_7;334127.42;3906050.89;485.0;28855.0;135.0;802.88;802.88;-2.56;28835;29820.85
28526.0;42011033773-1;drtE10;200402784_0;355753.67;3924342.53;155590041_0;356166.39;3922823.63;122.0;29119.0;471.0;2157.11;2157.11;-3.51;29126;30666.32
28817.0;31123052443-1;drtE47;196481977_0;375787.21;3947422.87;651459781_0;375392.27;3948998.11;353.0;29588.0;418.0;2016.71;2016.71;-3.41;29417;30890.28
28828.0;31123012281-1;drtE41;211260269_4;372354.2;3944482.72;1039597960_0_r;373238.31;3943511.04;461.0;29439.0;150.0;1729.98;1729.98;-3.21;29428;30484.41
28835.0;31123057143-1;drtE8;42867513_13;375894.31;3943654.62;1137848409_0;374510.66;3943196.35;314.0;29441.0;292.0;1925.2;1925.2;-3.35;29435;30887.71
29347.0;61354041173-1;drtE28;132902105_1;368278.1;3940531.53;204128291_0_r;370086.46;3940698.61;127.0;30121.0;647.0;3477.42;2643.85;-3.85;29947;31731.47
29428.0;31154067231-1;drtE37;101852635_0_r;378240.97;3950177.22;932357983_0;378684.03;3948697.92;264.0;29900.0;208.0;2137.52;2137.52;-3.5;30028;31215.99
29446.0;31123071622-1;drtE5;282583335_1;374356.47;3946555.48;642281161_0_r;373842.94;3946828.58;217.0;29896.0;233.0;1402.25;1402.25;-2.98;30046;31315.28
29467.0;42141011141-1;drtE39;114916096_1;347399.53;3918820.84;47195913_3;347102.18;3921483.7;126.0;30399.0;806.0;4262.96;4262.96;-4.98;30067;32514.99
29738.0;31105009571-1;drtE2;196464957_0_r;381370.31;3946175.48;169800603_0;385387.73;3948677.44;219.0;30313.0;356.0;5183.8;5183.8;-5.63;30338;31901.26
29777.0;61363043951-1;drtE23;202423690_1;367337.82;3939771.5;971031996_0_r;367604.79;3939845.11;410.0;30243.0;56.0;410.39;410.39;-2.35;30377;31156.06
30627.0;42114002881-1;drtE29;205034081_1;338412.32;3915892.14;204762937_6;337244.8;3915880.71;579.0;31373.0;167.0;1285.5;1285.5;-2.9;31227;32318.05
31513.0;32083006502-1;drtE25;309220847_1;369564.61;3945363.5;26816145_0;370101.12;3945776.07;87.0;31745.0;145.0;897.2;897.2;-2.63;32113;33139.1
31520.0;31124081292-1;drtE26;31824941_1;379446.08;3946862.01;56252493_0_r;381773.77;3946286.89;147.0;32058.0;391.0;3580.29;3580.29;-4.51;32120;33842.57
31522.0;61352010841-1;drtE23;148322711_6;367055.94;3944628.09;203844633_0;367596.4;3944630.74;266.0;32029.0;241.0;625.66;625.66;-2.44;32122;33051.72
