runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;49;306.76;570;555;440;290;100;100;1044.96;13539.85;12747.92;1351.71;10.93;22;0.31
NA;2;82;322.33;616;559.9;419;306;98.78;100;1370.65;17386.64;14862.99;1692.98;12.41;38;0.32
NA;3;97;352.48;749;578.2;509;354;97.94;100;1226.73;15123.44;13286.97;1579.22;11.3;56;0.37
NA;4;119;362.02;624;588;499;378;98.32;100;1269.4;15280.7;12285.14;1631.42;10.6;62;0.34
NA;5;146;381.26;745;587.15;517.5;388;97.26;100;1266.12;15335.47;11619.95;1647.38;10.14;57;0.28
NA;6;139;377.41;787;608;504;392;92.81;100;1316.06;16238.31;12567.75;1693.47;10.8;68;0.33
NA;7;158;394.58;1070;636.6;519.25;414.5;94.94;98.73;1215.27;14535.36;11693.58;1609.85;10.19;77;0.33
NA;8;155;388.51;943;608.6;528;384;93.55;99.35;1095.52;13332.67;10467.28;1484.03;9.33;84;0.35
NA;9;164;386.68;783;606.5;511;389.5;93.9;100;1300.49;15634.21;11592.41;1687.16;10.12;94;0.36
NA;10;169;375.63;783;600;511;384;95.27;100;1228.18;14514.2;10423.23;1603.8;9.3;98;0.37
NA;11;174;371.91;723;599.5;510.25;367;95.4;100;1164.25;13676.46;10619.23;1536.16;9.44;107;0.38
NA;12;186;401.2;849;610.3;522.5;412.5;93.55;100;1254.45;14674.07;10625.17;1655.65;9.44;98;0.35
NA;13;192;388.22;701;600.45;514.75;401;95.31;100;1259.82;14797.86;11381.02;1648.04;9.97;95;0.33
NA;14;192;386.13;849;589;501;392.5;97.92;100;1233.72;15045.19;11099.21;1619.85;9.77;107;0.36
NA;15;200;384.39;794;608.75;502.5;391;94.5;100;1233.28;14725.25;10606.24;1617.68;9.43;116;0.37
NA;16;196;370.5;666;594;495;380.5;96.94;100;1431.98;17369.59;11543.32;1802.48;10.08;135;0.41
NA;17;201;374.85;687;605;511;371;93.53;100;1290.53;15586.42;10759.47;1665.37;9.53;129;0.39
NA;18;214;362.55;630;587;502;356.5;97.66;100;1420.54;16820.5;11265.49;1783.09;9.89;121;0.36
NA;19;208;368.71;660;591.95;504.5;365;95.67;100;1234.55;14887.56;10323.03;1603.26;9.23;125;0.38
NA;20;194;385.86;876;615.25;506.5;389.5;91.75;100;1199.94;14407.1;10233.29;1585.79;9.17;142;0.42
