runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;43;297.09;692;651.4;380;270;93.02;100;527.09;6584.52;5972.29;824.19;6.19;3;0.07
NA;2;80;288.81;717;617.65;358.25;260.5;93.75;100;462.12;5519.53;5182.45;750.94;5.64;2;0.02
NA;3;106;298.78;920;703;353.5;256;91.51;99.06;518.16;6209.13;5698.76;816.94;6;2;0.02
NA;4;133;292.49;781;638.8;353;264;91.73;100;557.34;6614.23;6053.6;849.83;6.25;2;0.01
NA;5;154;297.86;825;640.25;346.75;269.5;92.86;100;566.19;6592.39;5749.99;864.05;6.03;2;0.01
NA;6;163;313.5;915;725.4;384;273;92.64;99.39;559.14;6176.3;5526.63;872.64;5.88;2;0.01
NA;7;186;326.72;1048;767;396.75;293.5;91.94;99.46;625.27;7102.1;5979.87;951.99;6.19;2;0.01
NA;8;206;321.98;1002;706.95;399;298;91.75;99.03;567.28;6502.89;5863.76;889.26;6.11;1;0
NA;9;224;330.14;876;752;398.5;297.5;90.62;100;594.61;6643.65;5901.34;924.75;6.14;1;0
NA;10;241;335.64;1064;726.7;410;294;89.21;98.34;647.1;7194.1;6037.95;982.74;6.23;1;0
NA;11;244;324.66;1015;720.25;408.75;284.5;92.21;99.18;618.55;6888.97;5955.5;943.2;6.17;1;0
NA;12;232;312.5;890;760.35;379.5;261.5;91.38;100;610.21;6934.9;6071.4;922.71;6.25;1;0
NA;13;229;334.97;936;745.5;437.5;273;88.65;99.13;655.14;7595.18;6456.19;990.1;6.52;1;0
NA;14;226;318.23;882;737.15;396.75;263.5;88.5;100;623.92;7321.5;6206.35;942.15;6.35;0;0
NA;15;214;331.13;1339;766.75;415;276.5;86.92;98.6;630.71;7222.81;6255.89;961.84;6.38;1;0
NA;16;216;326.97;955;761.5;414.5;259;88.43;98.61;647.48;7543.57;6430.73;974.45;6.5;1;0
NA;17;204;333.28;1058;733;414;284;87.75;99.51;633;7252.39;6357.82;966.28;6.45;2;0.01
NA;18;196;336.79;1172;805.85;405;276;86.73;98.47;666.16;7649.31;6444.24;1002.95;6.52;2;0.01
NA;19;204;313.82;1185;738.5;389.75;265.5;89.71;99.51;598.05;6683.54;5856.44;911.87;6.11;2;0.01
NA;20;196;308.1;948;744.15;363.25;262.5;91.33;99.49;649.91;7172;6167.77;958.01;6.32;2;0.01
