runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;50;384.16;815;735.7;527.75;397.5;86;100;1077.68;11844.68;11837.79;1461.84;10.29;3;0.06
NA;2;90;377.02;857;722.65;533.75;391.5;88.89;100;1079.39;11443.97;11100.44;1456.41;9.77;5;0.05
NA;3;129;440.12;891;837.5;622.5;387;73.64;100;1052.76;11041.56;10736.11;1492.88;9.52;6;0.04
NA;4;141;403.15;885;746.6;531.5;378;81.56;100;1012.15;10294.97;9882.66;1415.3;8.92;12;0.08
NA;5;170;410.9;1213;780;556;382;78.82;99.41;1219.58;12226.81;11427.94;1630.48;10;9;0.05
NA;6;173;419.77;907;816.7;581.5;389;78.61;99.42;1252.51;12803.11;11988.53;1672.28;10.4;12;0.06
NA;7;174;439.53;1132;834.75;584.75;437;78.16;98.85;1233.18;12595.91;11827.36;1672.71;10.28;15;0.08
NA;8;169;443.36;997;848.5;618;423;73.37;97.63;1343.82;13819.65;12717.98;1787.18;10.91;19;0.1
NA;9;183;441.03;1009;841.2;625;388;73.77;97.27;1411.54;14337.16;12756.52;1852.56;10.93;18;0.09
NA;10;196;437.2;944;856.6;636;400;73.47;98.98;1374.44;13724.66;12150.59;1811.64;10.51;19;0.09
NA;11;197;462.79;1000;883.2;639.5;423;72.08;96.45;1318.48;13136.87;11764.42;1781.27;10.24;25;0.11
NA;12;211;473.66;1085;879.4;673;450;67.77;96.68;1298.31;12680.98;11213.05;1771.98;9.85;22;0.09
NA;13;208;452.66;1137;874.75;617.75;425;73.56;98.08;1463.53;14423.24;11934.87;1916.19;10.36;31;0.13
NA;14;211;459.09;1195;870.8;629;432;71.09;98.1;1389.36;13732.85;11569.83;1848.45;10.1;27;0.11
NA;15;209;455.29;1049;847;635.5;449;70.81;99.04;1417.1;14180.49;11957.22;1872.39;10.37;33;0.14
NA;16;206;454.77;1252;842.45;620.25;435.5;72.33;98.06;1399;14155.51;12219.38;1853.77;10.56;24;0.1
NA;17;211;454.64;1125;854.2;623;425;72.99;97.16;1416.69;14296.85;12360.97;1871.33;10.66;25;0.11
NA;18;217;442.92;952;861;609.5;425;74.19;98.16;1430.91;14220.71;12375.76;1873.83;10.67;20;0.08
NA;19;208;419.18;1037;837;546;404.5;80.77;97.6;1250.48;13223.78;11927.34;1669.66;10.35;27;0.11
NA;20;205;454.36;1157;889;594;410;75.61;96.1;1351.14;13816.87;12244.68;1805.5;10.58;32;0.14
