runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;50;524.08;899;878.4;688;542.5;64;100;1133.4;11470.61;10660.41;1657.48;9.47;3;0.06
NA;2;78;507.31;901;868.55;674.25;533;64.1;98.72;1057.58;9807.75;8950.69;1564.88;8.27;13;0.14
NA;3;99;532.6;897;864;700;534;57.58;100;1544.81;13921.67;11234.64;2077.4;9.87;26;0.21
NA;4;111;529.51;996;884.4;700;570;54.95;98.2;1576.46;13781.88;11031;2105.97;9.72;36;0.24
NA;5;115;570.11;1846;896.6;732;582;53.91;95.65;1577.56;13748.25;10680.53;2147.67;9.48;50;0.3
NA;6;117;561.58;1188;895.1;774;597;50.43;96.58;1837.78;15500.09;11235.61;2399.36;9.87;54;0.32
NA;7;120;569.36;1455;895.75;750.25;578.5;55;95.83;1627.19;13864.6;10009.56;2196.55;9.01;61;0.34
NA;8;144;616.74;1697;904.5;770.5;635.5;43.06;94.44;1853.74;15295.69;10329.03;2470.47;9.23;51;0.26
NA;9;131;587.96;1244;942.6;762;609;49.62;92.37;2066.96;16411.7;11108.79;2654.92;9.78;76;0.37
NA;10;137;636.21;1777;967.6;795.5;654;38.69;91.24;1880.47;14818.2;10008.26;2516.68;9.01;73;0.35
NA;11;127;590.22;1058;954.8;803;600;49.61;90.55;1888.57;15226.56;10742.93;2478.8;9.52;79;0.38
NA;12;144;602.63;1010;897.5;783.5;633;46.53;95.83;2042.35;16564.65;10678.21;2644.98;9.48;77;0.35
NA;13;138;588.53;1446;1053.65;774.5;592;50.72;89.13;1840.57;14447.83;10382.7;2429.09;9.27;87;0.39
NA;14;127;593.09;1155;942.8;797;625;48.82;91.34;1832.57;14619.9;10291.58;2425.66;9.21;109;0.46
NA;15;142;607.44;1697;1006.6;793;619.5;47.89;91.55;2146.68;17636.08;11095.25;2754.13;9.77;92;0.39
NA;16;134;601;1347;953.5;790.25;611.5;49.25;91.04;1834.46;15359.88;10864.63;2435.46;9.61;100;0.43
NA;17;151;544.93;1140;876.2;709;549;57.62;96.03;1902.51;14901.41;10713.94;2447.44;9.5;81;0.35
NA;18;166;553.98;1180;894.45;730.75;565;54.82;95.78;1816.25;14381.93;10028.53;2370.23;9.02;69;0.29
NA;19;170;565.14;1346;962.6;725;561.5;57.06;91.76;1594.95;13124.08;9569.4;2160.09;8.7;73;0.3
NA;20;170;576.36;1205;992.85;746;587;52.94;89.41;1675.32;13695.01;9928.41;2251.69;8.95;77;0.31
