runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;11;426.09;828;828;640;377;72.73;100;913.82;8897.83;7718.39;1339.91;7.4;2;0.15
NA;2;11;460.73;926;926;708;387;54.55;90.91;866.73;8817.15;8800.74;1327.45;8.16;9;0.45
NA;3;11;493.64;1006;1006;730;561;54.55;90.91;1181.18;10483.5;9566.1;1674.82;8.7;16;0.59
NA;4;23;516.87;862;856;713;553;65.22;100;956.78;9401.47;9271.62;1473.65;8.49;11;0.32
NA;5;29;606.86;918;914.5;802.5;608;44.83;93.1;927.21;8927.31;8242.96;1534.07;7.77;7;0.19
NA;6;29;489.14;918;875.5;665.5;490;72.41;96.55;1090.93;10100.73;9093.01;1580.07;8.37;12;0.29
NA;7;33;596.55;1010;940.7;835;599;51.52;90.91;1053.48;9554.14;8148.7;1650.03;7.71;13;0.28
NA;8;32;496.69;906;868.95;756;539.5;65.62;96.88;1088.03;9759.97;8359.91;1584.72;7.85;12;0.27
NA;9;33;487.48;906;887.1;765.5;468;66.67;96.97;1267.03;12054.77;9816.55;1754.52;8.87;12;0.27
NA;10;43;536.37;1030;962.6;783;577;55.81;90.7;1294.12;11688.99;8679.62;1830.49;8.08;8;0.16
NA;11;44;479.82;1068;926.75;700;434.5;68.18;93.18;957.16;8610.34;7622.47;1436.98;7.34;8;0.15
NA;12;42;524.36;997;920.85;737.25;525.5;59.52;95.24;1104.14;9846.77;8442.14;1628.5;7.92;14;0.25
NA;13;39;552;1061;997;801;558;58.97;94.87;1218.64;10722.56;8907.26;1770.64;8.24;15;0.28
NA;14;39;561.13;1384;1061;723;542;64.1;92.31;1023.59;9401.05;7971.75;1584.72;7.59;11;0.22
NA;15;38;563.97;1108;1070;764.5;563.5;55.26;89.47;1220.34;10890.91;9285.42;1784.32;8.51;13;0.25
NA;16;38;558.87;951;931.05;737;597;50;92.11;1393.16;12052.37;9028.87;1952.03;8.32;13;0.25
NA;17;41;549.61;1061;910.5;727.5;573;53.66;92.68;1242.51;10467.31;8595.41;1792.12;8.02;12;0.23
NA;18;44;567.27;1108;1023.5;736.25;569;56.82;93.18;1193.23;10251.38;8697.83;1760.5;8.09;10;0.19
NA;19;46;614.85;1508;1064.25;779.75;643;43.48;86.96;1043.61;8838.16;7617.82;1658.46;7.33;8;0.15
NA;20;51;536.84;1169;1109.2;737;539;58.82;92.16;953.51;8094.72;6315.55;1490.35;6.44;12;0.19
