runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;9;461.11;783;783;577.5;453;88.89;100;515.89;5727.29;5727.29;977;6.01;2;0.18
NA;2;20;421.4;728;726.9;554.75;381;80;100;731.5;7660.31;7482.79;1152.9;7.24;2;0.09
NA;3;26;459.96;927;879.4;611.5;456;76.92;96.15;825.69;8368.46;7422.57;1285.65;7.21;2;0.07
NA;4;24;429.54;791;789.5;620.75;414;75;100;805.42;8001.11;7053.06;1234.96;6.95;4;0.14
NA;5;31;484.13;1164;1151.4;596;467;77.42;93.55;898.13;8658.63;7502.29;1382.26;7.26;4;0.11
NA;6;41;457.49;1052;918.2;577;394;78.05;95.12;814.63;8081.28;6912.19;1272.12;6.85;4;0.09
NA;7;44;428.84;1035;880.5;567.25;411;79.55;97.73;930.7;9088.76;7214.93;1359.55;7.05;4;0.08
NA;8;41;402.32;973;783.4;522.5;363;87.8;97.56;833.2;8179.14;7273.06;1235.51;7.09;4;0.09
NA;9;45;456.53;890;838.9;597.5;433;75.56;100;898.82;8418.71;7240.76;1355.36;7.07;5;0.1
NA;10;48;489.31;936;880.25;656.5;450;70.83;95.83;1096.79;10392.89;7529.13;1586.1;7.27;5;0.09
NA;11;50;440.12;812;796.7;566.5;432.5;86;100;1164.74;10915.75;7497.59;1604.86;7.25;6;0.11
NA;12;55;510.55;1173;1071.2;723;450;70.91;94.55;951.18;8781.77;6664.93;1461.73;6.67;8;0.13
NA;13;55;512.07;994;925.2;656;480;65.45;92.73;1010.44;9671.27;7189.2;1522.51;7.03;5;0.08
NA;14;56;488.48;947;876.4;670.25;480.5;64.29;96.43;931.45;9203.24;6838.88;1419.93;6.79;4;0.07
NA;15;60;539.55;1055;902.65;797.25;496.5;60;95;894.27;8674.85;6612.32;1433.82;6.63;4;0.06
NA;16;62;543.13;1219;895.95;777.25;532.5;61.29;95.16;875.34;8043.31;6690.7;1418.47;6.68;3;0.05
NA;17;59;503.85;973;833;672;491;69.49;96.61;1021.1;8941.83;6958.06;1524.95;6.87;8;0.12
NA;18;57;497.79;1028;962.5;636;457;71.93;94.74;1201.25;10733.79;7379.16;1699.04;7.17;6;0.1
NA;19;49;583.55;1145;1079.5;771.5;569;57.14;91.84;1258.18;10832.97;7859.79;1841.73;7.5;7;0.12
NA;20;50;593.66;1241;1091.7;768;601;50;90;1193.42;10870.02;7982.26;1787.08;7.59;7;0.12
