departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
620.0;31124112811-4;drtA4;653751890_0_r;386379.29;3951783.22;72453619_0;376444.98;3943671.22;359.0;3291.0;2312.0;25567.74;16080.58;-13.26;1520;4790
929.0;31144040261-2;drtA4;34951902_0;387618.28;3950773.84;846599943_0_r;379628.51;3951061.49;296.0;1905.0;680.0;9174.42;8648.12;-8.05;1829;3695.86
1223.0;31157191992-5;drtA4;155224457_1;382632.83;3950367.19;263041982_1;376590.2;3950937.76;421.0;2293.0;649.0;7215.13;6904.67;-6.83;2123;3854.65
1807.0;31047053301-3;drtA16;32122784_3;377776.75;3948018.86;157415978_0_r;384451.78;3950293.08;192.0;2532.0;533.0;7857.06;7857.06;-7.5;2707;4592.68
1825.0;31124031991-2;drtA31;1108117724_0;387110.26;3946619.6;58799366_12;376440.11;3945362.55;352.0;4121.0;1944.0;18478.78;13538.32;-11.48;2725;6109.56
1826.0;31157185231-3;drtA31;23646664_0;382611.57;3946807.88;206645191_0;374089.71;3949251.18;822.0;4941.0;2293.0;19817.1;12356.03;-10.65;2726;5368.51
1840.0;31072021661-2;drtA8;144846260_1;381593.01;3945744.56;1010971915_0;393121.61;3953804.06;217.0;3116.0;1059.0;18525.26;18525.26;-14.97;2740;6166.15
2135.0;31124013131-3;drtA31;15772071_1;382686.22;3948042.03;197096928_0_r;374687.25;3945433.56;781.0;4528.0;1612.0;13773.11;12586.89;-10.81;3035;5857.3
3032.0;31124023311-6;drtA31;41857233_0;382610.89;3947593.31;73172411_0;378114.43;3944119.95;147.0;3647.0;468.0;6601.88;6601.88;-6.62;3932;5634.06
3696.0;31123043081-2;drtA36;229361291_0;381111.87;3949361.48;659079504_0_r;378096.89;3948229.48;187.0;4075.0;192.0;3252.73;3252.73;-4.28;4596;5458.41
4243.0;31124072731-4;drtA16;23044299_1;385828.13;3949275.63;67138660_2;375173.77;3946082.53;321.0;7124.0;2560.0;30554.28;15458.97;-12.82;5143;8392.75
4618.0;31123037701-7;drtA16;286703470_0;388328.01;3949449.87;116429945_12;379634.58;3944818.55;307.0;6074.0;1149.0;15950.71;11374.51;-9.96;5518;7824.22
5132.0;31124015231-4;drtA16;583378753_0_r;386741.43;3948400.09;115333958_1;374251.74;3944547.06;303.0;6738.0;1303.0;16713.05;15756.54;-13.03;6032;9678.96
7264.0;31132029211-2;drtA27;203035387_0;388374.38;3949967.18;115447306_0_r;380084.1;3948209.73;436.0;8454.0;754.0;10715.08;10715.08;-9.5;8164;10594.64
9838.0;31127119452-2;drtA14;286703470_0;388328.01;3949449.87;154488792_0_r;378231.58;3944222.8;405.0;11043.0;800.0;12723.47;12723.47;-10.91;10738;13366.49
10817.0;31143045251-1;drtA17;115455887_0;380375.51;3950669.86;286703470_0;388328.01;3949449.87;249.0;11702.0;636.0;10062.09;10062.09;-9.04;11717;13901.12
12622.0;31157237961-2;drtA17;204077025_0;386771.67;3946889.09;107746659_5;378755.44;3948683.63;312.0;13735.0;801.0;11961.54;11961.54;-10.37;13522;16163.46
14104.0;31123075281-2;drtA37;263927513_1;372166;3944609.64;319185011_0_r;392216.81;3952526.84;477.0;16302.0;1721.0;25870.07;25776.44;-20.04;15004;20250.32
16208.0;31123033481-1;drtA12;58705987_2;375151.62;3944747.76;286703470_0;388328.01;3949449.87;153.0;17186.0;825.0;17289.68;17289.68;-14.1;17108;19874.27
16597.0;31082028811-1;drtA8;1060235876_0;394505.17;3950968.03;251308522_1;381978.89;3950605.88;693.0;18054.0;764.0;13198.58;13198.58;-11.24;17497;19928.57
17414.0;31154009671-1;drtA36;31092611_2;376757.91;3949057.07;103273018_1;382311.13;3951931.66;353.0;18532.0;765.0;9702.8;9702.8;-8.79;18314;20843.99
19211.0;31123088981-1;drtA29;914124927_0;380677.05;3945944.59;254992125_3;380939.69;3946030.54;182.0;19427.0;34.0;382.18;382.18;-2.35;20111;20508.25
22511.0;42045005101-1;drtA4;48810524_11;378471.76;3940751.23;311704163_0_r;376090.35;3944996.2;424.0;23765.0;830.0;6801;6795.83;-6.76;23411;25747.53
24050.0;31124096692-1;drtA21;32084400_0_r;374029.08;3948249.97;108915659_6;373270.9;3948772.72;306.0;24541.0;185.0;1390.51;1390.51;-2.97;24950;25785.36
25206.0;31124098053-1;drtA5;199280607_0_r;373617.66;3947977.74;192393278_0_r;379492.26;3954441.85;199.0;28104.0;2699.0;22201.86;17972.18;-14.58;26106;30286.47
25209.0;31157257271-1;drtA5;39752808_0;377400.94;3949082.7;154000091_1;383244.59;3951194.17;844.0;27280.0;1227.0;10001.03;7683.62;-7.38;26109;28492.91
25235.0;31157252531-1;drtA17;102147719_0_r;378572.12;3948974.74;1023909624_0;393939.24;3954700.15;140.0;27081.0;1706.0;19180.68;19180.68;-15.43;26135;30401.1
26417.0;31143047891-1;drtA5;28993545_5;379220.78;3950255.08;191269539_0_r;380918.59;3954097.42;378.0;27793.0;998.0;10555.73;5805.58;-6.06;27317;29347.53
27019.0;31157233703-1;drtA15;30799437_2;375866.25;3949357.28;32393329_0_r;376023.09;3949920.89;377.0;27657.0;261.0;840.57;840.57;-2.59;27919;28599.32
27025.0;31123105141-1;drtA21;116607773_0_r;372970.29;3948761.33;251308522_1;381978.89;3950605.88;137.0;28565.0;1403.0;10759.99;10600.04;-9.42;27925;30865.34
27030.0;31157238121-1;drtA21;107801573_0_r;378847.18;3948489.86;44492914_0;387863.64;3948230.34;948.0;29149.0;1171.0;12119.26;10949;-9.66;27930;30521.17
28265.0;31124077831-1;drtA29;101435039_2;380365.82;3945280.47;116433054_0;386837.84;3948199.56;220.0;29129.0;644.0;9067.31;9067.31;-8.35;29165;31091.8
28524.0;31131018083-1;drtA30;231288102_4;383464.97;3948600.12;115447186_1;380334.17;3949396.55;241.0;29820.0;1055.0;9115.54;4970.64;-5.48;29424;31042.09
28811.0;31143034252-1;drtA34;785791423_0_r;379222.58;3949546.6;201705622_0_r;378419.09;3950434.48;486.0;29542.0;245.0;1656.83;1656.83;-3.16;29711;30700.49
28820.0;31157238531-1;drtA30;107746659_2;378700.27;3948769.33;60264938_0;381928.92;3946493.27;576.0;30787.0;1391.0;9729.25;6757.58;-6.73;29720;31707
28825.0;31157109233-1;drtA0;80830516_2;375657.23;3951961.93;26201523_15;378981.66;3949813.1;391.0;29730.0;514.0;5094.66;5094.66;-5.57;29725;31540.03
28831.0;31147074291-1;drtA30;115449876_2;379527.47;3949352.16;207659092_0;386841.28;3942862.69;817.0;32102.0;2454.0;24946.31;16392.01;-13.47;29731;33419.83
29452.0;31147071512-2;drtA19;49051519_3;380487.07;3952317.52;115447312_0_r;381341.1;3949391.84;318.0;30581.0;811.0;6918.35;5008.88;-5.51;30352;32093.14
29715.0;31132018091-1;drtA30;41853993_0;383231.27;3948427.69;147801989_0;388058.41;3949106.36;809.0;31330.0;806.0;11188.53;6692.8;-6.68;30615;32212.45
30015.0;31143029671-1;drtA19;282628851_0;380981.84;3951981.05;41857322_3;383223.97;3949299.78;236.0;31092.0;841.0;6900.15;4648.25;-5.25;30915;32554.6
30022.0;31137035021-1;drtA30;210668305_0;381517.22;3947914.53;147812397_0;386945.14;3946100.77;225.0;31659.0;1412.0;16900.26;9366.29;-8.56;30922;32948.63
30059.0;31143007071-1;drtA34;49048891_1;377100.37;3953362.59;573104781_1;381781.17;3950339.51;621.0;31357.0;677.0;7836.03;7836.03;-7.49;30959;33251.92
30673.0;31154005831-2;drtA15;30998090_0;376566.43;3949163.56;108440744_0_r;377011.56;3952589.03;243.0;31542.0;626.0;4431.29;4431.29;-5.1;31573;33687.66
31215.0;31127119232-1;drtA22;751457258_0;376498.03;3945671.52;282318044_0;378005.43;3945473.65;181.0;31976.0;580.0;3999.33;1980.06;-3.39;32115;33247.34
31218.0;31127117291-1;drtA22;34622778_1;376546.21;3946636.55;156280203_3;383335.69;3954796.51;431.0;33045.0;1396.0;18156.45;13847.9;-11.69;32118;35335.84
31232.0;31157245622-1;drtA0;46729427_5;378295.24;3950348.68;102682313_6;379165.41;3950987.27;269.0;31987.0;486.0;2583.87;1415.18;-2.99;32132;33162.27
31234.0;31155018103-2;drtA31;104124411_0;374555.01;3949400.66;36237919_0;375752.04;3948700.84;211.0;31734.0;289.0;2478.89;2478.89;-3.74;32134;33070.08
31512.0;31157244662-1;drtA0;101900226_0;378238.04;3950086.64;30678834_0;386037.71;3950694.09;158.0;32746.0;1076.0;10926.7;9867.97;-8.91;32412;34899.77
31817.0;31046026141-1;drtA0;1107313316_0;381258.91;3950338.12;139718235_0;386880.1;3947460.24;551.0;33152.0;784.0;10292.9;7700.47;-7.39;32717;34632.95
31820.0;81084031482-2;drtA29;103005837_1;385328.46;3947882.66;116837742_0;381990.88;3946347.68;274.0;32502.0;408.0;4783.93;4783.93;-5.35;32720;34238.88
33316.0;31124088011-1;drtA29;107875919_0;380866.02;3945650.94;1074238465_2;381914.32;3946630.39;238.0;33799.0;245.0;2062.2;2062.2;-3.44;34216;35025.07
33328.0;31132019172-2;drtA6;220547106_0;383078.5;3947726.1;41857205_0_r;383078.56;3947575.95;253.0;33626.0;45.0;305.46;305.46;-2.35;34228;34659.58
33616.0;31124036352-2;drtA18;60351908_8;377328.92;3943988.67;129318023_1;377107.99;3943444.23;139.0;33911.0;156.0;1422.25;1422.25;-3;34516;35269.17
33650.0;31132018532-1;drtA6;41854031_0;383247.03;3948191.33;27996226_1;383243.1;3948578.25;307.0;34058.0;101.0;588.76;588.76;-2.41;34550;35180.9
33887.0;61378039811-1;drtA3;221298917_2;372638.55;3942183.06;795157275_1;385066.05;3954797.09;657.0;36074.0;1530.0;27685.45;27685.45;-21.38;34787;39609.42
34224.0;31143022011-1;drtA26;798739073_4;380315.15;3951223.53;45180545_0;381827.75;3949198;175.0;34667.0;268.0;3179.31;3179.31;-4.23;35124;36134.28
34231.0;31106025802-2;drtA12;115754213_0;386721.4;3951818.86;375809348_0;382351.12;3949964.77;364.0;35030.0;435.0;6134.68;6134.68;-6.29;35131;36563.06
34810.0;31123032682-3;drtA16;60902814_1;374027.29;3945003.3;50054906_2;375636.53;3945397.86;357.0;35522.0;355.0;2150.17;2150.17;-3.51;35710;37038.52
34853.0;31035023902-1;drtA6;140230760_0;384145.59;3947616.11;139230380_1;383603.13;3947867.79;284.0;35268.0;131.0;1103.03;1103.03;-2.77;35753;36429.22
35434.0;31123051741-2;drtA14;116432458_0_r;377459.74;3944569.13;154485154_0_r;378262.8;3945004.7;222.0;35853.0;197.0;1141.26;1141.26;-2.8;36334;37209.73
36010.0;31157253962-1;drtA27;102147698_1;378560.33;3948940.43;39753369_0;378356.87;3949562.43;351.0;36499.0;138.0;941.6;941.6;-2.66;36910;37613.85
36497.0;31046041982-1;drtA1;454030062_0_r;385002.7;3951636.72;39383377_0_r;381616.54;3949878.09;361.0;37260.0;402.0;4815.23;4815.23;-5.37;37397;38870.7
37872.0;31155062141-2;drtA0;24490138_0_r;386335.74;3946931.02;150868757_10;386974.78;3947945.47;224.0;38278.0;182.0;1825.47;1825.47;-3.28;38772;39596.12
37884.0;31124029492-1;drtA18;25943933_6;376669.75;3944177.9;531915925_0;374408.31;3944175.33;225.0;38592.0;483.0;3479.4;3385.77;-4.37;38784;40473.93
38424.0;31147076261-1;drtA24;183092390_1;380248.2;3950779.41;39433514_0;381298.06;3950575.87;263.0;38882.0;195.0;1741.23;1741.23;-3.22;39324;40176.66
39020.0;31124047852-2;drtA38;264544333_1;373316.7;3947856.55;1137814269_0_r;373269.46;3947382.99;508.0;39776.0;248.0;783.82;783.82;-2.55;39920;40600.93
39627.0;31127119711-2;drtA32;116429899_0_r;379724.86;3943758.92;25943933_6;376669.75;3944177.9;200.0;40548.0;721.0;5273.27;3835.54;-4.68;40527;42096.95
39639.0;31124102211-1;drtA31;41310078_2;374767.16;3947777.44;100786938_0_r;376214.08;3948019.6;462.0;40348.0;247.0;2395.97;2395.97;-3.68;40539;41551.2
39667.0;31124055951-1;drtA32;31336576_16;376394.26;3944212.8;48671202_0;379620.45;3945318.91;741.0;41091.0;683.0;5026.09;4676.45;-5.27;40567;42144.5
41421.0;31157089201-1;drtA15;660914762_15;376503.33;3953040.3;393957069_1;382261.58;3950365.17;210.0;42575.0;944.0;7699.35;7753.9;-7.43;42321;44562.76
41434.0;32093052222-3;drtA26;115447509_0_r;381078.69;3948620.89;116951814_0;381445.67;3944123.48;254.0;42343.0;655.0;5455.56;5455.56;-5.82;42334;44385.4
41719.0;31157098272-2;drtA15;46767610_0_r;377776.58;3952087.07;32124885_0_r;377353.52;3948432.12;316.0;43093.0;1058.0;11538.42;4779.91;-5.35;42619;44639
42384.0;31123010741-3;drtA18;34083891_4;375152.76;3942413.31;286976774_0_r;372836.45;3943184.55;487.0;43307.0;436.0;2739.53;2739.53;-3.92;43284;44842.6
42620.0;31123034122-1;drtA16;282583319_0;375248.7;3945685;146688230_1;374642.84;3946400.56;163.0;42934.0;151.0;1168.89;1168.89;-2.82;43520;44249.65
43221.0;31111044441-3;drtA6;116427216_0;383453.42;3947537.83;134192182_2;387208.1;3946766.62;143.0;43791.0;427.0;6611.85;6611.85;-6.63;44121;45680.47
43234.0;32034009621-2;drtA2;93212948_0_r;384313.76;3944610.97;375676167_0;382371.21;3946850.93;290.0;43847.0;323.0;3970.73;3970.73;-4.78;44134;45358.41
43236.0;31123060864-1;drtA32;52976786_1;377548.17;3943073.19;291824563_1;377229.33;3944561.64;355.0;43839.0;248.0;2220.39;2186.55;-3.53;44136;45155.13
44429.0;32093052222-4;drtA26;116951814_0;381445.67;3944123.48;116483089_0_r;380621.02;3942746.91;61.0;44755.0;265.0;2311;2311;-3.62;45329;46392.72
45011.0;31154072771-1;drtA27;769262735_0;378169.01;3949461.23;299739169_0_r;377271.04;3948879.35;152.0;45359.0;196.0;1383.14;1383.14;-2.97;45911;46775.49
45012.0;32105008642-2;drtA2;109684465_0_r;384202.56;3948117.98;140349252_0_r;383476.15;3947375.34;250.0;45409.0;147.0;1602.48;1602.48;-3.12;45912;46644.63
45936.0;31137037562-3;drtA29;87250168_0;382273.69;3947177.74;115447161_2;381264.55;3948991.77;192.0;46426.0;298.0;3404.49;3404.49;-4.38;46836;48020.96
46812.0;31155066902-1;drtA27;101900226_0;378238.04;3950086.64;356989867_0_r;378436.5;3949767.66;336.0;47267.0;119.0;687.04;687.04;-2.48;47712;48353.15
46820.0;31123049521-1;drtA14;154339888_0_r;379392.44;3944327.08;31344052_0;379471.73;3945288.83;408.0;47402.0;174.0;1865.96;1865.96;-3.31;47720;48511.56
46832.0;31157266071-2;drtA25;171203177_2;385136.51;3950341.45;39635015_1;385324.96;3950454.34;249.0;47123.0;42.0;408.49;408.49;-2.35;47732;48151.04
46836.0;31123111062-2;drtA14;25533283_0;378777.15;3944078.89;265033754_0;383300.44;3947683.34;247.0;47783.0;700.0;7802.85;6248.94;-6.37;47736;49125.19
47417.0;31123076701-1;drtA16;249191804_0;373970.27;3945832.12;197098175_0_r;373167.05;3946578.14;272.0;47991.0;302.0;1926.34;1926.34;-3.35;48317;49419.76
48623.0;42163008361-2;drtA11;213526441_1;382774.24;3949545.31;273263244_2;383579.93;3947703.3;101.0;49102.0;378.0;2789.04;2789.04;-3.95;49523;50672.97
48625.0;31144038841-1;drtA24;44357135_3;380047.75;3950918.5;93325442_4;387389.59;3950814.69;249.0;49392.0;518.0;8114.84;8114.84;-7.68;49525;51351.13
49222.0;31124029431-4;drtA11;236031681_0_r;384771.28;3947865.79;116436345_2;376889.76;3944839.62;261.0;50268.0;785.0;11164.16;11164.16;-9.81;50122;52757.19
49828.0;31046024721-3;drtA24;682420451_0;387849.57;3950934.07;263865428_0_r;387912.96;3950700.93;129.0;50022.0;65.0;303.78;303.78;-2.35;50728;51152.05
49828.0;31046033881-6;drtA36;94072642_0;383407.64;3952473.1;796898582_3;380639.58;3951174.51;262.0;50474.0;384.0;4933.88;4933.88;-5.45;50728;52167.27
49843.0;31056027711-3;drtA37;1024128476_0;391194.71;3951153.59;531362284_2;382823.84;3949028.19;274.0;51688.0;1571.0;19107.85;10772.87;-9.54;50743;53177.51
