departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
1701.0;32083000661-2;drtB29;1064039460_0;379509.8;3947181.13;85780852_0_r;367455.28;3946624.41;208.0;3112.0;1203.0;15486.51;15486.51;-12.84;2601;6400.57
10820.0;61354045964-1;drtB3;147522267_0_r;368532.43;3941383.35;750630133_0;379144.32;3948073.93;512.0;12803.0;1471.0;23597.75;23597.75;-18.52;11720;16340.11
15312.0;91533015561-1;drtB14;552593576_0_r;355706.23;3930422.77;115447369_0_r;380134.46;3948024.44;381.0;18796.0;3103.0;40113.23;40113.23;-30.08;16212;25747.55
21619.0;31123076181-1;drtB20;32665707_8;373617.17;3945372.33;770599759_0_r;352885.23;3928830.31;130.0;24903.0;3154.0;36452.77;36427.32;-27.5;22519;31860.31
22876.0;31124031391-1;drtB23;116433153_2;376597.59;3945187.6;116433232_0;379266.53;3945564.71;409.0;23778.0;493.0;3136.45;3136.45;-4.2;23776;25482.27
23421.0;31123057381-1;drtB15;1094688557_0;378696.08;3943922.99;163337220_1;375326.31;3944296.11;187.0;24518.0;910.0;6063.41;4936.46;-5.46;24321;25590.48
23426.0;32094018093-1;drtB16;173773219_3;357882.75;3938498.61;120322803_0;376270.96;3947250.89;546.0;26508.0;2536.0;29544.59;29540.73;-22.68;24326;31736.55
23427.0;31124026835-1;drtB15;242669507_0_r;376011.11;3945607.63;43099692_0_r;362711.76;3929580.49;773.0;26406.0;2206.0;24855.53;24827.19;-19.38;24327;30907.35
24320.0;31123083522-1;drtB23;454663064_0_r;379095.62;3946770.72;60266834_0;376419.33;3944965.24;278.0;25220.0;622.0;4158.88;4158.88;-4.91;25220;27299.13
24331.0;31124064491-1;drtB30;850339813_2;375991.7;3942751.16;41957073_7;379018.88;3944880.35;320.0;24977.0;326.0;4240.6;4240.6;-4.97;25231;26491.56
24645.0;42133033652-1;drtB8;28191118_0;359863;3931493.68;212309687_3;361239.29;3930334.35;523.0;25522.0;354.0;3472.41;3472.41;-4.43;25545;26816.5
25231.0;31124073794-1;drtB1;318936057_0;375417.64;3946684.74;296110144_0;356737.65;3939813.69;379.0;28316.0;2706.0;32406.56;32406.56;-24.68;26131;34323.42
25478.0;42125006903-1;drtB20;25490676_0;351833.05;3931752.14;115447369_0_r;380134.46;3948024.44;750.0;30049.0;3821.0;51244.44;51244.44;-37.87;26378;38100.14
25840.0;61364042621-1;drtB28;202551902_0_r;368909.11;3940498.5;103078984_0;367239.79;3941431.42;461.0;26816.0;515.0;2893.97;2893.97;-4.03;26740;28304.12
26175.0;31124030933-1;drtB23;49903693_1;377348.8;3945531.73;750630133_0;379144.32;3948073.93;296.0;26984.0;513.0;3904.92;3904.92;-4.73;27075;28837.79
