departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
3165.0;42124022751-4;drtC2;159763270_1;341685.13;3917146.82;34916619_0;351311.83;3923229.25;570.0;4914.0;1179.0;12259.94;12259.94;-10.58;4065;7774.15
16554.0;42164010171-1;drtC7;50891360_0;357060.86;3931120.14;1094371372_0;352105.7;3923571.47;538.0;18491.0;1399.0;11773.9;11773.9;-10.24;17454;21812.55
18925.0;91526008182-1;drtC3;122087146_0;356264.48;3935774.41;47195913_3;347102.18;3921483.7;233.0;22574.0;3416.0;35602.63;28177.71;-21.72;19825;27052.25
19530.0;42124002031-1;drtC8;31169572_0;351345.37;3922585.38;317592699_0_r;340641.52;3912661.17;139.0;21560.0;1891.0;16899.81;16899.81;-13.83;20430;26292.96
20409.0;42167020982-1;drtC3;293673376_1;355535.21;3928219.25;161439471_6;350757.89;3923862.6;388.0;21801.0;1004.0;10645.35;9513.19;-8.66;21309;23889.44
20734.0;42125011421-1;drtC3;171401631_1;350965.16;3925735.94;159763270_1;341685.13;3917146.82;806.0;23657.0;2117.0;18085.49;14792.49;-12.35;21634;25945.01
21910.0;42182008703-1;drtC12;154659075_0_r;356225.12;3922361.38;153188668_3;361445.62;3940872.16;462.0;27683.0;5311.0;37692.32;26293.47;-20.41;22810;31821.34
22263.0;32094018271-1;drtC11;221668831_0;357914.15;3938124.42;161450365_0;349461.78;3923714.75;451.0;28438.0;5724.0;40792.01;26799.41;-20.76;23163;31087.88
22545.0;42132003941-1;drtC5;26277172_0;359294.3;3930528.63;818990429_0_r;346942.65;3923503.42;586.0;25586.0;2455.0;22044.75;23545.59;-18.48;23445;29857.15
22824.0;32094014273-1;drtC1;1112106474_0_r;360179.48;3933965.03;41569510_0;349869.46;3942717.8;447.0;24646.0;1375.0;16049.27;16049.27;-13.23;23724;28083.68
23423.0;42147013553-1;drtC10;196831298_0;343651.72;3922740.82;448011843_0;365000.37;3937554.16;563.0;33845.0;9859.0;78537.77;34550.76;-26.19;24323;33856.78
23426.0;32093013201-1;drtC11;144341446_0;360086.34;3934824.01;1069570414_1;347078.26;3921675.51;560.0;29102.0;5116.0;36534.25;28129.68;-21.69;24326;32187.57
23744.0;42154015582-1;drtC5;760435749_0;356380.04;3926106.14;322488351_0;345683.39;3921244.54;348.0;26289.0;2197.0;16735.46;15751.33;-13.03;24644;29417.18
23754.0;42128033491-1;drtC9;30972334_3;351417.83;3921822.81;821501465_0;349714.42;3927384.46;326.0;24849.0;769.0;7822.33;7470.19;-7.23;24654;26913.73
24613.0;42125005681-1;drtC9;189853361_0_r;349572.3;3927271.02;161450365_0;349461.78;3923714.75;164.0;27390.0;2613.0;22992.59;5423.17;-5.8;25513;27540.35
24648.0;42188012313-1;drtC2;368325967_0;356269.5;3925396.66;819100785_0_r;351124.68;3927215.7;947.0;27467.0;1872.0;13319.45;7203.61;-7.04;25548;28081.15
