departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
25215.0;42114014022-1;drtD0;159119592_1;341260.96;3915057.54;1071936950_0;342646.67;3915210.4;721.0;26205.0;269.0;1918.44;1918.44;-3.34;26115;27190.28
25242.0;42114016722-1;drtD2;204881848_0;336697.86;3916538.56;322473271_0_r;344835.77;3919547.58;761.0;28780.0;2777.0;16949.04;10356.81;-9.25;26142;29947.95
25812.0;42113007354-1;drtD2;316021071_0;339491.56;3914597.77;556376258_0;338649.62;3913962.76;816.0;26893.0;265.0;1726.87;1726.87;-3.21;26712;27789.67
27951.0;42033002603-1;drtD1;204630326_0;346929.72;3915404.96;205176345_2;339984.27;3916465.73;539.0;30106.0;1616.0;11068.78;9457.38;-8.62;28851;32353.89
28819.0;42141006601-1;drtD2;32353619_3;344798.02;3918988.94;311744359_0_r;347544.96;3918865.87;208.0;29563.0;536.0;3462.51;3462.51;-4.42;29719;31267.22
28820.0;42114011142-1;drtD1;106354575_1;343738.04;3916577.53;106354564_2;343805.54;3916857.85;379.0;29281.0;82.0;567.16;567.16;-2.4;29720;30254.17
30207.0;42141000884-1;drtD2;114916323_1;346826.44;3918630.06;186129763_0;346357.92;3917460.75;183.0;30619.0;229.0;1462.5;1462.5;-3.02;31107;32066.89
33648.0;42114008902-2;drtD0;486969152_0;343485.13;3916765.11;316683155_0_r;337354.72;3917710.87;440.0;35124.0;1036.0;8946.01;8671;-8.07;34548;37805.79
36024.0;42142013272-1;drtD2;110897057_0_r;346005.03;3917827.78;691590410_0;346769.21;3918296.32;182.0;37347.0;1141.0;7244.16;1391.38;-2.97;36924;37784.02
36025.0;42063036423-1;drtD4;226038411_2;332500.61;3908990.37;166064379_4;348372.06;3921394.97;158.0;38819.0;2636.0;27525.97;27525.97;-21.27;36925;44649.66
36030.0;42142003792-1;drtD2;204351020_0;347801.78;3920084.11;204351003_2;347739.09;3920094.52;763.0;36808.0;15.0;86.29;86.29;-2.35;36930;37274.28
37351.0;42113002932-2;drtD1;690869766_0_r;339333.63;3914645.99;80141194_3;338862.69;3915598.65;339.0;37962.0;272.0;1684.44;1659.18;-3.16;38251;39310.99
37540.0;42033030662-2;drtD2;160554189_1;343972.09;3914538.25;80141194_0;338928.17;3915560.19;909.0;40427.0;1978.0;11796.61;6370.44;-6.46;38440;41227.15
37815.0;42114005442-1;drtD1;553144696_0_r;335523.75;3915759.25;157862353_10;335430.04;3915801.06;727.0;38561.0;19.0;123.48;123.48;-2.35;38715;39067.51
38425.0;42117022061-1;drtD2;550973786_1;343291.21;3916771.34;1032443481_0_r;343523.87;3916356.46;659.0;39210.0;126.0;823.25;823.25;-2.58;39325;39988.65
38447.0;42114011242-2;drtD2;197515789_0;343996.92;3916782.6;1037993934_0_r;342958.27;3915882.97;439.0;39449.0;563.0;2956.6;1891.84;-3.32;39347;40435.37
38717.0;42118023052-1;drtD1;317366983_0_r;334814.27;3915461.73;204881831_0;336574.49;3916597.25;207.0;39306.0;382.0;2863.01;2863.01;-4;39617;41037.65
39660.0;42118023262-1;drtD2;316021084_0;339682.75;3914735.63;558090070_1;339134.26;3916367.06;551.0;40695.0;484.0;2765.67;2617.89;-3.83;40560;41697.28
40826.0;42114016725-2;drtD2;558090070_1;339134.26;3916367.06;316324737_0_r;337157.5;3916567.05;61.0;41210.0;323.0;2619.69;2619.69;-3.83;41726;42996.22
42327.0;42114011041-2;drtD4;46888499_0;346875.27;3919162.49;1071937066_0;344079.71;3915227.95;536.0;43581.0;718.0;6123.97;6123.97;-6.29;43227;45794.77
