departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
22835.0;42062018563-1;drtE4;208840518_1;334565.65;3906423.42;137988708_1;328069.43;3914082;406.0;24501.0;1260.0;15602.52;12318.18;-10.62;23735;26738.97
22851.0;42125021921-1;drtE0;318706741_0;329074.31;3911862.94;1030242017_0;330945.68;3912899.72;317.0;23400.0;232.0;3024.59;3024.59;-4.12;23751;24754.12
23475.0;43643000041-1;drtE4;137989327_0_r;327034.61;3913915.88;205304212_4;330672.25;3909973.62;853.0;25136.0;808.0;9676.21;7129.36;-6.99;24375;26191.72
25285.0;42063032401-1;drtE2;705903119_0_r;332389.68;3904564.48;319125855_0;328205.15;3909030;239.0;27826.0;2302.0;18790.77;6920.89;-6.84;26185;28339.97
25308.0;42173000781-1;drtE4;319151127_0_r;327697.31;3909084.5;320558815_0;331189.84;3901873.25;531.0;28433.0;2594.0;18997.26;11393.81;-9.98;26208;30153.69
25529.0;42063032953-1;drtE2;208953557_2;334774.06;3908121.78;136559134_0;327607.59;3911013.13;735.0;28453.0;2189.0;16809.03;12449.95;-10.71;26429;29647.6
26418.0;42068029513-1;drtE2;319420038_0;335078.12;3908147.73;154654700_5;334093.15;3907262.08;229.0;26857.0;210.0;1699.48;1699.48;-3.19;27318;28223.85
26430.0;42063029842-1;drtE4;320206221_0;335126.04;3903932.32;137988708_1;328069.43;3914082;613.0;31507.0;4464.0;31043.71;14769.49;-12.34;27330;31419.39
26732.0;42063030841-1;drtE4;320154928_0;336030.43;3904815.5;237170980_12;333081.2;3904033.42;619.0;29654.0;2303.0;12442.26;3964.52;-4.78;27632;29534.55
27018.0;42062000643-1;drtE1;267421025_0;332889.26;3903005.28;136559134_0;327607.59;3911013.13;606.0;29793.0;2169.0;19597.43;10936.23;-9.66;27918;31533.58
27610.0;42062006104-1;drtE1;208933614_0;335356.32;3907104.33;137988708_1;328069.43;3914082;1128.0;30233.0;1495.0;17867.47;13257.69;-11.28;28510;31678.4
27617.0;42174003174-1;drtE2;318854630_6;327928.62;3910044.57;267953661_0;331254.49;3902559.87;596.0;30124.0;1911.0;14670.76;11143.18;-9.8;28517;32441.89
28239.0;42067026355-1;drtE4;215617186_0;331675.62;3904640.17;136559134_0;327607.59;3911013.13;900.0;31067.0;1928.0;14663.22;9221.73;-8.46;29139;31844.14
29128.0;42063032284-1;drtE2;242421296_1;332457.12;3903567.73;267953661_0;331254.49;3902559.87;580.0;30124.0;416.0;2531.63;2531.63;-3.77;30028;31545.1
30025.0;42177006201-1;drtE4;136559216_0_r;328146.07;3911089.66;136559074_0;323719.37;3911489.94;905.0;32118.0;1188.0;12292.68;7121.72;-6.99;30925;32891.36
30621.0;42062013442-1;drtE2;566461373_0;332245.66;3904058.04;702425027_0;332463.31;3910334.06;640.0;31937.0;676.0;8059.14;8059.14;-7.64;31521;33807.62
32427.0;43624000382-1;drtE0;205299257_4;331601.91;3911321.59;319012822_0_r;330560.44;3909840.35;342.0;33034.0;265.0;2549.57;2549.57;-3.78;33327;34402.13
33318.0;42174004691-1;drtE0;704104279_1;329433.44;3909286.81;333876980_0;332272.42;3902940.96;248.0;35917.0;2351.0;19779.15;8494.16;-7.95;34218;36847.29
34218.0;42174002432-1;drtE0;319768382_0_r;330046.39;3906948.9;332627428_0;332576.51;3903363.76;1062.0;35729.0;449.0;5316.47;5316.47;-5.72;35118;36831.69
34236.0;42062001224-1;drtE0;1160088566_0_r;332063.16;3903594.47;333936912_1;332483.12;3902762.95;420.0;36173.0;1517.0;11981.97;1561.24;-3.09;35136;36141.02
36019.0;43663001431-1;drtE2;318736759_2;330365.66;3910827.07;205339837_10;330538.42;3908961.91;767.0;36990.0;204.0;2711.01;2711.01;-3.9;36919;37820.2
36078.0;43664000201-1;drtE2;318706739_1;329012.87;3912127.62;197747118_12;331386.19;3908029.07;447.0;37190.0;665.0;6965.45;5427.87;-5.8;36978;38491.15
40297.0;43624001942-2;drtE2;208933254_1;334896.51;3906036.22;205296958_1;332189.32;3909729.18;494.0;41240.0;449.0;5975.82;5975.82;-6.18;41197;42830.01
43249.0;42063029892-2;drtE0;208938450_2;333993.99;3904685.35;208938111_0;335396.02;3904066.92;522.0;44045.0;274.0;1946.48;1946.48;-3.36;44149;45239.65
43517.0;42174002432-2;drtE2;332627428_0;332576.51;3903363.76;319768382_0_r;330046.39;3906948.9;681.0;44628.0;430.0;5264.99;5264.99;-5.69;44417;46031.95
45983.0;42063028272-1;drtE2;215423149_2;331314.55;3904205.64;685054827_0;325291.77;3909052.36;447.0;47467.0;1037.0;11749.33;11749.33;-10.22;46883;50292.76
47462.0;43667002322-2;drtE0;208840661_5;335239.57;3906337.06;137841323_0;330587.36;3910517.5;457.0;48541.0;622.0;8526.65;8526.65;-7.97;48362;50451.29
49840.0;42173003002-1;drtE0;319012877_0_r;327820.51;3910270.73;565842500_0_r;331838.36;3904345.91;323.0;50942.0;779.0;8630.47;8630.47;-8.04;50740;53366.02
52275.0;42062006104-2;drtE1;137988708_1;328069.43;3914082;208933614_0;335356.32;3907104.33;61.0;53584.0;1248.0;12594.56;13406.78;-11.38;53175;56311.6
52279.0;43627002334-2;drtE1;411646128_0_r;333592.73;3909681.39;318736814_0_r;329319.65;3911948.09;829.0;54851.0;1743.0;16453.17;7521.63;-7.27;53179;55071.91
53426.0;42063031815-2;drtE1;197891950_5;330954.61;3906678.32;319698684_1;331028.06;3906992.75;752.0;54260.0;82.0;555.05;555.05;-2.39;54326;54867.97
55875.0;42063029842-2;drtE1;137988708_1;328069.43;3914082;320206221_0;335126.04;3903932.32;434.0;58699.0;2390.0;19686.29;14817.91;-12.37;56775;60750.85
55955.0;42067026355-2;drtE1;136559134_0;327607.59;3911013.13;215617186_0;331675.62;3904640.17;792.0;57529.0;782.0;8973.76;8973.76;-8.28;56855;59425.47
55955.0;42177005503-2;drtE1;136559134_0;327607.59;3911013.13;333946831_0_r;332000.71;3903123.68;792.0;57897.0;1150.0;10801.79;10863.82;-9.6;56855;60173.95
56189.0;42062000644-2;drtE0;226039128_0_r;334416.65;3903426.13;377171173_0_r;330481.9;3896790.23;552.0;57916.0;1175.0;10915.68;10915.68;-9.64;57089;60848.36
57630.0;43634000513-3;drtE2;318495210_2;330152.44;3913188.35;318403969_2;331893.98;3912269.91;791.0;58703.0;282.0;2673.89;2673.89;-3.87;58530;59633.43
57676.0;43667002184-2;drtE4;137841309_0;329868.68;3912051.14;318716041_1;329311.58;3911385.17;738.0;58544.0;130.0;1119.81;1119.81;-2.78;58576;59254.09
