vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtA1;35356.06;28061.28;7294.78;31088.14
drtA27;32522.05;16220.78;16301.27;16220.78
drtA2;42153.38;34549.59;7603.79;43428.19
drtA28;51998.87;45236.45;6762.42;64377.23
drtA29;37471.35;27600.11;9871.24;27600.11
drtA0;47768.52;37309.43;10459.09;44967.63
drtA9;18186.31;10369.86;7816.45;10369.86
drtA7;4577.37;4114.49;462.88;4114.49
drtA8;57217.54;41848.57;15368.97;41848.57
drtA5;81230.6;74801.48;6429.11;106399.22
drtA6;33042.42;24328.41;8714.01;24328.41
drtA3;64103.67;57733.37;6370.31;63536.25
drtA4;41675.99;32368.73;9307.25;48758.28
drtA30;34302.21;32885.01;1417.2;71879.91
drtA31;68054.77;52038.26;16016.5;92775.66
drtA10;11601.95;7341.63;4260.33;7341.63
drtA32;46167.06;33952.99;12214.07;34813.04
drtA11;16585.38;13953.2;2632.18;13953.2
drtA33;16570.05;13134.05;3436;13134.05
drtA12;38516.76;32061.16;6455.61;32061.16
drtA34;25551.74;18568.68;6983.06;18568.68
drtA13;41401.65;27202.54;14199.11;27202.54
drtA35;0;0;0;0
drtA14;44429.61;33637.32;10792.29;38633.92
drtA36;45269.39;33646.39;11623;33646.39
drtA15;34944.93;22553.73;12391.2;28188.2
drtA37;73060.94;62384.63;10676.31;74201.26
drtA16;53245.68;44560.2;8685.48;77223.96
drtA38;32256.41;24650.18;7606.24;25927.86
drtA17;65498.81;60329.69;5169.12;60329.69
drtA18;26726.88;18920.46;7806.42;18920.46
drtA19;63693.68;51388.25;12305.43;64677.04
drtA21;57169.44;50224.92;6944.52;58675.99
drtA22;19994.71;19475.91;518.8;22155.79
drtA23;24779.44;23141.08;1638.36;25203.84
drtA24;15917.69;10159.85;5757.84;10159.85
drtA25;17258.85;9815.81;7443.03;9815.81
drtA26;24450.77;19184.57;5266.2;19184.57
