vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtB26;25135.63;12582.39;12553.24;12582.39
drtB28;23317.15;12247.09;11070.06;12247.09
drtB29;90080.34;81302.63;8777.71;83319.82
drtB30;72899.37;51884.36;21015;51884.36
drtB10;123853.06;93857.12;29995.95;117179.64
drtB11;42396.59;22937.81;19458.77;23717.67
drtB12;49530.66;41572.24;7958.42;43412.58
drtB13;49245.71;38862.41;10383.3;38862.41
drtB14;236749.42;226951.11;9798.3;284020.03
drtB15;102170.44;74831.22;27339.22;76730.95
drtB3;33761.93;26779.23;6982.7;26779.23
drtB16;127004.48;112046.86;14957.63;112046.86
drtB0;155719.48;145533.43;10186.06;289664.6
drtB17;50449.29;26827.84;23621.45;28035.93
drtB1;67607.03;53562.77;14044.26;53562.77
drtB18;76173.79;62774.02;13399.77;62774.02
drtB19;32787.9;28602.09;4185.81;28972.44
drtB8;230263.76;193723.66;36540.1;217802.27
drtB9;252572.38;234895.73;17676.65;311288.77
drtB6;82455.47;63814.16;18641.31;71189.79
drtB7;8349.19;3794.18;4555.01;3794.18
drtB4;13529.13;6386.65;7142.49;6386.65
drtB5;28149.12;25356.52;2792.61;34474.42
drtB20;215175.04;203973.31;11201.73;203973.31
drtB21;50527.32;38076.78;12450.55;38076.78
drtB22;147272.44;135343.86;11928.57;136009.04
drtB23;137621.98;125416.45;12205.53;162887.62
drtB24;138309.56;129363.09;8946.47;300295.71
drtB25;3175.2;486.7;2688.5;486.7
