runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;12;386.58;818;818;536.75;329.5;91.67;100;260.67;1678.14;1678.14;647.25;3.18;1;0.08
NA;2;37;411.7;900;868.5;520;365;86.49;97.3;238.08;1555.73;1555.73;649.78;3.11;2;0.05
NA;3;41;379.71;836;724.6;549;324;82.93;100;233.76;1625.58;1624.77;613.46;3.15;2;0.05
NA;4;42;309.21;654;567.55;392.75;274.5;97.62;100;237.9;1707.79;1706.99;547.12;3.2;2;0.05
NA;5;41;368.05;631;595.2;499.5;355;97.56;100;257.22;1941.53;1939.9;625.27;3.37;5;0.11
NA;6;45;398.36;1053;928.3;495;355;84.44;95.56;292;2226.47;2226.47;690.36;3.57;5;0.1
NA;7;40;377.23;869;843.35;493;304;82.5;100;297.98;2159.74;2102.1;675.2;3.48;4;0.09
NA;8;40;360.6;739;723.55;456.5;310;90;100;352.2;2808.57;2807.23;712.8;3.97;5;0.11
NA;9;49;427.94;896;853.5;576;388;75.51;100;371.57;2812.57;2645.57;799.51;3.86;5;0.09
NA;10;49;443.22;871;833;603.5;388;75.51;100;379.82;2877.35;2671.21;823.04;3.88;2;0.04
NA;11;53;391.64;898;782.4;479;333;84.91;100;401.64;2998.3;2647.54;793.28;3.87;1;0.02
NA;12;56;435.29;949;897.25;584.25;349.5;76.79;96.43;333.43;2523.16;2297.66;768.71;3.62;5;0.08
NA;13;63;448.48;1034;890.4;570;378;77.78;96.83;367.35;2642.84;2397.17;815.83;3.68;6;0.09
NA;14;66;469.5;1034;921.05;619.25;429.5;72.73;93.94;341.48;2462.35;2280.21;810.98;3.6;4;0.06
NA;15;71;465.04;1009;863.6;621;423;69.01;97.18;321.37;2349.1;2313.31;786.41;3.63;6;0.08
NA;16;64;487.64;1052;908;653.5;447;65.62;95.31;317.86;2430.95;2392.79;805.5;3.68;5;0.07
NA;17;66;437.08;761;725;605.75;419;74.24;100;301.36;2302.74;2265.74;738.44;3.6;1;0.01
NA;18;63;410.14;890;745.8;533;382;80.95;100;293.81;2142.7;2137.99;703.95;3.51;2;0.03
NA;19;68;419.78;879;794.55;564.25;371;76.47;100;346.15;2620.97;2322.63;765.93;3.64;6;0.08
NA;20;64;441.27;813;764.25;572.5;431;78.12;100;366.5;2730.77;2399.58;807.77;3.69;10;0.14
