runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;11;500.18;753;753;633;499;72.73;100;429;4098.1;4098.1;929.18;4.91;4;0.27
NA;2;13;557.15;816;816;705;621;46.15;100;424;3750.04;3750.04;981.15;4.65;6;0.32
NA;3;18;515.11;816;816;663.25;564;61.11;100;324.11;2821.54;2820.79;839.22;3.99;6;0.25
NA;4;22;502.23;1115;1056.8;596.75;505;77.27;95.45;324.55;2743.77;2743.15;826.77;3.93;7;0.24
NA;5;28;514.79;867;862.95;605;515;75;100;354.32;2560.89;2508.98;869.11;3.77;3;0.1
NA;6;27;527.41;978;958;615;487;70.37;92.59;352.11;2762.32;2725.46;879.52;3.91;1;0.04
NA;7;28;545.96;858;843.15;672.5;557.5;60.71;100;344.68;2569.89;2520.43;890.64;3.77;2;0.07
NA;8;33;499.55;1064;920.5;639.5;465;66.67;96.97;314.06;2218.59;2119;813.61;3.49;1;0.03
NA;9;36;501.47;1064;888.9;615;497.5;69.44;97.22;343.53;2462.97;2298.04;845;3.62;2;0.05
NA;10;37;505.08;893;866.9;686;517;64.86;100;334.49;2443.16;2360.03;839.57;3.67;2;0.05
NA;11;37;565.43;1043;1038.5;739;623;48.65;89.19;377.54;2964.87;2384.16;942.97;3.68;5;0.12
NA;12;42;596.64;1043;1026.9;768;614.5;47.62;92.86;411.19;3198.25;2513.6;1007.83;3.77;2;0.05
NA;13;44;560.05;1043;844.25;662.75;590;52.27;97.73;408.86;3291.59;2757.23;968.91;3.94;1;0.02
NA;14;46;529.78;881;873;679.25;514.5;58.7;100;447.76;3612.08;3019.57;977.54;4.11;5;0.1
NA;15;44;487.34;894;879.5;650;456.5;61.36;100;469.52;3590.04;2938.12;956.86;4.06;8;0.15
NA;16;46;498.24;964;891.9;655;488;65.22;97.83;500.8;3635.8;2908.82;999.04;4.04;13;0.22
NA;17;49;530.04;888;856.5;705;578;57.14;100;414.02;3087.48;2522.11;944.06;3.77;6;0.11
NA;18;43;585.67;965;907;739;598;51.16;95.35;329.72;2303.38;1982.02;915.4;3.4;4;0.09
NA;19;42;547.48;1072;938.25;719.75;552;59.52;92.86;313.71;2247.63;2239.58;861.19;3.57;3;0.07
NA;20;48;578.04;1072;1003.3;780.25;545;56.25;93.75;381.35;2672.22;2337.82;959.4;3.64;2;0.04
