runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;3;410.67;781;781;781;288;66.67;100;155.33;695.35;695.35;566;2.57;0;0
NA;2;2;406;501;501;501;406;100;100;93.5;559.43;559.43;499.5;2.52;1;0.33
NA;3;2;465;767;767;767;465;50;100;124;345.67;345.67;589;2.37;0;0
NA;4;5;440.6;767;767;673.5;348;80;100;266.2;1992.08;1992.08;706.8;3.45;1;0.17
NA;5;8;466.25;897;897;716.5;396;75;100;266.75;2016.12;2016.12;733;3.44;2;0.2
NA;6;8;413.12;897;897;529.5;327;87.5;100;408.38;3064.1;2536.16;821.5;3.81;2;0.2
NA;7;8;390.25;696;696;612.5;300;75;100;329.25;2427.39;2411.57;719.5;3.72;4;0.33
NA;8;8;480.75;789;789;726;538;50;100;299.12;2244.88;2229.06;779.88;3.59;3;0.27
NA;9;7;642.71;897;897;826;736;28.57;100;338.43;2581.72;2563.64;981.14;3.79;3;0.3
NA;10;9;617.22;822;822;737;699;44.44;100;328.56;2592.75;2575.56;945.78;3.8;2;0.18
NA;11;9;662.11;737;737;736.5;699;22.22;100;343.22;2668.08;2646.13;1005.33;3.85;2;0.18
NA;12;12;585.25;888;888;705;599.5;50;100;426.33;3307.43;3264.66;1011.58;4.3;1;0.08
NA;13;10;606.6;888;888;708.25;599.5;50;100;448.3;3567.02;3518.5;1054.9;4.46;2;0.17
NA;14;10;647.3;907;907;682.75;639.5;30;90;432.7;3382.62;3334.1;1080;4.33;2;0.17
NA;15;9;746.89;976;976;920;750;22.22;66.67;344;2755.35;2718.48;1090.89;3.9;1;0.1
NA;16;11;641.09;976;976;803;692;36.36;81.82;391.91;3070.89;3038.29;1033;4.13;2;0.15
NA;17;11;681.73;976;976;864;692;27.27;81.82;358.36;2852.86;2822.7;1040.09;3.98;4;0.27
NA;18;11;580.45;803;803;733;607;45.45;100;386.82;3167.33;3150.96;967.27;4.21;1;0.08
NA;19;11;563.36;803;803;733;523;54.55;100;454.27;3423.11;3150.08;1017.64;4.21;0;0
NA;20;15;575.87;850;850;733;558;53.33;100;464.47;3243.1;3042.87;1040.33;4.13;2;0.12
