runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;2;515.5;837;837;837;515.5;50;100;397.5;4638.3;4638.3;913;5.25;0;0
NA;2;2;317;373;373;373;317;100;100;193.5;2677.35;2677.35;510.5;3.87;0;0
NA;3;5;416.4;802;802;598.5;325;80;100;170.6;1693.7;1693.7;587;3.24;0;0
NA;4;4;499;802;802;726.5;447.5;75;100;136;1006.09;1006.09;635;2.77;0;0
NA;5;4;499;802;802;726.5;447.5;75;100;136.5;1006.25;1006.25;635.5;2.77;0;0
NA;6;9;553.22;832;832;791;526;66.67;100;343.44;3549.73;3549.73;896.67;4.51;0;0
NA;7;10;531.4;933;933;838.25;506.5;60;90;372.6;3772.36;3772.36;904;4.65;0;0
NA;8;11;588.55;874;874;729;589;54.55;100;421.45;4139.85;4139.85;1010;4.91;0;0
NA;9;11;588.55;874;874;729;589;54.55;100;421.45;4139.97;4139.97;1010;4.91;0;0
NA;10;12;545;930;930;789;484;58.33;91.67;647.42;5360.45;4428.69;1192.42;5.1;0;0
NA;11;12;557.75;930;930;752.25;506.5;58.33;91.67;419.5;3777.41;3770.22;977.25;4.64;0;0
NA;12;16;580.56;1041;1041;756.75;570.5;50;93.75;361.69;3057.39;3057.39;942.25;4.14;0;0
NA;13;15;571.8;1040;1040;768;538;60;93.33;325.87;2812.65;2812.65;897.67;3.97;0;0
NA;14;13;451.23;774;774;554.5;455;84.62;100;324.23;3141.07;3141.07;775.46;4.2;0;0
NA;15;11;511.45;804;804;672;538;63.64;100;281.27;2574.65;2574.65;792.73;3.8;1;0.08
NA;16;14;499.86;804;804;682.5;499.5;71.43;100;301.29;2740.63;2740.63;801.14;3.92;0;0
NA;17;15;490.13;980;980;647;468;73.33;93.33;389;3804.33;2640.69;879.13;3.86;0;0
NA;18;13;558.08;1011;1011;675.5;497;69.23;92.31;286.46;2771.51;2771.51;844.54;3.95;1;0.07
NA;19;8;601.62;881;881;767.75;626;50;100;231.62;2039.75;2039.75;833.25;3.44;1;0.11
NA;20;6;627;797;797;709.25;641;33.33;100;325.83;2989.68;2989.68;952.83;4.09;1;0.14
