departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
929.0;31144040261-2;drtA2;34951902_0;387618.28;3950773.84;846599943_0_r;379628.51;3951061.49;359.0;1968.0;680.0;9164.14;8648.12;-8.05;1829;3660.58
1223.0;31157191992-5;drtA2;155224457_1;382632.83;3950367.19;263041982_1;376590.2;3950937.76;484.0;2356.0;649.0;7204.85;6894.4;-6.83;2123;3850.21
4618.0;31123037701-7;drtA35;286703470_0;388328.01;3949449.87;116429945_12;379634.58;3944818.55;317.0;5624.0;689.0;11374.51;11374.51;-9.96;5518;7832.07
16208.0;31123033481-1;drtA28;58705987_2;375151.62;3944747.76;286703470_0;388328.01;3949449.87;335.0;17368.0;825.0;17289.68;17289.68;-14.1;17108;19858.68
17414.0;31154009671-1;drtA2;31092611_2;376757.91;3949057.07;103273018_1;382311.13;3951931.66;419.0;18598.0;765.0;9702.8;9702.8;-8.79;18314;20841.8
25226.0;31157247681-1;drtA0;101725282_0;377901.04;3950919.76;31765012_0_r;377915.69;3946874.85;246.0;26140.0;668.0;5189.63;5189.63;-5.63;26126;28311.48
27624.0;31124074313-1;drtA0;221139150_0;375730.46;3946310.03;282583332_0_r;374980.18;3946703.98;501.0;28299.0;174.0;1195.01;1195.01;-2.84;28524;29326.92
27632.0;31132019374-1;drtA42;72561183_3;381371.99;3947774.28;138391428_0;382187.92;3947377.32;360.0;28244.0;252.0;1626.35;1433.08;-3;28532;29460.83
28213.0;31157098653-1;drtA13;187409676_3;377091.7;3948146.49;35939500_0_r;377711.36;3948612.67;358.0;28837.0;266.0;1831.56;1831.56;-3.28;29113;30091.93
29708.0;31143045853-1;drtA23;201705623_0_r;380528.87;3950438.07;58206779_0;379592.63;3952032.71;224.0;30257.0;325.0;2750.03;2750.03;-3.93;30608;31839.29
30016.0;31157253071-1;drtA13;44220005_3;378519.25;3948848.35;178904689_0_r;380868.32;3949108.07;283.0;30595.0;296.0;3476.55;3476.55;-4.43;30916;32073.27
30022.0;31137035021-1;drtA42;210668305_0;381517.22;3947914.53;147812397_0;386945.14;3946100.77;298.0;30907.0;587.0;9366.29;9366.29;-8.56;30922;32954.29
30622.0;31124015572-1;drtA0;170175600_0;373921.38;3945112.73;531915925_0;374408.31;3944175.33;375.0;31360.0;363.0;1733.29;1733.29;-3.21;31522;32637.26
31216.0;31124063691-1;drtA10;1137848390_0;376197.71;3942599.84;258374001_0_r;376215.9;3943350.69;238.0;31598.0;144.0;1362.43;1362.43;-2.95;32116;32825.08
31218.0;31127117291-1;drtA19;34622778_1;376546.21;3946636.55;156280203_3;383335.69;3954796.51;364.0;32547.0;965.0;13847.9;13847.9;-11.69;32118;35322.31
32418.0;31155018221-1;drtA13;100633560_2;376140.43;3948568.64;100633645_0;376124.03;3948530.43;521.0;32956.0;17.0;99.19;99.19;-2.35;33318;33666.3
32424.0;31132013172-3;drtA12;92712572_4;382888.85;3947278.75;139712009_0;383586.26;3948171.36;249.0;32790.0;117.0;1588.8;1588.8;-3.11;33324;33967.57
32429.0;31124087952-1;drtA17;207665255_0;380774.83;3945427.31;455596420_0_r;381399.68;3944306.09;211.0;32900.0;260.0;1727.15;1727.15;-3.21;33329;34374.87
32434.0;31123024841-3;drtA40;61565692_3;376279.88;3946031.6;31764143_4;376793.65;3946004.21;413.0;32938.0;91.0;661.04;661.04;-2.46;33334;33901.01
32435.0;32122021821-2;drtA5;259001327_0_r;373651.59;3948426.83;282318044_0;378005.43;3945473.65;399.0;33661.0;827.0;7239.05;7239.05;-7.07;33335;36043.82
33316.0;31124088011-1;drtA1;107875919_0;380866.02;3945650.94;1074238465_2;381914.32;3946630.39;208.0;33740.0;216.0;2062.2;2062.2;-3.44;34216;35027.76
34219.0;31137034552-1;drtA39;202402146_0;379717.53;3949347.62;139079446_0;382877.87;3948393.81;265.0;35053.0;569.0;6064.73;6064.73;-6.25;35119;36969.88
34231.0;31106025802-2;drtA28;115754213_0;386721.4;3951818.86;375809348_0;382351.12;3949964.77;364.0;35050.0;455.0;5855.78;5855.78;-6.1;35131;36562.15
36497.0;31046041982-1;drtA11;454030062_0_r;385002.7;3951636.72;39383377_0_r;381616.54;3949878.09;361.0;37518.0;660.0;7629.12;4815.23;-5.37;37397;38851.63
36632.0;31131023461-2;drtA11;143183291_5;386138.4;3951299.92;41857306_0;382958.51;3948896.49;508.0;37791.0;651.0;8506.48;5810.84;-6.07;37532;39033.08
37841.0;32245014231-2;drtA28;381689887_2;381468.5;3949801.32;39655528_4;385430.28;3950861.08;150.0;38341.0;350.0;5055.79;5055.79;-5.54;38741;40071.79
39738.0;31123058762-2;drtA35;646141270_0;378542.33;3943368.82;291824552_2;379349.24;3944836.78;355.0;40327.0;234.0;2187.16;2187.16;-3.53;40638;41627.92
41413.0;31155065662-1;drtA32;107628938_0_r;378523.98;3949855.45;33341650_0_r;379360.01;3948502.09;416.0;42040.0;211.0;2650.9;2650.9;-3.86;42313;43220.5
41421.0;31157089201-1;drtA27;660914762_15;376503.33;3953040.3;393957069_1;382261.58;3950365.17;602.0;42675.0;652.0;7753.9;7753.9;-7.43;42321;44546.09
42622.0;31124088371-2;drtA3;154321992_0_r;378684.84;3945156.62;31344052_0;379471.73;3945288.83;151.0;42978.0;205.0;1264.96;1264.96;-2.89;43522;44422.2
43215.0;31123061621-4;drtA5;154321990_0;378243.8;3945106.93;321222644_0;377431.28;3945215.21;337.0;43687.0;135.0;819.33;819.33;-2.57;44115;44803.8
43242.0;31157265641-2;drtA33;158408266_0;383212.42;3945869;48580234_0;383164.6;3945765.05;195.0;43482.0;45.0;343.41;343.41;-2.35;44142;44627.68
45918.0;31132027131-3;drtA28;86867130_4;387661.19;3951383.61;89423681_3;387445.22;3951269.9;323.0;46295.0;54.0;366.22;366.22;-2.35;46818;47272.34
46817.0;31123089261-1;drtA34;116837561_3;380447.34;3945741.37;84154030_0;382300.05;3947095.48;163.0;47179.0;199.0;2737.86;2737.86;-3.92;47717;48626.01
48055.0;31057030001-2;drtA28;374064174_0_r;387110.45;3952241.3;39436612_0;382897.96;3950387.24;204.0;48631.0;372.0;5593.39;5593.39;-5.92;48955;50332.34
48625.0;31144038841-1;drtA25;44357135_3;380047.75;3950918.5;93325442_4;387389.59;3950814.69;197.0;49340.0;518.0;8114.84;8114.84;-7.68;49525;51345
49560.0;31046035281-3;drtA34;931455736_1;382544.55;3947057.84;170232048_0;382242.83;3950658.01;132.0;50105.0;413.0;4439.87;4439.87;-5.11;50460;51945.58
49868.0;31112059412-2;drtA37;138875600_0;383246.04;3946932.49;84154030_0;382300.05;3947095.48;168.0;50230.0;194.0;1785.95;1785.95;-3.25;50768;51635.98
50110.0;31132024351-4;drtA29;161039681_0_r;381714.54;3949068.33;48274900_2;382756.84;3946195.11;269.0;50821.0;442.0;4906.62;4906.62;-5.43;51010;52577.83
50129.0;31157256261-4;drtA32;102147683_0_r;378113.63;3948680.25;35938686_0;378002.6;3948475.56;287.0;50464.0;48.0;338.3;338.3;-2.35;51029;51464.09
51625.0;51103045941-2;drtA12;138671944_0;382985.22;3947033.15;27994756_0_r;383552.43;3948303.66;179.0;51947.0;143.0;1927.56;1927.56;-3.35;52525;53225.52
52235.0;31024010871-3;drtA37;109231709_0;382713.36;3946888.53;645545865_0;385206.28;3947681.3;157.0;52662.0;270.0;3376.21;3376.21;-4.36;53135;54212.05
52258.0;32207012201-2;drtA28;1214088493_0;382821.34;3950573.14;145227800_0;385663.66;3949579.36;117.0;52612.0;237.0;3669.2;3669.2;-4.57;53158;54155.77
54038.0;31124045473-2;drtA13;281976325_0_r;376928.74;3947703.01;106506744_0_r;377338.32;3947066.68;235.0;54430.0;157.0;1078.64;1078.64;-2.76;54938;55692.77
54938.0;31157261052-3;drtA32;102147698_2;378583.04;3948949.12;101969012_1;378355.9;3949066.74;295.0;55291.0;58.0;318.66;318.66;-2.35;55838;56302.77
55808.0;31123100021-3;drtA7;163731354_0_r;378357.42;3946091.38;33689012_0_r;378084.38;3946593.53;135.0;56081.0;138.0;785.83;785.83;-2.55;56708;57402.16
56717.0;31154018853-2;drtA32;31545893_5;376702.11;3949568.73;651818953_0;375397.24;3948467.7;365.0;57706.0;624.0;3453.24;2145.97;-3.5;57617;58935.15
57016.0;31155009362-6;drtA32;191212976_1;376467.87;3949186.33;31345688_0_r;376616.34;3948507.28;242.0;57370.0;112.0;1040.45;1040.45;-2.73;57916;58534.68
57617.0;31147080201-2;drtA30;39393243_3;381157.12;3950476.01;115455987_1;379800.81;3950099.9;131.0;58104.0;356.0;1839.07;1753.3;-3.23;58517;59422.76
57627.0;31137040242-1;drtA30;115447399_0;380532.66;3950154.64;115447202_0_r;380426.64;3950117.96;275.0;57924.0;22.0;164.32;164.32;-2.35;58527;58933.34
59113.0;12038102121-2;drtA28;454590639_0_r;385648.31;3948646.04;139078287_0;382872.72;3948142.24;264.0;59685.0;308.0;3940.85;3940.85;-4.76;60013;61204.79
59452.0;31157096581-5;drtA27;384908616_0;381664.6;3950289.77;306838996_0;382522.66;3950430.17;137.0;59722.0;133.0;1620.44;1620.44;-3.13;60352;61045.68
59722.0;31037037974-3;drtA12;202625007_0_r;383989.9;3947855.46;60901091_0;382100.39;3946672.8;143.0;60175.0;310.0;2690.95;2690.95;-3.88;60622;61462.72
60618.0;31132006231-4;drtA24;115447325_0_r;380339.59;3948683.86;115447295_8;381114.36;3948142.25;272.0;61060.0;170.0;1119.97;1119.97;-2.78;61518;62313.33
61855.0;31132014731-2;drtA1;140680979_2;381911.32;3946328.37;115447509_0_r;381078.69;3948620.89;137.0;62303.0;311.0;2887.28;2887.28;-4.02;62755;63915.85
62791.0;31157268082-2;drtA30;41254418_1;379238.18;3950499.43;108201876_1;378793.89;3951123.99;210.0;63173.0;172.0;1033.36;1033.36;-2.72;63691;64487.21
63930.0;31124046712-2;drtA7;31984912_0;378144.47;3946720.04;31764416_0;378109.51;3947222.34;121.0;64167.0;116.0;725.43;725.43;-2.51;64830;65466.64
64825.0;31157125711-2;drtA33;141322250_0;383213.69;3946324.68;182823065_0;382638.94;3946930.55;149.0;65105.0;131.0;1156.76;1156.76;-2.81;65725;66327.38
64840.0;31123030462-3;drtA25;344414572_0_r;386492.67;3951492.9;381689878_0;382304.01;3950530.92;199.0;65375.0;336.0;5111.99;5111.99;-5.58;65740;67049.84
65426.0;31155074761-2;drtA8;39683468_0;382287.71;3949473.1;108117085_0;379101.75;3950686.32;143.0;66040.0;471.0;5401.07;5401.07;-5.78;66326;68035.13
65446.0;31046026542-4;drtA1;115482790_0_r;379596.2;3948558.55;107936982_0;381064.43;3949760.18;414.0;66136.0;276.0;2740.04;2740.04;-3.92;66346;67265.85
65744.0;31131029782-2;drtA37;645545865_0;385206.28;3947681.3;220547106_0;383078.5;3947726.1;61.0;66141.0;336.0;3310.21;3310.21;-4.32;66644;67931.23
66624.0;31157266121-2;drtA15;571867819_0;381447.42;3951015.45;168883149_8;378693.07;3950965.54;245.0;67144.0;275.0;3866.19;3866.19;-4.71;67524;68646.94
66674.0;31157099381-2;drtA32;103528746_0;374343.85;3950052.78;772358080_0_r;377099.1;3948298.4;357.0;67694.0;663.0;5351.66;4802.63;-5.36;67574;69056.41
66912.0;31123108481-3;drtA32;31893000_1;375277.21;3949132.26;28195305_5;379571.86;3948012.54;479.0;68138.0;747.0;7023.62;6090.28;-6.26;67812;69631.56
67228.0;31157239971-2;drtA30;512244220_1;379723.61;3951169.96;107699623_0;378595.12;3949650.66;156.0;67710.0;326.0;2214.2;2214.2;-3.55;68128;69362.17
68184.0;31157077241-2;drtA18;571867819_0;381447.42;3951015.45;100407845_2;376983.82;3951403.96;148.0;68692.0;360.0;5409.23;5409.23;-5.79;69084;70410.46
68456.0;31035000171-2;drtA1;285015031_0;381507.64;3949812.52;1203906527_0;382496.5;3950504.4;171.0;68785.0;158.0;1968.18;1968.18;-3.38;69356;70113.34
69318.0;31132016311-4;drtA32;45127524_4;379222.4;3947395.24;31610335_3;379460.28;3947273.88;186.0;69555.0;51.0;370.73;370.73;-2.35;70218;70663.75
69424.0;31124110231-2;drtA33;386447770_0_r;383095.15;3947324.63;116429864_0_r;379822.51;3943696.03;171.0;70092.0;497.0;6668.55;6668.55;-6.67;70324;72088.86
70274.0;31047056481-3;drtA25;723201023_0;382350.75;3950341.42;39393249_1;381223.37;3950321.39;124.0;70724.0;326.0;2450.47;2450.47;-3.72;71174;72077.85
70692.0;31124068431-4;drtA13;191060426_1;376942.57;3947766.08;36093736_1;377521.17;3946873.34;238.0;71115.0;185.0;1337.79;1337.79;-2.94;71592;72432.73
70822.0;31124053472-3;drtA30;33342101_1;379434.81;3948518.69;169380931_5;374914.04;3948375.06;275.0;71425.0;328.0;4954.07;4954.07;-5.47;71722;72996.3
71167.0;31105008501-2;drtA6;997818147_0;384611.06;3943476.06;142107526_1;381851.83;3945653.27;309.0;71893.0;417.0;6467.95;6467.95;-6.53;72067;73575.08
72041.0;31131027482-2;drtA25;72561154_2;381650.42;3949036.07;115447287_0_r;380512.2;3949354.07;251.0;72488.0;196.0;1712.43;1712.43;-3.2;72941;73776.13
72680.0;81014015974-6;drtA35;158872637_0_r;379699.62;3945289.44;215955359_0;382392;3946824.42;109.0;72997.0;208.0;3308.01;3308.01;-4.32;73580;74461.83
