departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
611.0;61357051221-14;drtB15;685140360_0;372753.51;3941602.39;47360805_0;372101.1;3941795.04;526.0;1269.0;132.0;839.32;839.32;-2.59;1511;2192.66
1701.0;32083000661-2;drtB10;1064039460_0;379509.8;3947181.13;85780852_0_r;367455.28;3946624.41;312.0;3358.0;1345.0;15795.15;15795.15;-13.06;2601;6452.17
21617.0;31123063121-1;drtB16;154485151_0_r;377951.41;3945139.06;116429861_7;378589.69;3944463.26;243.0;22112.0;252.0;1479.38;1479.38;-3.04;22517;23537.66
23421.0;31123057381-1;drtB16;1094688557_0;378696.08;3943922.99;163337220_1;375326.31;3944296.11;163.0;23922.0;338.0;4936.46;4936.46;-5.46;24321;25589.88
27339.0;61357052003-1;drtB10;155408731_0;366594.82;3944922.41;155287205_0_r;367176.39;3944211.08;377.0;27902.0;186.0;1192.59;1192.59;-2.83;28239;29075.43
27908.0;31124051454-1;drtB8;154488799_0;378678.8;3944419.03;49001353_1;380380.48;3944264.31;318.0;28623.0;397.0;2885.06;2840.56;-3.99;28808;30184.76
27978.0;31127128782-1;drtB6;37145974_0_r;375558.04;3946590.37;282087427_0;377297.12;3947529.12;348.0;28724.0;398.0;2662.87;2662.87;-3.86;28878;30344.72
28836.0;61352023841-1;drtB4;255674217_1;369738.2;3943875.9;203708078_0_r;369634.71;3942757.36;208.0;29317.0;273.0;1677.32;1677.32;-3.17;29736;30829.77
29439.0;31123029643-1;drtB16;60009996_1;376705.78;3944642.38;42305087_0;375719.93;3946280.06;370.0;30238.0;429.0;2700.96;2700.96;-3.89;30339;31878.4
29733.0;42164003752-1;drtB7;636657118_0_r;355958.28;3930413.81;46614493_1;357156.67;3931473.28;617.0;30683.0;333.0;2105.1;2105.1;-3.47;30633;31891.62
29762.0;91536015843-1;drtB13;150719244_8;357177.39;3934567.36;152566373_1;354742.06;3932767.39;398.0;32229.0;2069.0;13067.7;3757.6;-4.63;30662;32599.65
30222.0;32094008771-1;drtB13;671205322_0_r;359787.91;3933145.48;35907322_5;359315.8;3935125.32;470.0;31199.0;507.0;2589.2;2535.67;-3.77;31122;32599.51
30633.0;31123020761-1;drtB16;1137848397_0;375641.61;3943370.94;60251604_7;377196.74;3944051.88;447.0;31317.0;237.0;2956.58;2956.58;-4.07;31533;32535.99
30660.0;32254011021-1;drtB10;168133955_1;365484.64;3944486.42;167803976_0_r;366071.18;3945225.41;403.0;31228.0;165.0;1331.85;1331.85;-2.93;31560;32347.63
31512.0;91535014563-1;drtB7;1211985804_0;359654.31;3932070.93;1114982395_0_r;360383.71;3932793.72;552.0;32278.0;214.0;1371.42;1371.42;-2.96;32412;33340.17
34217.0;32087035861-3;drtB3;126746299_0_r;371654.22;3947205.56;125775436_3;371755.39;3947242.91;281.0;34538.0;40.0;199.07;199.07;-2.35;35117;35530.63
34521.0;32084032611-2;drtB10;136135401_2;368511.1;3946539.21;259018935_0;368700.97;3946332.16;333.0;34935.0;81.0;485.4;485.4;-2.35;35421;35972.28
37044.0;32094054692-1;drtB7;315840169_0_r;357498.08;3935803.42;26277162_1;356690.41;3935820.65;806.0;38102.0;252.0;1646.37;1646.37;-3.15;37944;38982.18
37816.0;32084027831-1;drtB3;37813172_1;372481.59;3946150.1;197278614_5;372555.02;3945611.83;328.0;38295.0;151.0;942.06;942.06;-2.66;38716;39454.05
39617.0;31127120492-1;drtB16;116433125_1;375743.74;3944966.28;116436370_0_r;376192.12;3945755.32;423.0;40256.0;216.0;1284.34;1284.34;-2.9;40517;41441.49
