departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
25534.0;91532019121-1;drtC6;313953430_0_r;356300.64;3933830.09;265021667_0_r;352711.18;3936172.93;434.0;28540.0;2572.0;16339.98;5413.45;-5.79;26434;28794.04
25960.0;42167020102-1;drtC6;165019130_13;357169.48;3930283.28;25513947_0;354996.2;3929003.2;956.0;27412.0;496.0;3462.61;3462.61;-4.42;26860;28644.95
27487.0;42164013975-1;drtC0;493697369_0_r;354150.27;3927139.19;116453892_0;354584.38;3927415.58;835.0;28504.0;182.0;1219.12;1219.12;-2.85;28387;29218.97
27935.0;32097081131-1;drtC2;142122425_0_r;361472.96;3935942.36;91747055_1;361318.83;3934427.92;647.0;29030.0;448.0;1973;1973;-3.38;28835;30064.5
28819.0;42141006601-1;drtC4;32353619_3;344798.02;3918988.94;311744359_0_r;347544.96;3918865.87;602.0;30145.0;724.0;4245.01;3462.51;-4.42;29719;31265.57
28825.0;42141006942-1;drtC3;311773864_0_r;350235.21;3918265.57;166127573_0_r;348514.15;3920357.14;594.0;29885.0;466.0;3659.29;3659.29;-4.56;29725;31409.39
28835.0;42133043844-1;drtC0;105152257_0;358295.85;3929673.12;249164705_0;358114.33;3929148.19;891.0;29857.0;131.0;810.16;810.16;-2.57;29735;30413.75
28841.0;42142008311-1;drtC4;32353716_2;345273.05;3919427.69;322488344_0;345378.48;3919721.86;787.0;29693.0;65.0;435.23;435.23;-2.35;29741;30232.55
30207.0;42141000884-1;drtC4;114916323_1;346826.44;3918630.06;186129763_0;346357.92;3917460.75;183.0;30619.0;229.0;1462.5;1462.5;-3.02;31107;32061.56
30615.0;42163006644-1;drtC0;205939084_1;356129.93;3930308.91;194273756_1;357576.41;3928214.95;517.0;31623.0;491.0;3369.23;3369.23;-4.36;31515;33262.02
31532.0;42164011112-1;drtC0;165019137_0_r;357487.34;3929929.6;1212658096_0;357705.33;3928727.71;546.0;32438.0;360.0;1575.26;1575.26;-3.1;32432;33366.14
32425.0;32093030402-1;drtC2;107599707_0;362003;3934618.3;142122464_2;361598.66;3935061.43;234.0;32785.0;126.0;803.58;803.58;-2.56;33325;33992.81
