departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
25812.0;42113007354-1;drtD0;316021071_0;339491.56;3914597.77;556376258_0;338649.62;3913962.76;803.0;26944.0;329.0;1726.87;1726.87;-3.21;26712;27789.67
27027.0;42113006674-1;drtD0;316233721_0;338032.66;3915947.45;316046317_0;339319.15;3915214.94;454.0;27926.0;445.0;1770.66;1770.66;-3.24;27927;29004.07
36024.0;42142013272-1;drtD2;110897057_0_r;346005.03;3917827.78;691590410_0;346769.21;3918296.32;435.0;36656.0;197.0;1392.12;1392.12;-2.97;36924;37783.96
39660.0;42118023262-1;drtD0;316021084_0;339682.75;3914735.63;558090070_1;339134.26;3916367.06;260.0;40209.0;289.0;2617.89;2617.89;-3.83;40560;41703.18
45611.0;42113002592-4;drtD0;556282773_0;334865.05;3918280.52;204881831_0;336574.49;3916597.25;733.0;46736.0;392.0;3726.96;3726.96;-4.61;46511;47969.56
50435.0;42113011312-1;drtD2;197515789_4;344171.97;3916828.52;1042747061_1;347946.04;3914021.17;850.0;51997.0;712.0;5501.87;5501.87;-5.85;51335;53749.64
54665.0;42113000032-3;drtD1;576229020_0;345267.42;3918419.27;106474341_1;343643.51;3917592.18;558.0;55630.0;407.0;2327.6;2327.6;-3.63;55565;56716.79
55379.0;42114008803-2;drtD0;205211803_0;337953.78;3918191.85;316324739_0_r;338010.28;3916668;523.0;56186.0;284.0;2139.45;2043.01;-3.43;56279;57348.04
55882.0;42037039001-2;drtD1;626893500_1;347120.24;3919484.19;164813471_5;347608.54;3913414.68;630.0;58263.0;1751.0;11061.51;8238.21;-7.77;56782;60041.63
56405.0;42142002851-6;drtD1;576229020_0;345267.42;3918419.27;662541492_0_r;344485.51;3917829.08;554.0;57288.0;329.0;1323.78;1323.78;-2.93;57305;58060.6
61241.0;42113005392-2;drtD0;317117556_0_r;334039.26;3917219.2;316529854_0_r;335839.97;3915706.5;784.0;62371.0;346.0;3021.74;3021.74;-4.12;62141;63430.74
63621.0;42113007051-2;drtD0;317521291_0;339868.88;3915242.16;556703908_0;338093.21;3916577.34;710.0;64649.0;318.0;3146.68;3146.68;-4.2;64521;65783.08
66699.0;42114015862-2;drtD0;204881831_0;336574.49;3916597.25;316053929_1;338814.62;3915285.46;310.0;67446.0;437.0;3337.58;3253.96;-4.28;67599;69133.34
68419.0;42114021422-1;drtD0;205010410_0_r;337543.74;3916107.71;80141194_2;338856.85;3915590.17;332.0;69017.0;266.0;1893.41;1893.41;-3.33;69319;70407.3
72088.0;42113001331-2;drtD0;317096884_0_r;336398.48;3917653.87;558090070_1;339134.26;3916367.06;702.0;73255.0;465.0;3658.34;3658.34;-4.56;72988;74669.01
