vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtA1;14942.33;9657.7;5284.64;9657.7
drtA27;15644.43;9374.34;6270.09;9374.34
drtA2;29679.91;22569.93;7109.98;26071.79
drtA28;56997.79;41770.91;15226.88;41770.91
drtA29;6979.69;4906.62;2073.07;4906.62
drtA0;15761.57;8117.93;7643.64;8117.93
drtA9;0;0;0;0
drtA7;2329.39;1511.26;818.13;1511.26
drtA8;13970.41;11092.02;2878.39;11092.02
drtA5;10851.66;8058.39;2793.27;8058.39
drtA6;9580.59;6467.95;3112.65;6467.95
drtA3;1933.64;1264.96;668.68;1264.96
drtA4;0;0;0;0
drtA30;15619.44;10040.69;5578.75;10205.01
drtA31;0;0;0;0
drtA10;3430.78;1362.43;2068.35;1362.43
drtA32;28670.86;16236.22;12434.64;20547.56
drtA11;13470.28;10222.37;3247.91;16135.6
drtA33;11287.24;8168.72;3118.52;8168.72
drtA12;10753.41;6207.3;4546.11;6207.3
drtA34;8692.19;7177.73;1514.45;7177.73
drtA13;21590.2;7823.74;13766.47;7823.74
drtA35;26959.88;18482.86;8477.02;18482.86
drtA14;0;0;0;0
drtA36;0;0;0;0
drtA15;5050.6;3866.19;1184.42;3866.19
drtA37;10805.75;8840.77;1964.98;8840.77
drtA16;0;0;0;0
drtA38;0;0;0;0
drtA17;2562.42;1727.15;835.27;1727.15
drtA39;7546.35;6064.73;1481.61;6064.73
drtA18;6593.64;5409.23;1184.42;5409.23
drtA19;15957.46;13847.9;2109.56;13847.9
drtA40;3446.5;661.04;2785.47;661.04
drtA41;0;0;0;0
drtA20;0;0;0;0
drtA42;15652.41;10992.65;4659.76;10992.65
drtA21;0;0;0;0
drtA22;0;0;0;0
drtA23;3746.69;2750.03;996.66;2750.03
drtA24;2623.29;1119.97;1503.33;1119.97
drtA25;22436.44;17389.72;5046.72;17389.72
