vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtB2;0;0;0;0
drtB15;10789.34;3537.25;7252.1;3537.25
drtB3;29814.91;12161.32;17653.58;12161.32
drtB16;28619.01;14430.86;14188.16;14430.86
drtB0;0;0;0;0
drtB1;5177.12;3023.83;2153.29;3023.83
drtB8;8077.94;5296.51;2781.43;5296.51
drtB9;10717.54;2610.19;8107.35;2610.19
drtB6;16680.85;5567.72;11113.14;5567.72
drtB7;98139.93;42994.77;55145.16;45867.99
drtB4;7359.2;2711.75;4647.45;2711.75
drtB5;0;0;0;0
drtB10;38242.12;22497.99;15744.13;22497.99
drtB11;4150.28;1119.59;3030.69;1119.59
drtB12;27903.48;22016.43;5887.04;22016.43
drtB13;37177.29;22477.32;14699.97;26330.38
drtB14;8786;7597.77;1188.23;7597.77
