runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;4;779.5;1179;1179;1150;818;50;50;612.25;6082.5;6082.5;1391.75;6.26;0;0
NA;2;5;564.2;1063;1063;818;571;80;80;491.4;4882.86;4876.01;1055.6;5.41;0;0
NA;3;5;685;1190;1190;965;649;40;80;612.2;5830.69;5823.85;1297.2;6.08;0;0
NA;4;9;636;1190;1190;769;669;33.33;88.89;421.67;3802.32;3802.32;1057.67;4.68;0;0
NA;5;9;683.89;1190;1190;896.5;684;22.22;77.78;384;3766.79;3766.79;1067.89;4.65;1;0.1
NA;6;11;648.36;1190;1190;806;667;36.36;81.82;495;4491.26;3512.26;1143.36;4.47;1;0.08
NA;7;13;598.31;1190;1190;826.5;564;53.85;84.62;436.15;3506.3;3506.3;1034.46;4.45;0;0
NA;8;14;517.29;891;891;654.75;497;57.14;100;420.29;3285.44;3285.44;937.57;4.3;0;0
NA;9;13;518.77;891;891;664;464;53.85;100;414.69;3434.47;3434.47;933.46;4.41;0;0
NA;10;14;515.36;1016;1016;672.75;447;71.43;85.71;541.57;5022.58;5008.26;1056.93;5.51;0;0
NA;11;13;518.38;942;942;692;464;61.54;92.31;458.23;3786.09;3765.71;976.62;4.64;0;0
NA;12;15;500.13;891;891;624;469;66.67;100;481.73;3993.58;3980.22;981.87;4.79;0;0
NA;13;19;638.11;1112;1112;871;672;47.37;84.21;491.95;4024;4013.45;1130.05;4.81;0;0
NA;14;20;691.2;1198;1188.4;927.75;688;40;75;531.5;4646;4292.99;1222.7;5.01;1;0.05
NA;15;18;700.67;1195;1195;926.5;735;33.33;72.22;562.06;4988.75;4584.85;1262.72;5.21;1;0.05
NA;16;15;597.67;948;948;819;672;46.67;93.33;493.47;4081.38;3596.7;1091.13;4.52;2;0.12
NA;17;14;573.93;892;892;695.25;583;50;100;470.57;3856.64;3351.67;1044.5;4.35;3;0.18
NA;18;12;551.17;1070;1070;666.75;512.5;66.67;91.67;587.92;5444.17;5444.17;1139.08;5.81;2;0.14
NA;19;16;651.38;1038;1038;889.75;617;50;75;556.69;4951.28;4951.28;1208.06;5.48;2;0.11
NA;20;21;644.14;1021;1017.1;793;615;47.62;85.71;602.57;5737.16;5737.16;1246.71;6.03;0;0
