runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;1;329;329;329;329;329;100;100;180;1245.44;1245.44;509;2.87;0;0
NA;2;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;3;4;926.5;1068;1068;1068;929.5;0;50;1459;16473.28;16465.52;2385.5;13.53;0;0
NA;4;4;926.5;1068;1068;1068;929.5;0;50;1459;16473.28;16465.52;2385.5;13.53;0;0
NA;5;5;806;1068;1068;1068;791;20;60;1316.6;14219.78;14091.03;2122.6;11.86;0;0
NA;6;2;952;1113;1113;1113;952;0;50;256;1517.34;1517.34;1208;3.06;2;0.5
NA;7;1;563;563;563;563;563;100;100;381;2359.77;2359.77;944;3.65;1;0.5
NA;8;1;563;563;563;563;563;100;100;381;2359.77;2359.77;944;3.65;1;0.5
NA;9;1;563;563;563;563;563;100;100;381;2359.77;2359.77;944;3.65;1;0.5
NA;10;3;596.33;1014;1014;1014;563;66.67;66.67;339.67;2285.21;2285.21;936;3.6;1;0.25
NA;11;3;596.33;1014;1014;1014;563;66.67;66.67;339.67;2285.21;2285.21;936;3.6;0;0
NA;12;2;814.5;1052;1052;1052;814.5;50;50;1690.5;16853.77;16853.77;2505;13.8;0;0
NA;13;1;1052;1052;1052;1052;1052;0;0;2935;30652.84;30652.84;3987;23.46;0;0
NA;14;2;641;1052;1052;1052;641;50;50;1502.5;15901.6;15901.6;2143.5;13.13;0;0
NA;15;2;641;1052;1052;1052;641;50;50;1554;15905.42;15905.42;2195;13.13;0;0
NA;16;1;1052;1052;1052;1052;1052;0;0;2940;30970.6;30970.6;3992;23.68;0;0
NA;17;1;1052;1052;1052;1052;1052;0;0;2940;30970.6;30970.6;3992;23.68;0;0
NA;18;1;1052;1052;1052;1052;1052;0;0;3934;30970.6;30970.6;4986;23.68;0;0
NA;19;4;556.75;1052;1052;962.5;511;50;75;1372.75;12320.66;12320.66;1929.5;10.62;0;0
NA;20;4;554.5;1052;1052;962.5;506.5;50;75;1372.75;12320.66;12320.66;1927.25;10.62;0;0
