departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
620.0;31124112811-4;drtA2;653751890_0_r;386379.29;3951783.22;72453619_0;376444.98;3943671.22;310.0;2716.0;1786.0;25571.89;16312.52;-13.42;1820;4815.74
929.0;31144040261-2;drtA2;34951902_0;387618.28;3950773.84;846599943_0_r;379628.51;3951061.49;247.0;1716.0;540.0;8648.12;8648.12;-8.05;2129;3702.56
1840.0;31072021661-2;drtA1;144846260_1;381593.01;3945744.56;1010971915_0;393121.61;3953804.06;271.0;3170.0;1059.0;18525.26;18525.26;-14.97;3040;6153.06
4243.0;31124072731-4;drtA35;23044299_1;385828.13;3949275.63;67138660_2;375173.77;3946082.53;185.0;5485.0;1057.0;15627.49;15458.97;-12.82;5443;8362.93
5132.0;31124015231-4;drtA37;583378753_0_r;386741.43;3948400.09;115333958_1;374251.74;3944547.06;320.0;6594.0;1142.0;15756.54;15756.54;-13.03;6332;9681.52
9838.0;31127119452-2;drtA38;286703470_0;388328.01;3949449.87;154488792_0_r;378231.58;3944222.8;388.0;11026.0;800.0;12723.47;12723.47;-10.91;11038;13370.42
14104.0;31123075281-2;drtA16;263927513_1;372166;3944609.64;319185011_0_r;392216.81;3952526.84;157.0;15948.0;1687.0;25470.54;25470.54;-19.83;15304;20284.74
16208.0;31123033481-1;drtA35;58705987_2;375151.62;3944747.76;286703470_0;388328.01;3949449.87;244.0;17277.0;825.0;17289.68;17289.68;-14.1;17408;19863.56
16597.0;31082028811-1;drtA1;1060235876_0;394505.17;3950968.03;251308522_1;381978.89;3950605.88;693.0;18054.0;764.0;13198.58;13198.58;-11.24;17797;19926.54
25223.0;31157151811-1;drtA0;194515034_0_r;377499.49;3951990.79;28993449_0_r;380970.41;3949933.33;356.0;26043.0;464.0;5280.34;5280.34;-5.7;26423;27798.24
25859.0;31123087321-1;drtA37;531915926_0;374427.01;3944049.66;234062702_3;374564.47;3943526.74;202.0;26263.0;202.0;1189.6;1189.6;-2.83;27059;27649.28
32413.0;31147062621-1;drtA27;53446268_1;380125.47;3952512.72;306095928_0;381539.94;3950997.67;274.0;33003.0;316.0;2840.73;2840.73;-3.99;33613;34522.69
34221.0;31123032721-1;drtA2;116433239_0;375961.52;3944877.37;32208032_5;375789.68;3943078.57;301.0;34808.0;286.0;2702.06;2702.06;-3.89;35421;36252.88
36008.0;31144040081-1;drtA32;150175247_42;379542.03;3951029.78;229361380_0;375166.88;3952153.35;318.0;36736.0;410.0;5466.2;4787.92;-5.35;37208;38101.67
