vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtA1;44692.07;31723.84;12968.24;31723.84
drtA27;4077.77;2840.73;1237.05;2840.73
drtA2;36385.88;31193.93;5191.95;39842.05
drtA28;6485.87;4325.85;2160.02;4325.85
drtA29;749.28;211.91;537.37;211.91
drtA0;23466.09;17057.91;6408.18;17057.91
drtA9;1234.41;816.06;418.35;816.06
drtA7;0;0;0;0
drtA8;9684.18;6652.1;3032.08;7309.15
drtA5;4857.64;2187.02;2670.62;2187.02
drtA6;0;0;0;0
drtA3;0;0;0;0
drtA4;0;0;0;0
drtA30;2520.13;2075.76;444.36;2075.76
drtA31;2186.18;1500.64;685.54;1500.64
drtA10;0;0;0;0
drtA32;7016.95;6189.32;827.63;7954.72
drtA11;0;0;0;0
drtA33;2482.65;1265.26;1217.39;1265.26
drtA12;7510.74;3886.08;3624.66;3886.08
drtA34;0;0;0;0
drtA13;0;0;0;0
drtA35;35876.76;32917.18;2959.59;32917.18
drtA14;0;0;0;0
drtA36;4262.81;2715.07;1547.74;2715.07
drtA15;0;0;0;0
drtA37;22249.2;16946.14;5303.06;16946.14
drtA16;26030.25;25470.54;559.71;25470.54
drtA38;19364.46;12723.47;6640.99;12723.47
drtA17;0;0;0;0
drtA39;0;0;0;0
drtA18;0;0;0;0
drtA19;1147.62;502.64;644.98;502.64
drtA40;0;0;0;0
drtA41;0;0;0;0
drtA20;0;0;0;0
drtA42;0;0;0;0
drtA21;0;0;0;0
drtA22;9699.97;3717.75;5982.22;3717.75
drtA23;0;0;0;0
drtA24;0;0;0;0
drtA25;0;0;0;0
