vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtB2;0;0;0;0
drtB15;23061.93;5161.83;17900.1;5161.83
drtB3;5337.55;2304.94;3032.61;2304.94
drtB16;59260.99;54743.12;4517.87;55930.29
drtB0;62766.36;58969.08;3797.28;58969.08
drtB1;0;0;0;0
drtB8;0;0;0;0
drtB9;0;0;0;0
drtB6;95151.78;92912.5;2239.28;96724.83
drtB7;7442.77;2486.16;4956.61;2486.16
drtB4;0;0;0;0
drtB5;3703.84;1260.51;2443.33;1260.51
drtB10;0;0;0;0
drtB11;0;0;0;0
drtB12;0;0;0;0
drtB13;51740.38;46076.07;5664.31;46076.07
drtB14;33941.94;30957.92;2984.02;30957.92
