runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;37;263.08;585;495;350;254;100;100;527.89;6584.1;6466.37;790.97;6.53;0;0
NA;2;77;277.43;1104;615.6;347.5;246;94.81;97.4;470.3;5774.41;5530.95;747.73;5.87;0;0
NA;3;126;323.94;1190;834.6;411.75;274;88.1;96.03;500.88;5838.83;5368.18;824.83;5.76;0;0
NA;4;145;333.51;1343;923.5;396.5;258;87.59;95.17;532.32;6290.31;5771.75;865.83;6.05;0;0
NA;5;167;343.82;1177;811.4;408;275;87.43;95.81;536.04;6243.77;5830.99;879.86;6.09;0;0
NA;6;194;314.61;1195;749.5;379.5;270.5;90.21;97.42;516.93;5925.17;5507.64;831.54;5.86;0;0
NA;7;207;325.12;1213;768;387;270;88.41;97.1;557.75;6294.18;5710.85;882.86;6;0;0
NA;8;225;331.12;1170;755.1;398.5;278;88.89;98.22;604.84;6642.85;5657.79;935.96;5.97;0;0
NA;9;229;332.41;1333;771.5;408;280;89.08;97.38;576.39;6411.53;5660.55;908.8;5.97;1;0
NA;10;227;326.85;1333;732.8;410;270;88.55;97.8;560.13;6197.28;5404.53;886.98;5.79;1;0
NA;11;233;356.37;1449;903.3;405.5;290;87.12;95.28;603.92;6526.19;5603.65;960.29;5.93;1;0
NA;12;224;375.08;1213;979.25;474.75;311.5;83.93;92.86;619.71;6730.97;5803.68;994.78;6.07;0;0
NA;13;217;361.35;1182;974.3;423;290;84.33;93.55;652.42;7280;6160.22;1013.77;6.32;1;0
NA;14;229;361.43;1343;934.5;433;286;84.72;94.32;628.84;6881.3;5759.35;990.27;6.04;1;0
NA;15;224;392.39;1241;1044.25;478.5;309.5;83.04;91.96;682.69;7198.13;5826.52;1075.08;6.08;1;0
NA;16;213;388.87;1307;973.8;485;311;80.75;93.43;641.45;7011.8;5981.09;1030.32;6.19;2;0.01
NA;17;225;347.25;1175;913.3;414.5;279;86.67;95.11;633.45;7040.04;5803.37;980.71;6.07;2;0.01
NA;18;222;355.47;1380;830.4;408.5;297;87.84;96.4;617.56;6989.88;5877.62;973.03;6.12;3;0.01
NA;19;214;350.78;1380;776.5;441;280;87.85;96.26;607.14;6764.09;5838.22;957.92;6.09;2;0.01
NA;20;204;337.09;1221;824.25;398.5;287.5;89.22;97.06;626.01;7030.62;5891.82;963.1;6.13;2;0.01
