runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;9;516.89;1114;1114;706.5;588;55.56;88.89;1203.89;11921.14;10549.58;1720.78;9.39;0;0
NA;2;16;543.69;1201;1201;656.25;514;56.25;81.25;984.38;9893.18;8730.22;1528.06;8.11;0;0
NA;3;26;583.85;1156;1149.7;730.25;524;61.54;80.77;963.38;9827.88;8416.38;1547.23;7.89;0;0
NA;4;33;591.36;1095;1041.1;827;566;51.52;81.82;1054.15;10616.22;8866.6;1645.52;8.21;1;0.03
NA;5;41;626.66;1404;1180.9;836.5;593;51.22;80.49;1010.2;10403.76;8315.84;1636.85;7.82;0;0
NA;6;42;644.21;1404;1356.75;748.25;589.5;52.38;85.71;997.19;9642.4;7329.44;1641.4;7.13;4;0.09
NA;7;41;631.85;1430;1348;753;586;53.66;78.05;899.44;9146.93;8173.67;1531.29;7.72;1;0.02
NA;8;40;630.73;1404;1156.6;796.25;592.5;50;85;977.22;9376.83;7353.03;1607.95;7.15;5;0.11
NA;9;41;645.07;1433;1389.2;769.5;602;48.78;82.93;1127.49;10376.07;7235.69;1772.56;7.06;5;0.11
NA;10;42;689.88;1464;1401.3;911.75;601.5;47.62;71.43;1179.76;10668.18;7280.31;1869.64;7.1;6;0.12
NA;11;48;667.85;1249;1164.4;854.75;654.5;39.58;83.33;1129.6;10303.28;7355.11;1797.46;7.15;3;0.06
NA;12;54;675.65;1277;1152.75;884.25;659;42.59;75.93;1092.43;10321.86;7415.59;1768.07;7.19;4;0.07
NA;13;54;718.67;1393;1174.75;958.5;738;37.04;70.37;1246;11814.99;8162.07;1964.67;7.72;4;0.07
NA;14;54;696.22;1320;1179.25;928;666.5;38.89;74.07;1285.41;11941.53;8100.61;1981.63;7.67;2;0.04
NA;15;53;752.87;1593;1392.9;923;703;32.08;73.58;1214.72;11211.2;7225.9;1967.58;7.06;4;0.07
NA;16;48;734.21;1472;1282.55;910.25;707;35.42;75;1219.25;11147.69;7587.55;1953.46;7.31;5;0.09
NA;17;50;662.16;1190;1137.9;862;611.5;48;78;1148.2;11132.55;8131.53;1810.36;7.69;2;0.04
NA;18;47;612.3;1194;1151.8;859;602;48.94;82.98;1049.09;10002.54;7586.63;1661.38;7.31;3;0.06
NA;19;41;638.07;1320;1308.1;878;593;51.22;85.37;1194.49;10402.11;7185.45;1832.56;7.03;10;0.2
NA;20;39;689.51;1320;1255;884;621;43.59;76.92;1116.85;9952.61;7205;1806.36;7.05;10;0.2
