departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
1701.0;32083000661-2;drtB10;1064039460_0;379509.8;3947181.13;85780852_0_r;367455.28;3946624.41;312.0;3352.0;1339.0;15486.51;15486.51;-12.84;2901;6446.01
10820.0;61354045964-1;drtB15;147522267_0_r;368532.43;3941383.35;750630133_0;379144.32;3948073.93;443.0;12734.0;1471.0;23597.75;23597.75;-18.52;12020;16281.34
15021.0;31124034271-1;drtB6;45856275_0;375209.58;3945406.76;291876096_7;376386.89;3943648.64;366.0;15701.0;314.0;3278.28;3278.28;-4.29;16221;17128.87
15312.0;91533015561-1;drtB7;552593576_0_r;355706.23;3930422.77;115447369_0_r;380134.46;3948024.44;652.0;19064.0;3100.0;40141.41;40141.41;-30.1;16512;25587.73
21225.0;51133024511-1;drtB0;192076287_0;368169.07;3933312.59;115447369_0_r;380134.46;3948024.44;730.0;24343.0;2388.0;27053.94;27053.94;-20.94;22425;28895.14
21565.0;61337071761-1;drtB8;680507437_0_r;378467.16;3939072.29;195248019_1;352992.91;3928533.84;973.0;28274.0;5736.0;58672.72;34457.9;-26.12;22765;32050.38
21619.0;31123076181-1;drtB11;32665707_8;373617.17;3945372.33;770599759_0_r;352885.23;3928830.31;471.0;27546.0;5456.0;54397.53;36422.28;-27.5;22819;31856.03
22824.0;32094014273-1;drtB13;1112106474_0_r;360179.48;3933965.03;41569510_0;349869.46;3942717.8;352.0;26295.0;3119.0;24922.95;16049.27;-13.23;24024;28101.26
23412.0;51177048615-1;drtB9;135242047_2;366736.6;3939012.63;148319975_0;369400.77;3943894.28;1018.0;27446.0;3016.0;17208.56;7855.29;-7.5;24612;27784.98
23426.0;32094018093-1;drtB13;173773219_3;357882.75;3938498.61;120322803_0;376270.96;3947250.89;921.0;29560.0;5213.0;60505.16;29540.73;-22.68;24626;31754.36
23427.0;31124026835-1;drtB8;242669507_0_r;376011.11;3945607.63;43099692_0_r;362711.76;3929580.49;875.0;26710.0;2408.0;26015.57;24827;-19.38;24627;30899.04
24612.0;32094029853-1;drtB13;222002961_0_r;356818.01;3939540.62;59624495_0;373480.69;3944085.83;344.0;30441.0;5485.0;62221.26;25254.39;-19.68;25812;33748.37
24618.0;61343044471-1;drtB8;113178976_4;373056.06;3940258.14;195248019_1;352992.91;3928533.84;513.0;28274.0;3143.0;31081.88;28187.69;-21.73;25818;32876.71
24644.0;42133033544-1;drtB11;27776607_1;359907.55;3931232.94;137310582_0;357471.36;3933156.31;1051.0;26266.0;571.0;3949.39;3949.39;-4.76;25844;27183.57
24942.0;61368049991-1;drtB9;203099005_0_r;369291.48;3939475.4;989378788_0;366304.25;3940319.76;292.0;25721.0;487.0;3772.92;3772.92;-4.64;26142;27577.67
