departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
3165.0;42124022751-4;drtC4;159763270_1;341685.13;3917146.82;34916619_0;351311.83;3923229.25;861.0;5205.0;1179.0;12259.94;12259.94;-10.58;4365;7740.17
16554.0;42164010171-1;drtC6;50891360_0;357060.86;3931120.14;1094371372_0;352105.7;3923571.47;415.0;18370.0;1401.0;13869.69;13869.69;-11.71;17754;21873.82
18925.0;91526008182-1;drtC2;122087146_0;356264.48;3935774.41;47195913_3;347102.18;3921483.7;516.0;22012.0;2571.0;29309.88;28177.71;-21.72;20125;27035.79
19530.0;42124002031-1;drtC4;31169572_0;351345.37;3922585.38;317592699_0_r;340641.52;3912661.17;219.0;21640.0;1891.0;16899.81;16899.81;-13.83;20730;26302.68
19820.0;42157018041-1;drtC0;165141674_0_r;355235.57;3925423.45;313265399_0;356744.31;3926848.16;367.0;20553.0;366.0;3626.26;3626.26;-4.54;21020;22134.59
20734.0;42125011421-1;drtC2;171401631_1;350965.16;3925735.94;159763270_1;341685.13;3917146.82;403.0;23066.0;1929.0;17352.01;14792.49;-12.35;21934;25990.01
21614.0;91532017364-1;drtC0;168350418_1;358281.43;3931289.5;128072904_0;357184.49;3920041.81;1122.0;26974.0;4238.0;34952.76;14033.6;-11.82;22814;27929.01
21910.0;42182008703-1;drtC5;154659075_0_r;356225.12;3922361.38;153188668_3;361445.62;3940872.16;559.0;27786.0;5317.0;40180.33;26293.47;-20.41;23110;31736.73
22545.0;42132003941-1;drtC0;26277172_0;359294.3;3930528.63;818990429_0_r;346942.65;3923503.42;524.0;30415.0;7346.0;53590.28;23541.48;-18.48;23745;29875.99
23420.0;42141004881-1;drtC3;166124858_1;348304.16;3921367.86;41907366_1;347172.41;3922534.4;360.0;24082.0;302.0;2180.31;2180.31;-3.53;24620;25517.92
23426.0;32093013201-1;drtC0;144341446_0;360086.34;3934824.01;1069570414_1;347078.26;3921675.51;1009.0;29227.0;4792.0;37089.45;27992.3;-21.59;24626;32194.57
23744.0;42154015582-1;drtC6;760435749_0;356380.04;3926106.14;322488351_0;345683.39;3921244.54;766.0;26172.0;1662.0;15769.66;15769.66;-13.04;24944;29404.31
24024.0;42163009041-1;drtC5;760198977_0_r;356998.57;3930770.82;469633513_0;352516;3911433.45;1093.0;32340.0;7223.0;57960.16;22552.65;-17.79;25224;31968.92
24516.0;42124024131-1;drtC1;705130742_0;348514.43;3928898.54;32260794_2;351197.16;3923181.29;505.0;27043.0;2022.0;24319.74;7990.03;-7.59;25716;27841.51
25207.0;42163013241-1;drtC0;150512934_0_r;356057.98;3926500.51;312261923_1;346628.32;3924317.97;635.0;30025.0;4183.0;26206.58;12417.43;-10.69;26407;30160.06
