departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
23408.0;42113014912-1;drtD2;195745625_0_r;342746.67;3915015.48;1158171282_1;320553.96;3916155.32;1052.0;29622.0;5162.0;53471.71;30970.6;-23.68;24608;32300.19
23408.0;42113014911-1;drtD2;195745625_0_r;342746.67;3915015.48;1158171282_1;320553.96;3916155.32;1052.0;29622.0;5162.0;53471.71;30970.6;-23.68;24608;32300.19
25215.0;42118022613-1;drtD2;1187349464_0;341163.27;3914654.17;224481598_0_r;340150.99;3909922.97;394.0;26768.0;1159.0;12585.72;6683.33;-6.68;26415;28135.88
25241.0;43614001033-1;drtD2;318370328_1;338114.77;3910745.22;205176345_2;339984.27;3916465.73;1154.0;27503.0;1108.0;13560.67;7823.24;-7.48;26441;28284.74
25261.0;43614000813-1;drtD0;317379237_0;337574.02;3913427.24;166177967_1;349267.75;3919327.02;1015.0;30906.0;4630.0;36656.84;17363.53;-14.15;26461;31759.01
27012.0;42113019393-1;drtD0;205060898_5;334321.02;3917358.11;317111096_0;334641.73;3918314.21;975.0;28256.0;269.0;2054.42;2054.42;-3.44;28212;28994.68
27970.0;42033022503-1;drtD1;310673059_0;350330.36;3914091.34;33998569_10;350228.61;3919883.23;992.0;29686.0;724.0;7693.61;7693.61;-7.39;29170;31332.03
28213.0;42114008902-1;drtD0;316683155_0_r;337354.72;3917710.87;486969152_0;343485.13;3916765.11;803.0;30056.0;1040.0;9022.31;8747.3;-8.12;29413;32405.45
30314.0;42033023403-1;drtD1;166942453_10;348752.14;3913523.33;558090070_1;339134.26;3916367.06;1036.0;34732.0;3382.0;24516.35;13020.02;-11.11;31514;36124.48
30582.0;42157017705-1;drtD0;202398586_2;352152.64;3917687.92;1008157293_0;330906.51;3912386.35;971.0;34126.0;2573.0;27545.39;27545.39;-21.28;31782;39454.2
31830.0;42034025893-1;drtD1;310564232_0_r;348249.28;3911762.69;526913883_0_r;346415.74;3915748.47;738.0;33279.0;711.0;5435.99;5435.99;-5.81;33030;35108.55
33648.0;42114008902-2;drtD1;486969152_0;343485.13;3916765.11;316683155_0_r;337354.72;3917710.87;275.0;36324.0;2401.0;16312.62;8671;-8.07;34848;37809.28
34225.0;42113015431-2;drtD1;316046327_0_r;339230.62;3916374.08;548299686_0_r;337267.48;3916114.7;469.0;35098.0;404.0;2803.22;2623.88;-3.84;35425;36297.35
35004.0;42113021532-1;drtD1;205009608_0;337103.74;3916170.96;291756518_0_r;335051.13;3916081.92;261.0;35720.0;455.0;2847.27;2847.27;-3.99;36204;37088.61
35448.0;42063027833-2;drtD0;816195758_0_r;331895.53;3909270.03;226039289_2;332544.73;3909057.95;378.0;35984.0;158.0;988.81;988.81;-2.69;36648;37096.69
36007.0;42113016712-1;drtD1;554001016_0_r;337243.3;3915206.69;316805898_2;336026.51;3917360.03;907.0;37373.0;459.0;3306.06;3306.06;-4.31;37207;38550.11
37233.0;42113006371-2;drtD1;317117555_2;335109.82;3917143.12;316820554_0_r;334415;3916396.37;485.0;37913.0;195.0;1356.59;1356.59;-2.95;38433;38993.77
43241.0;42113010532-2;drtD1;669636570_0;333754.69;3919506.96;200735038_6;343403;3916224.24;599.0;45297.0;1457.0;14745.29;14470.28;-12.13;44441;48699.58
46228.0;43427003891-3;drtD1;204881592_0_r;336458.2;3916061.66;711143483_0;339755.17;3915266.79;1116.0;47801.0;457.0;4890.97;4890.97;-5.42;47428;48781.36
48626.0;42118023261-2;drtD1;558090070_1;339134.26;3916367.06;316021084_0;339682.75;3914735.63;285.0;49342.0;431.0;2976.55;2836.28;-3.99;49826;50831.17
52218.0;42113014912-2;drtD2;1158171282_1;320553.96;3916155.32;195745625_0_r;342746.67;3915015.48;61.0;57970.0;5691.0;54114.28;31477.1;-24.03;53418;61174.75
52218.0;42113014911-2;drtD2;1158171282_1;320553.96;3916155.32;195745625_0_r;342746.67;3915015.48;61.0;57970.0;5691.0;54114.28;31477.1;-24.03;53418;61174.75
52842.0;43637001482-3;drtD2;318403969_2;331893.98;3912269.91;205206800_0;332463;3915139.18;571.0;53783.0;370.0;4325.57;4325.57;-5.03;54042;55135.85
54665.0;42113000032-3;drtD2;576229020_0;345267.42;3918419.27;106474341_1;343643.51;3917592.18;717.0;56008.0;626.0;4942.31;2327.6;-3.63;55865;56713.11
55266.0;42113018174-2;drtD2;113924437_0;346245.69;3919136.11;158381777_1;342087.22;3916255.3;337.0;57583.0;1980.0;14939.79;5620.8;-5.93;56466;58419.68
55808.0;42114003602-3;drtD1;254991777_4;338375.23;3915641.92;316074494_0;338435.15;3915695.46;352.0;56208.0;48.0;299.59;299.59;-2.35;57008;57148.58
55882.0;42037039001-2;drtD2;626893500_1;347120.24;3919484.19;164813471_5;347608.54;3913414.68;815.0;58875.0;2178.0;15138.12;8232.16;-7.76;57082;60035.53
55883.0;42157017705-2;drtD0;1008157293_0;330906.51;3912386.35;202398586_2;352152.64;3917687.92;492.0;59979.0;3604.0;29486.42;27190.73;-21.03;57083;64441.13
56427.0;42141000883-3;drtD1;114916323_1;346826.44;3918630.06;662377531_0_r;346987.55;3917413.24;1187.0;57804.0;190.0;1365.38;1365.38;-2.96;57627;58186.08
57682.0;42037039001-4;drtD0;626893500_1;347120.24;3919484.19;164813471_5;347608.54;3913414.68;858.0;61072.0;2532.0;17240.49;8209.95;-7.75;58882;61894.23
58577.0;43614000813-2;drtD0;166177967_1;349267.75;3919327.02;317379237_0;337574.02;3913427.24;908.0;62656.0;3171.0;27806.05;17819.38;-14.47;59777;64983.44
60316.0;42113017451-3;drtD1;311773819_0_r;342710.56;3915785.35;1032514351_0_r;343054.81;3914405.2;1008.0;61619.0;295.0;2044.23;2001.29;-3.4;61516;62350.07
61273.0;43614001033-2;drtD1;205176345_2;339984.27;3916465.73;318370328_1;338114.77;3910745.22;1157.0;63052.0;622.0;8041.55;8041.55;-7.63;62473;64347.31
62410.0;42142006611-6;drtD2;112757199_1;344702.51;3918801.52;309894566_0;346761.77;3918238.87;1061.0;63813.0;342.0;2657.12;2657.12;-3.86;63610;64619.34
63622.0;42063036423-2;drtD2;166064379_4;348372.06;3921394.97;226038411_2;332500.61;3908990.37;1075.0;68279.0;3582.0;32903.17;26869.71;-20.81;64822;72460.64
64526.0;42113001111-5;drtD1;311773767_2;342980.46;3915777.75;159517490_3;342072.79;3914351.96;1106.0;66099.0;467.0;2508.98;2508.98;-3.76;65726;66749.65
66035.0;42113006273-4;drtD2;551929189_0_r;335313.64;3916284.97;41947429_0;336621.1;3916882.48;416.0;66745.0;294.0;2467.85;2467.85;-3.73;67235;68101.16
