runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;4;213;329;329;295.25;181;100;100;159.75;1600.46;1600.46;372.75;3.14;0;0
NA;2;9;225.78;410;410;347.5;194;100;100;155.89;1546.52;1546.52;381.67;3.11;0;0
NA;3;13;216.85;504;504;303.5;161;100;100;171.54;1440.05;1440.05;388.38;3.02;0;0
NA;4;14;201.79;382;382;266;177.5;100;100;167.21;1497.88;1487.87;369;3.05;0;0
NA;5;15;200.13;329;329;278;161;100;100;182.07;1601.99;1592.65;382.2;3.12;0;0
NA;6;25;242.12;569;549.5;317;210;100;100;207.76;1805.29;1795.52;449.88;3.27;0;0
NA;7;26;232.42;631;542.1;283.5;228.5;96.15;100;193.19;1741.71;1732.31;425.62;3.23;0;0
NA;8;25;260.68;631;601.9;312;241;96;100;195.56;1741.71;1731.94;456.24;3.23;0;0
NA;9;25;244.88;500;497.6;288.5;230;100;100;150.36;1156.83;1147.06;395.24;2.85;0;0
NA;10;29;240;465;461.5;299;221;100;100;191.38;1298.4;1233.59;431.38;2.9;0;0
NA;11;31;251.1;512;493.4;295;236;100;100;211.81;1589.96;1582.51;462.9;3.13;0;0
NA;12;31;246.52;481;467.2;324;221;100;100;171.23;1314.81;1307.36;417.74;2.94;0;0
NA;13;34;251.18;589;508;332;226.5;100;100;172.85;1387.09;1380.3;424.03;2.98;0;0
NA;14;37;231.43;481;473.8;284.5;223;100;100;188;1517.74;1511.5;419.43;3.07;0;0
NA;15;32;243.16;533;499.2;294.5;240;100;100;174.03;1539.45;1532.23;417.19;3.09;0;0
NA;16;32;245.28;490;484.15;291.75;237.5;100;100;198;1782.49;1775.28;443.28;3.26;0;0
