runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;8;423.25;683;683;621.75;427;75;100;189.75;1221.34;1221.34;613;2.89;2;0.2
NA;2;8;343.75;750;750;560.25;258.5;87.5;100;151.62;936.87;936.87;495.38;2.69;3;0.27
NA;3;10;363.8;684;684;537.75;284.5;80;100;160.6;1025.19;1025.19;524.4;2.74;3;0.23
NA;4;11;357.64;1120;1120;519;239;90.91;90.91;133.91;866.7;866.7;491.55;2.64;2;0.15
NA;5;12;473.17;901;901;732;455;58.33;91.67;141.75;917.26;917.26;614.92;2.68;2;0.14
NA;6;17;520.12;1320;1320;698.5;490;70.59;82.35;166.18;994.71;994.71;686.29;2.74;2;0.11
NA;7;18;445.5;1320;1320;526.25;431.5;83.33;83.33;174.61;1089.76;1089.76;620.11;2.81;4;0.18
NA;8;21;393.33;832;829.6;520.5;353;85.71;100;172;1119.25;1119.25;565.33;2.81;1;0.05
NA;9;19;414.42;832;832;536;378;84.21;100;160.42;1071.71;1071.71;574.84;2.78;1;0.05
NA;10;19;463.95;997;997;761;353;68.42;94.74;178.16;1141.27;1059.88;642.11;2.77;1;0.05
NA;11;18;478.83;997;997;802.5;420.5;66.67;94.44;170.11;1076.9;992.77;648.94;2.74;2;0.1
NA;12;18;489.5;908;908;672.25;512.5;72.22;94.44;184.22;1098.12;1013.99;673.72;2.74;4;0.18
NA;13;15;483.13;828;828;667;487;66.67;100;151.53;991.9;991.9;634.67;2.73;2;0.12
NA;14;14;424.71;643;643;564.25;473;92.86;100;164.07;1071.88;1071.88;588.79;2.77;1;0.07
NA;15;15;429.47;693;693;565;405;93.33;100;166.2;1082.59;1075.06;595.67;2.78;1;0.06
NA;16;17;488.76;956;956;725.5;403;76.47;94.12;159.53;1054.35;1054.35;648.29;2.77;2;0.11
