runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;3;442.33;781;781;781;397;66.67;100;164;1001.16;1001.16;606.33;2.7;0;0
NA;2;5;260;423;423;410;237;100;100;170.4;1186.68;1186.68;430.4;2.83;0;0
NA;3;8;460.88;816;816;634.25;473;62.5;100;189.5;1091.46;1091.46;650.38;2.76;0;0
NA;4;13;461.77;871;871;612.5;444;76.92;100;188.62;1128.65;1128.65;650.38;2.79;0;0
NA;5;13;436.15;765;765;629;502;76.92;100;156.77;1004.64;1004.64;592.92;2.71;1;0.07
NA;6;12;373;712;712;560;322.5;83.33;100;185.5;1094.29;946.99;558.5;2.66;0;0
NA;7;9;406.89;873;873;536.5;363;77.78;100;178.33;947.84;947.84;585.22;2.66;0;0
NA;8;11;472.09;873;873;613;482;72.73;100;198.18;1325.33;1325.33;670.27;2.94;0;0
NA;9;15;502.33;1057;1057;666;422;73.33;93.33;192.33;1278.86;1278.86;694.67;2.91;0;0
NA;10;18;574.5;914;914;769.5;581.5;61.11;94.44;187.94;1320.22;1318.66;762.44;2.95;0;0
NA;11;17;525.88;806;806;713;530;70.59;100;202;1347.69;1346.03;727.88;2.96;0;0
NA;12;13;480;806;806;598;454;76.92;100;231.15;1532.28;1530.12;711.15;3.09;1;0.07
NA;13;13;582.77;903;903;781;530;53.85;92.31;187.46;1101.26;1100.84;770.23;2.8;1;0.07
NA;14;15;539.6;903;903;695;476;60;93.33;174.47;1037.56;1037.19;714.07;2.75;1;0.06
NA;15;17;496.41;928;928;753.5;405;70.59;88.24;154.29;926.98;926.65;650.71;2.67;2;0.11
NA;16;16;578.38;918;918;747;580;50;93.75;186.94;1177.97;1169.6;765.31;2.82;1;0.06
