runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;2;416.5;562;562;562;416.5;100;100;134.5;1004.89;1004.89;551;2.7;0;0
NA;2;2;416.5;562;562;562;416.5;100;100;134.5;1004.89;1004.89;551;2.7;0;0
NA;3;2;485;699;699;699;485;50;100;178;882.07;882.07;663;2.68;1;0.33
NA;4;2;523.5;699;699;699;523.5;50;100;297;1641.12;1641.12;820.5;3.21;1;0.33
NA;5;5;389.8;699;699;602.5;348;80;100;177.6;1159.53;1159.53;567.4;2.84;1;0.17
NA;6;5;351;630;630;511.5;348;80;100;161;1164.64;1164.64;512;2.82;1;0.17
NA;7;4;781.5;1024;1024;990.75;760.5;25;75;141.75;957.34;946.6;923.25;2.66;1;0.2
NA;8;4;781.5;1024;1024;990.75;760.5;25;75;141.75;957.34;946.6;923.25;2.66;1;0.2
NA;9;3;662.67;678;678;678;678;0;100;123;788.22;788.22;785.67;2.55;2;0.4
NA;10;3;662.67;678;678;678;678;0;100;123;788.22;788.22;785.67;2.55;1;0.25
NA;11;4;548.75;678;678;678;655;25;100;137.25;900.08;900.08;686;2.63;2;0.33
NA;12;3;505.67;678;678;678;632;33.33;100;150.33;980.04;980.04;656;2.69;1;0.25
NA;13;2;655;678;678;678;655;0;100;135.5;852.24;852.24;790.5;2.6;1;0.33
NA;14;2;655;678;678;678;655;0;100;135.5;852.24;852.24;790.5;2.6;1;0.33
NA;15;1;632;632;632;632;632;0;100;173;1044.29;1044.29;805;2.73;0;0
NA;16;3;388.33;632;632;632;428;66.67;100;264.33;1962.98;1962.98;652.67;3.37;0;0
