vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtA1;3353.06;1889.71;1463.35;1889.71
drtA27;0;0;0;0
drtA2;12163.13;6699.03;5464.1;6699.03
drtA28;7443.08;2636.84;4806.24;2636.84
drtA29;10639.52;5821.62;4817.91;5821.62
drtA0;12477.24;7836.26;4640.98;7836.26
drtA9;7083.66;5074.87;2008.78;5074.87
drtA7;9044.32;3651.97;5392.35;3651.97
drtA8;0;0;0;0
drtA5;0;0;0;0
drtA6;0;0;0;0
drtA3;6598.56;4490.31;2108.25;4490.31
drtA4;0;0;0;0
drtA30;839.58;285.65;553.93;285.65
drtA31;0;0;0;0
drtA10;0;0;0;0
drtA32;0;0;0;0
drtA11;0;0;0;0
drtA33;0;0;0;0
drtA12;3188.76;1084.72;2104.04;1084.72
drtA34;3165.94;1684.79;1481.15;1684.79
drtA13;4468.85;508.54;3960.31;508.54
drtA35;0;0;0;0
drtA14;0;0;0;0
drtA36;0;0;0;0
drtA15;3768.93;2081.88;1687.05;2081.88
drtA37;2812.54;1103.03;1709.52;1103.03
drtA16;3161.25;470.53;2690.73;470.53
drtA38;0;0;0;0
drtA17;0;0;0;0
drtA39;4647.16;1336.99;3310.18;1336.99
drtA18;4819.98;3520.62;1299.37;3520.62
drtA19;4834.27;3397.54;1436.74;3397.54
drtA40;1564.6;1125.66;438.94;1125.66
drtA41;0;0;0;0
drtA20;0;0;0;0
drtA42;4459.03;2339.21;2119.82;2339.21
drtA21;0;0;0;0
drtA22;0;0;0;0
drtA23;0;0;0;0
drtA24;0;0;0;0
drtA25;0;0;0;0
