vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtB2;0;0;0;0
drtB15;9721.9;2639.23;7082.66;2639.23
drtB3;10069.94;3127.58;6942.36;3127.58
drtB16;0;0;0;0
drtB0;0;0;0;0
drtB1;0;0;0;0
drtB8;0;0;0;0
drtB9;0;0;0;0
drtB6;5268.33;581.37;4686.96;581.37
drtB7;23127.11;5645.09;17482.03;5645.09
drtB4;0;0;0;0
drtB5;0;0;0;0
drtB10;0;0;0;0
drtB11;6973.14;1595.51;5377.62;1595.51
drtB12;3477.67;2978.37;499.3;2978.37
drtB13;6147.67;857.57;5290.11;857.57
drtB14;2311.35;499.24;1812.12;499.24
