runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;88;264.3;1021;663.25;329.5;224;95.45;98.86;514.43;6156.55;5430.39;778.73;5.81;0;0
NA;2;179;309.06;1090;815;363;233;88.83;96.65;577.04;6462.81;5336.59;886.1;5.74;0;0
NA;3;251;331.07;1126;829.2;388;259;86.06;96.41;575.41;6292.3;5044.64;906.49;5.54;0;0
NA;4;306;380.38;1286;917.3;513.5;302;81.37;94.77;643.23;6815.89;5201.96;1023.6;5.65;1;0
NA;5;361;381.62;1248;985.7;487;300;80.89;93.63;670.58;6991.68;5207.67;1052.2;5.65;1;0
NA;6;387;442.98;1742;1133;580;339;77;88.37;762.83;7627.29;5200.54;1205.81;5.64;1;0
NA;7;409;462.57;1627;1154.5;636;339;73.59;85.09;717.48;7339.56;5084.48;1180.05;5.56;1;0
NA;8;405;396.67;1286;1047;490;299;81.73;89.88;707.74;7352.14;5097.02;1104.4;5.57;1;0
NA;9;422;423.16;1376;1116.8;527.5;330;78.2;88.86;722.23;7215.09;5094.43;1145.38;5.57;1;0
NA;10;456;441.14;1407;1091.2;584;355;76.54;90.13;750.02;7451.92;5145.6;1191.15;5.61;0;0
NA;11;478;462.29;1576;1133.3;626.25;351.5;73.22;87.24;749.36;7542.36;5115.66;1211.66;5.59;0;0
NA;12;473;464.49;1450;1120.6;636.5;360;72.94;86.68;744.21;7345.83;5046.02;1208.7;5.54;0;0
NA;13;471;459.54;1423;1069.2;639;380;73.25;89.6;768.55;7833.28;5159.96;1228.09;5.62;0;0
NA;14;483;457.91;1377;1085;637;382;73.29;87.99;772.03;7890.77;5279.48;1229.94;5.7;0;0
NA;15;458;458.97;1339;1081.35;656.25;371.5;72.49;87.99;759.69;7649.29;5233.54;1218.65;5.67;0;0
NA;16;468;493.76;1574;1160;684.5;400.5;69.02;85.68;806.31;8082.24;5310.71;1300.07;5.72;0;0
NA;17;457;444.36;1403;1086.4;599.5;352;75.05;90.15;777.54;7736.44;5299.53;1221.9;5.71;0;0
NA;18;467;452.96;1594;1106.6;599;351;75.37;88.01;771.91;7556.91;5202.6;1224.87;5.65;0;0
NA;19;473;450.5;1326;1115;618;348;74.21;88.37;784.19;7946.53;5241.2;1234.69;5.67;0;0
NA;20;489;442.76;1519;1092.5;584;345;76.07;87.12;745.44;7345.31;5148.98;1188.2;5.61;0;0
