runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;3;584.67;781;781;781;488;66.67;100;528.33;4449.43;4449.43;1113;5.11;0;0
NA;2;6;581.83;1173;1173;894;581.5;50;83.33;336.17;2667.87;2667.87;918;3.87;0;0
NA;3;10;300.7;642;642;391;250.5;90;100;341.8;2925.37;2925.37;642.5;4.05;1;0.09
NA;4;16;541.19;1112;1112;777;490.5;56.25;93.75;318.62;2536.99;2536.99;859.81;3.78;1;0.06
NA;5;14;425.07;805;805;707.25;387;64.29;100;268.21;2030.61;2030.61;693.29;3.42;5;0.26
NA;6;22;594.86;1210;1195.75;844.75;566;63.64;81.82;579.36;4487.1;3264.59;1174.23;4.29;1;0.04
NA;7;19;688.11;1352;1352;858;693;36.84;84.21;446.84;3382.85;3356.61;1134.95;4.35;6;0.24
NA;8;20;642.9;1352;1337.85;825.25;662;40;85;405.65;3318.64;3293.71;1048.55;4.31;3;0.13
NA;9;17;610.71;910;910;807.5;651;47.06;94.12;468.65;3689.72;3660.39;1079.35;4.56;4;0.19
NA;10;21;576.48;1022;1021.9;757;534;61.9;85.71;530.14;4387.25;3658.67;1106.62;4.56;1;0.05
NA;11;25;675.44;2261;1904.9;909.5;629;48;76;466.52;3861.98;3244.28;1141.96;4.28;1;0.04
NA;12;29;713.38;1395;1364.5;1017;688;44.83;72.41;460.14;3673.3;3384.85;1173.52;4.38;2;0.06
NA;13;28;645.32;1193;1145.75;917;649;46.43;71.43;515.39;3869.32;3101.13;1160.71;4.18;1;0.03
NA;14;24;652.67;1193;1166.75;910.25;622;50;75;487;3569.83;2933.55;1139.67;4.06;1;0.04
NA;15;25;555.16;1153;1099.9;674;561;60;88;385.92;2896.9;2867.29;941.08;4.02;2;0.07
NA;16;26;554.54;1154;1043.4;676.75;559.5;65.38;96.15;435.77;3308.12;2994.6;990.31;4.1;3;0.1
NA;17;31;487.1;929;889.4;691;504;70.97;96.77;509.71;3659.18;3051.27;996.81;4.14;2;0.06
NA;18;29;548.17;1177;1114.5;706.5;560;58.62;89.66;507.07;3713.23;3224.2;1055.24;4.26;1;0.03
NA;19;32;520.53;1051;1002.25;667.5;507;65.62;93.75;515.69;3734.24;3139.57;1036.22;4.2;1;0.03
NA;20;32;598.75;1254;1131.15;724.25;600;50;81.25;358.81;2756.95;2749.34;957.56;3.93;4;0.11
