runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;4;687.75;953;953;927.25;751.5;25;75;414.25;5060.27;5060.27;1102;5.54;0;0
NA;2;8;552.75;953;953;872.75;522;62.5;75;489.25;4996.93;4986.15;1042;5.49;0;0
NA;3;10;552.1;847;847;690.25;584.5;50;100;370.3;3589.6;3580.97;922.4;4.53;0;0
NA;4;9;625.56;920;920;791;600;44.44;88.89;391.78;3426.52;3416.93;1017.33;4.42;0;0
NA;5;10;525.5;908;908;708.25;491;60;90;475.3;4105.75;4097.12;1000.8;4.89;0;0
NA;6;13;571.38;908;908;768;521;53.85;92.31;403.15;4094.29;4094.29;974.54;4.89;0;0
NA;7;18;520.06;1149;1149;671;494.5;61.11;94.44;470.83;4359.15;4181.78;990.89;4.94;0;0
NA;8;17;537;980;980;645.5;571;52.94;94.12;430.76;4132.24;4132.24;967.76;4.9;0;0
NA;9;17;563.53;1089;1089;733;493;52.94;88.24;461.41;4259.85;4259.85;1024.94;4.99;0;0
NA;10;18;460;833;833;598.25;452.5;77.78;100;432.78;4103.47;4103.47;892.78;4.87;0;0
NA;11;21;420.38;833;810;568.5;440;85.71;100;465.19;3880.75;3790.67;885.57;4.65;0;0
NA;12;28;443.18;1145;1014.05;537.5;448;82.14;96.43;479.54;3744.75;3145.27;922.71;4.2;0;0
NA;13;25;482.28;843;820.5;603;498;72;100;414.48;3260.78;3181.98;896.76;4.23;1;0.04
NA;14;23;482.78;1316;1273.6;538;468;82.61;91.3;377.91;3264.41;2891.65;860.7;4.03;0;0
NA;15;27;547.22;1155;1131.8;710;480;70.37;85.19;397.07;3359.43;3064.12;944.3;4.15;0;0
NA;16;28;485.32;1155;1088.4;582.5;455.5;78.57;92.86;346.93;2646.47;2581.99;832.25;3.81;0;0
NA;17;27;555.52;1257;1158.2;786;486;70.37;88.89;363.3;2905.11;2615.06;918.81;3.84;0;0
NA;18;23;602.22;1496;1464.2;1001;497;69.57;73.91;352.48;2784.66;2463.26;954.7;3.73;1;0.04
NA;19;19;542.74;1278;1278;676;554;63.16;89.47;312.32;2756.02;2756.02;855.05;3.94;0;0
NA;20;17;541.59;1216;1216;657.5;451;70.59;82.35;467.94;3949.44;3543.47;1009.53;4.48;0;0
