departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
1646.0;42167021581-14;drtB7;206993252_0;355270.65;3929005.85;31984472_0;355472.48;3929082.3;901.0;2584.0;37.0;244.26;244.26;-2.35;2846;2951.1
1701.0;32083000661-2;drtB10;1064039460_0;379509.8;3947181.13;85780852_0_r;367455.28;3946624.41;312.0;3355.0;1342.0;15258.58;15258.58;-12.68;2901;6458.34
24331.0;31124064491-1;drtB8;850339813_2;375991.7;3942751.16;41957073_7;379018.88;3944880.35;214.0;24870.0;325.0;4254.47;4254.47;-4.98;25531;26492.14
25224.0;61367057252-1;drtB15;56750470_8;371648.13;3939767.86;32405569_2;376760.57;3943723.78;715.0;26550.0;611.0;7830.83;7830.83;-7.48;26424;28294.3
26113.0;32084032611-1;drtB10;259018935_0;368700.97;3946332.16;136135401_2;368511.1;3946539.21;288.0;26482.0;81.0;485.4;485.4;-2.35;27313;27549.81
26720.0;31123075181-1;drtB6;175180096_1;375061.79;3946813.15;319679367_1;372549.55;3945827.91;255.0;27800.0;825.0;3266.2;3266.2;-4.29;27920;29489.3
27027.0;91535011802-2;drtB13;37708192_5;357908.24;3932105.51;242194750_8;358355.68;3932080.21;657.0;27795.0;111.0;746.57;746.57;-2.52;28227;28549.06
27033.0;32083004043-1;drtB10;28571669_0_r;369429.22;3946373.66;198701999_1;368997.99;3946573.3;231.0;27361.0;97.0;706.6;706.6;-2.49;28233;28517.01
27243.0;31105015201-1;drtB12;107836722_6;381139.25;3945540.77;254992125_5;381004.26;3946072.36;284.0;27653.0;126.0;962.99;962.99;-2.67;28443;28828.71
27619.0;31124100072-1;drtB5;50808714_1;378403.11;3946012.62;174130484_0;376748.96;3946113.64;136.0;28102.0;347.0;2404.03;2276.51;-3.59;28819;29774.7
27648.0;91522021682-1;drtB7;150860845_0_r;352479.52;3935587.03;206841995_0_r;359183.69;3932815.75;1132.0;29693.0;913.0;9117.9;9117.9;-8.38;28848;31409.58
27681.0;31123014483-2;drtB15;81857045_4;374539.43;3944774.91;211260269_6;372292.1;3944423.5;407.0;28656.0;568.0;3058.6;3058.6;-4.14;28881;30162.11
27823.0;42163014303-1;drtB13;1184666830_0;355045.83;3928975.78;31958030_0;357520.03;3930942.38;1019.0;29427.0;585.0;3682.53;3682.53;-4.58;29023;30620.32
27909.0;61367058814-1;drtB0;956169431_0_r;370115.55;3939972.24;103286520_1;367312.84;3940624.82;748.0;29517.0;860.0;3386.44;3386.44;-4.37;29109;30555.28
27922.0;61372012703-1;drtB9;130492013_3;366209.29;3940763.1;241415442_0;365311.66;3940570.59;936.0;29037.0;179.0;1155.93;1155.93;-2.81;29122;29646.83
27978.0;31157118551-1;drtB5;209198156_0_r;376095.3;3947720.05;115447369_0_r;380134.46;3948024.44;758.0;29884.0;1148.0;8574.6;4849.71;-5.39;29178;30506.85
28227.0;61371020671-1;drtB9;770944901_1;366167.64;3939930.79;971031996_0_r;367604.79;3939845.11;1138.0;29804.0;439.0;1659.25;1659.25;-3.16;29427;30292.52
28260.0;32083021742-1;drtB10;309531632_0;369115.02;3945073.37;889461674_0_r;369637.91;3946354.77;367.0;28960.0;333.0;2107.83;2107.83;-3.48;29460;30439.48
