departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
26418.0;42068029513-1;drtE3;319420038_0;335078.12;3908147.73;154654700_5;334093.15;3907262.08;554.0;27182.0;210.0;1699.48;1699.48;-3.19;27618;28217.59
26732.0;42063030841-1;drtE3;320154928_0;336030.43;3904815.5;237170980_12;333081.2;3904033.42;1216.0;28505.0;557.0;3964.52;3964.52;-4.78;27932;29602.19
29128.0;42063032284-1;drtE3;242421296_1;332457.12;3903567.73;267953661_0;331254.49;3902559.87;287.0;29831.0;416.0;2531.63;2531.63;-3.77;30328;31562.49
30621.0;42062013442-1;drtE2;566461373_0;332245.66;3904058.04;702425027_0;332463.31;3910334.06;586.0;31883.0;676.0;8059.14;8059.14;-7.64;31821;33797.9
32416.0;42068030791-1;drtE3;320432618_0_r;332247.14;3901858.51;320468458_0;332387.77;3902655.29;309.0;32896.0;171.0;1036.62;1036.62;-2.73;33616;34154.09
32427.0;43624000382-1;drtE2;205299257_4;331601.91;3911321.59;319012822_0_r;330560.44;3909840.35;318.0;33010.0;265.0;2549.57;2549.57;-3.78;33627;34402.46
34218.0;42174002432-1;drtE2;319768382_0_r;330046.39;3906948.9;332627428_0;332576.51;3903363.76;451.0;35620.0;951.0;7660.03;5356.42;-5.75;35418;36805.85
34236.0;42062001224-1;drtE2;1160088566_0_r;332063.16;3903594.47;333936912_1;332483.12;3902762.95;988.0;35452.0;228.0;1561.24;1561.24;-3.09;35436;36124.57
43249.0;42063029892-2;drtE2;208938450_2;333993.99;3904685.35;208938111_0;335396.02;3904066.92;445.0;43968.0;274.0;1946.48;1946.48;-3.36;44449;45237.78
43517.0;42174002432-2;drtE3;332627428_0;332576.51;3903363.76;319768382_0_r;330046.39;3906948.9;201.0;44148.0;430.0;5264.99;5264.99;-5.69;44717;46025.08
53426.0;42063031815-2;drtE3;197891950_5;330954.61;3906678.32;319698684_1;331028.06;3906992.75;200.0;53834.0;208.0;555.05;555.05;-2.39;54626;54868.11
57630.0;43634000513-3;drtE3;318495210_2;330152.44;3913188.35;318403969_2;331893.98;3912269.91;1167.0;59079.0;282.0;2673.89;2673.89;-3.87;58830;59647.27
57676.0;43667002184-2;drtE3;137841309_0;329868.68;3912051.14;318716041_1;329311.58;3911385.17;565.0;58371.0;130.0;1119.81;1119.81;-2.78;58876;59252.34
65468.0;42177005622-2;drtE2;333876980_0;332272.42;3902940.96;319151131_0_r;329144.06;3908446.55;643.0;67908.0;1797.0;12225.22;7627.41;-7.34;66668;68562.1
66668.0;42174000592-3;drtE2;333876980_0;332272.42;3902940.96;136558855_5;329432.94;3907470.7;314.0;67676.0;694.0;6886.49;6886.49;-6.82;67868;69973.92
70289.0;42063032401-2;drtE2;319125855_0;328205.15;3909030;705903119_0_r;332389.68;3904564.48;291.0;71162.0;582.0;6920.89;6920.89;-6.84;71489;73204.81
72936.0;42062005323-6;drtE2;226039415_0_r;330030.33;3904622.06;320593995_0;330399.86;3904660.19;672.0;73692.0;84.0;485.33;485.33;-2.35;74136;74379.75
