vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtA1;27323.6;20784.33;6539.27;24593.64
drtA27;158445.82;136453.29;21992.54;225444.06
drtA2;39722.23;33211.63;6510.59;37640.58
drtA28;142366.08;105202.62;37163.47;127615.93
drtA29;160731.4;142490.78;18240.62;235873.14
drtA0;99349.49;85551.25;13798.24;128395.46
drtA9;217203.93;186286.19;30917.74;320481.26
drtA7;63075.88;53136.23;9939.64;89413.37
drtA8;57647.92;48801.46;8846.46;54844.31
drtA5;64191.56;50538.6;13652.96;59774.45
drtA6;30468.37;25429.24;5039.13;27731.56
drtA3;59323.07;32074.78;27248.29;33741.17
drtA4;49532.74;35904.59;13628.15;44511.81
drtA30;28046.65;22901.63;5145.02;23264.95
drtA31;21119.64;16367.31;4752.33;16367.31
drtA10;76171.95;67338.98;8832.97;100021.23
drtA32;56930.31;49158.67;7771.63;74605.11
drtA11;44595.85;29940.5;14655.34;34111.87
drtA33;64706.18;50295.19;14410.98;54566.63
drtA12;41768.97;30851.18;10917.79;30851.18
drtA34;95717.97;87200.71;8517.26;143040.9
drtA13;27815.65;24602.48;3213.17;61414.39
drtA35;108246.88;93774.94;14471.94;149392.76
drtA14;44918.23;32759.15;12159.08;41076.15
drtA36;35522.43;23218.2;12304.23;30312.82
drtA15;75869.73;62757.76;13111.97;86377.88
drtA37;47582.66;35989.26;11593.4;50824.27
drtA16;7100.94;3861.6;3239.34;3861.6
drtA38;68590.95;54175.5;14415.46;70626.87
drtA17;47018.88;28349.83;18669.05;31411.84
drtA39;79366.45;64558.54;14807.91;99193.75
drtA18;28481.54;24837.57;3643.96;37009.56
drtA19;111476.37;91101.4;20374.97;121232.81
drtA40;126965.91;108902.81;18063.1;177485.79
drtA41;43553.46;39399.68;4153.78;60570.8
drtA20;84674.28;73602.79;11071.49;100253.13
drtA42;113637.78;97259.05;16378.73;148072.37
drtA21;96011.83;81361.99;14649.84;126628.57
drtA22;41955.95;38160.37;3795.58;49687.46
drtA23;63584.21;37950.95;25633.25;37950.95
drtA24;49042.81;43155.03;5887.79;79374.14
drtA25;88764.65;76700.73;12063.92;142209.38
