runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;20;481.6;862;861.5;615;507;70;100;404.05;3889.72;3889.72;885.65;2.72;3;0.13
NA;2;34;469.03;860;839.75;608.25;460;73.53;100;420.35;3395.43;3333.24;889.38;2.33;2;0.06
NA;3;45;429.67;974;827.6;565;407;80;97.78;487.4;4099.39;4096.11;917.07;2.87;1;0.02
NA;4;45;446.78;728;715.8;571;473;80;100;653.49;6273.78;6080.96;1100.27;4.26;2;0.04
NA;5;58;452.69;829;721.35;571.25;479;81.03;100;656.22;6200.55;6046.82;1108.91;4.23;3;0.05
NA;6;68;484.34;928;863.65;637.25;492;69.12;97.06;603.37;5416.57;5037.78;1087.71;3.53;5;0.07
NA;7;75;479.67;1042;897.6;619;486;72;96;597.76;5101.21;4586.34;1077.43;3.21;6;0.07
NA;8;79;464.32;1005;816;601;451;74.68;98.73;591.92;5033.43;4849.13;1056.24;3.39;7;0.08
NA;9;81;471.79;1082;793.6;590.5;478;76.54;97.53;618.81;5387.77;4907.77;1090.6;3.44;5;0.06
NA;10;90;475.14;1026;959.5;585.75;446.5;75.56;94.44;570.26;4974.64;4748.68;1045.4;3.32;6;0.06
NA;11;95;465.67;920;784.4;599;450;75.79;97.89;550.35;4781.48;4576.65;1016.02;3.2;5;0.05
NA;12;99;495.61;1047;909;623;453;67.68;93.94;533.98;4567.13;4244.55;1029.59;2.97;10;0.09
NA;13;102;499.91;1057;908.7;639.5;480.5;69.61;94.12;517.39;4329.53;3892.11;1017.3;2.72;9;0.08
NA;14;102;493.84;1047;874.55;642.5;465.5;68.63;97.06;522.1;4378.49;3901.89;1015.94;2.73;10;0.09
NA;15;100;471.46;1025;926;598;460;76;94;482.42;3790.67;3387.17;953.88;2.37;9;0.08
NA;16;97;456.41;1072;874.6;604;435;73.2;95.88;485.77;3653.7;3303.95;942.19;2.31;6;0.06
NA;17;93;455.3;997;836.1;614;443;74.19;97.85;398.26;3002.39;2851.23;853.56;2;8;0.08
NA;18;100;425.85;972;788.85;518.5;414;81;99;402.04;3291.66;3085.87;827.89;2.16;7;0.07
NA;19;105;442.49;938;806.7;558.5;435;80;99.05;449.53;3581.68;3384.53;892.02;2.37;7;0.06
NA;20;101;471.95;1324;901.2;687.5;443;67.33;95.05;571.67;4602.83;3755.46;1043.62;2.63;15;0.13
