runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;13;471.69;781;781;696.5;458;69.23;100;535.54;4703.46;4703.46;1007.23;3.29;4;0.24
NA;2;21;554.9;889;874.3;674;603;47.62;100;546.57;4759.3;4753.14;1101.48;3.33;3;0.12
NA;3;28;421.71;855;766.8;573.5;432.5;78.57;100;675.14;6312.49;5991.01;1096.86;4.19;6;0.18
NA;4;32;526.12;1013;914.2;659.5;533.5;62.5;96.88;655;5717.42;5397.81;1181.12;3.78;7;0.18
NA;5;35;518.17;1013;953.8;697;523;62.86;94.29;610.77;5209.7;4805.23;1128.94;3.36;4;0.1
NA;6;32;538.03;939;905.2;768;568;59.38;96.88;693.41;5868.48;5335.97;1231.44;3.74;9;0.22
NA;7;38;593.79;1045;864.5;739.5;628;47.37;97.37;756.76;6845.6;6019.94;1350.55;4.21;11;0.22
NA;8;34;590.26;1174;1025.5;792.25;591;52.94;91.18;781.76;7146.49;6844.28;1372.03;4.79;16;0.32
NA;9;39;620.31;915;912;849;652;41.03;89.74;729.85;5735.95;4707.07;1350.15;3.29;14;0.26
NA;10;39;574.74;1174;947;784;549;56.41;92.31;676.49;5435.24;4800;1251.23;3.36;13;0.25
NA;11;37;553.57;1043;988.1;801;541;62.16;91.89;753.14;5975.31;5287.06;1306.7;3.7;19;0.34
NA;12;40;620.83;979;945.45;791.5;654;40;92.5;811.52;6689.47;5755.04;1432.35;4.03;22;0.35
NA;13;53;601.36;1072;970.7;730.5;628;41.51;92.45;733.7;5964.26;5349.72;1335.06;3.74;20;0.27
NA;14;44;534.16;1072;877;728.5;525;61.36;97.73;798.32;6569.75;5830.79;1332.48;4.08;29;0.4
NA;15;42;599.74;1096;1048.15;790.75;541;52.38;92.86;842.88;6968.78;5748.89;1442.62;4.02;33;0.44
NA;16;42;586.62;1229;1020.4;769.75;522;59.52;85.71;834.1;6445.77;5270.83;1420.71;3.69;33;0.44
NA;17;51;557.8;1148;954.4;695;541;60.78;96.08;662.16;5013.11;4688.39;1219.96;3.28;18;0.26
NA;18;50;537.12;1148;1056.55;693.5;514;64;94;790.94;6200.59;5355.15;1328.06;3.75;13;0.21
NA;19;52;576.29;1034;998;810.5;612;48.08;92.31;932.23;7078.23;5878.13;1508.52;4.11;16;0.24
NA;20;52;557.81;900;868.8;725.5;572;55.77;98.08;816.23;6436.24;5448.43;1374.04;3.81;15;0.22
