runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;3;414.67;488;488;488;485;100;100;540;4651.89;4651.89;954.67;3.26;0;0
NA;2;4;393.75;488;488;487.25;408;100;100;862;7943.76;7943.76;1255.75;5.56;0;0
NA;3;5;438;699;699;656;331;60;100;692.6;6359.1;6359.1;1130.6;4.45;1;0.17
NA;4;6;387.5;613;613;536.5;346.5;83.33;100;622.83;5615.93;5615.93;1010.33;3.93;1;0.14
NA;5;8;381;762;762;509.25;396;87.5;100;373.62;2699.92;2462.95;754.62;1.72;1;0.11
NA;6;9;475.78;1008;1008;539.5;461;88.89;88.89;590.11;4819.23;4319.4;1065.89;3.02;2;0.18
NA;7;8;555.75;946;946;776.75;570.5;50;87.5;630.12;4910.67;4629.23;1185.88;3.24;5;0.38
NA;8;9;632.67;902;902;833.5;743;44.44;88.89;386.89;3139.49;3134.72;1019.56;2.19;5;0.36
NA;9;12;503.08;858;858;797;528.5;58.33;100;523.17;4145.57;4069.81;1026.25;2.85;3;0.2
NA;10;13;494.46;858;858;725;473;61.54;100;674;5860.21;5833.59;1168.46;4.08;2;0.13
NA;11;14;498.5;858;858;729.25;456.5;64.29;100;648.57;5566.22;5538.44;1147.07;3.88;3;0.18
NA;12;15;597.53;1153;1153;807;723;46.67;93.33;586;5098.37;5075.3;1183.53;3.55;5;0.25
NA;13;18;523.22;911;911;677.5;495;72.22;94.44;444.83;3393.24;3081.89;968.06;2.16;1;0.05
NA;14;15;469.73;835;835;677;433;66.67;100;428.4;3190.08;2811.08;898.13;1.97;1;0.06
NA;15;14;504.5;1471;1471;580.75;456.5;78.57;92.86;346.07;2510.39;2480.71;850.57;1.74;0;0
NA;16;16;406.62;792;792;475;397;87.5;100;418.19;3021.74;2999.32;824.81;2.1;2;0.11
NA;17;20;578.3;1658;1618.8;739.5;498.5;60;95;427.1;3122.31;2913.39;1005.4;2.04;1;0.05
NA;18;19;473.11;804;804;587;428;78.95;100;442.53;3402.96;3033.23;915.63;2.12;3;0.14
NA;19;18;515.94;1038;1038;680.5;487;66.67;94.44;420.56;3195.26;3169.98;936.5;2.22;3;0.14
NA;20;17;527.12;905;905;696.5;469;64.71;94.12;464.65;3470.58;3213.15;991.76;2.25;5;0.23
