runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;3;699.33;953;953;953;850;33.33;66.67;448;5579.22;5579.22;1147.33;3.91;0;0
NA;2;5;412.2;953;953;712.5;261;80;80;455.2;4691.51;4674.25;867.4;3.27;1;0.17
NA;3;5;449.8;635;635;600.5;566;80;100;597.6;6233.61;6189.5;1047.4;4.33;2;0.29
NA;4;4;519;802;802;760.25;526.5;50;100;398;3579.47;3557.9;917;2.49;1;0.2
NA;5;6;540;987;987;848.25;493;66.67;83.33;673.83;5570.26;5555.88;1213.83;3.89;1;0.14
NA;6;8;654.25;861;861;808.5;675.5;37.5;100;588.25;6169.74;6169.74;1242.5;4.32;0;0
NA;7;11;573;861;861;766;634;45.45;100;641.45;5891.56;5554.89;1214.45;3.89;0;0
NA;8;11;536.09;843;843;634;589;54.55;100;438.91;4660.6;4660.6;975;3.26;1;0.08
NA;9;12;569.92;843;843;727.5;605.5;41.67;100;521.33;5209.2;5209.2;1091.25;3.65;1;0.08
NA;10;14;530.57;840;840;718.75;552;64.29;100;556.07;5443.85;5443.85;1086.64;3.81;1;0.07
NA;11;14;539.64;833;833;636.5;525;64.29;100;524.5;4908.02;4901.86;1064.14;3.43;2;0.12
NA;12;14;593.36;998;998;714.25;556;57.14;92.86;494;4333.78;4333.78;1087.36;3.03;4;0.22
NA;13;16;518.69;840;840;677.25;532;75;100;670.38;5830.98;4886.44;1189.06;3.42;0;0
NA;14;13;498.77;752;752;649;526;76.92;100;655.15;6299.44;5051.87;1153.92;3.54;0;0
NA;15;11;392.36;585;585;545;423;100;100;399.36;3774.85;3774.85;791.73;2.64;1;0.08
NA;16;15;439.93;863;863;582;468;86.67;100;447.67;4259.51;4253.76;887.6;2.98;0;0
NA;17;14;473.07;913;913;600.5;414;78.57;92.86;640.43;6328.38;4939.17;1113.5;3.46;3;0.18
NA;18;12;594.5;913;913;783.5;590;58.33;91.67;592.58;6166.97;4831.17;1187.08;3.38;2;0.14
NA;19;11;517.91;862;862;736;567;63.64;100;590.36;5838.06;5526.39;1108.27;3.87;0;0
NA;20;8;502.62;767;767;699.75;507;75;100;686.88;6657.31;6228.76;1189.5;4.36;1;0.11
