departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
926.0;31124037151-2;drtA12;182823065_0;382638.94;3946930.55;154464490_0_r;379565.65;3945041.67;174.0;1361.0;261.0;3969.5;3969.5;-2.78;1826;2877.12
3696.0;31123043081-2;drtA42;229361291_0;381111.87;3949361.48;659079504_0_r;378096.89;3948229.48;187.0;4075.0;192.0;3252.73;3252.73;-2.28;4596;5461.37
7264.0;31132029211-2;drtA35;203035387_0;388374.38;3949967.18;115447306_0_r;380084.1;3948209.73;354.0;8359.0;741.0;11024.31;11024.31;-7.72;8164;10539.48
9838.0;31127119452-2;drtA37;286703470_0;388328.01;3949449.87;154488792_0_r;378231.58;3944222.8;385.0;11023.0;800.0;12723.47;12723.47;-8.91;10738;13374.91
21028.0;31123112021-1;drtA10;50876978_4;376663.71;3942808.87;26201523_15;378981.66;3949813.1;205.0;22201.0;968.0;14385.4;14385.4;-10.07;21928;25044.01
22538.0;31132022751-1;drtA36;41857312_1;383464.42;3948888.44;691874813_0_r;388903.3;3949444.84;216.0;23230.0;476.0;7391.11;7391.11;-5.17;23438;25144.62
23351.0;31157217941-1;drtA0;108322303_0_r;375642.99;3952617.48;41252250_0;378211.3;3949963.8;496.0;24355.0;508.0;5142.75;5142.75;-3.6;24251;26027.13
23415.0;31123089361-1;drtA1;116837724_0;380594.4;3946019.49;931455735_0;382585.14;3947205.24;339.0;23995.0;241.0;2884.85;2884.85;-2.02;24315;25220.79
23417.0;31124078311-1;drtA1;27262967_0_r;379729.53;3945570.79;93185591_0;383377.67;3946037.98;129.0;24299.0;753.0;6379.86;4945.01;-3.46;24317;25848.09
24310.0;31131020441-1;drtA35;282362416_0;380444.34;3948931.86;95793050_2;381695.91;3950702.23;211.0;24749.0;228.0;2841.97;2841.97;-1.99;25210;26199.12
25145.0;31123028242-1;drtA40;116432489_0_r;377322.02;3944485.43;845236040_0;390550.95;3954417.34;118.0;26793.0;1530.0;20242.16;20242.16;-14.17;26045;29988.48
25224.0;31123088861-1;drtA12;227213871_0;380573.51;3945782.74;186794809_0;382567.4;3944949.34;164.0;25643.0;255.0;2960.21;2944.77;-2.06;26124;27154.49
26406.0;31157101671-1;drtA0;32426821_2;377109.01;3949450.84;116949844_2;380048.77;3941969.14;293.0;28376.0;1677.0;11580.54;15171.25;-10.62;27306;31450.79
26411.0;31037038911-1;drtA22;23334782_6;384947.12;3944327.84;138917012_0;382639.37;3947540.77;304.0;27296.0;581.0;5138.38;5138.38;-3.6;27311;28911.51
26583.0;31123030981-1;drtA0;426101590_0_r;377065.03;3945354.98;24487382_0;385955.36;3947713.69;996.0;30125.0;2546.0;22860.33;11728.08;-8.21;27483;30322.54
27007.0;31046037031-1;drtA31;454587406_0;383882.37;3949531.76;437268124_0;387340.34;3951533.04;231.0;27656.0;418.0;5618.98;5618.98;-3.93;27907;29409.1
27015.0;31127118193-1;drtA37;155148727_6;377690.56;3940049.28;170179799_23;373255.19;3945277.97;647.0;29106.0;1444.0;10465.52;9016.23;-6.31;27915;30708.37
27032.0;31105016131-1;drtA17;107836722_6;381139.25;3945540.77;144481559_0;385105.86;3950764.67;284.0;28960.0;1644.0;17697.91;9016.96;-6.31;27932;30312.91
27036.0;31123081661-1;drtA17;49688788_4;379775.78;3946507.57;23578870_1;388346.6;3949823.71;670.0;28543.0;837.0;10971.39;10971.39;-7.68;27936;30483.45
27608.0;31147068162-1;drtA35;842301441_0;380730.34;3951263.76;85568113_2;388622.92;3951808.3;168.0;28459.0;683.0;9628.64;9628.64;-6.74;28508;30689.67
27623.0;31123087321-2;drtA37;234062702_3;374564.47;3943526.74;531915925_0;374408.31;3944175.33;647.0;28487.0;217.0;1265.17;1265.17;-0.89;28523;29461.18
27647.0;31081055845-1;drtA36;100102319_2;391376.64;3946378.2;161765450_0_r;380102.16;3945805.86;414.0;29012.0;951.0;14393.82;14393.82;-10.08;28547;31568.16
28041.0;31144022501-1;drtA27;95511083_0;380637.61;3951228.9;1073412897_0;384938.23;3950743.24;212.0;29192.0;939.0;9689.31;4892.25;-3.42;28941;30370.66
28215.0;31155074421-1;drtA27;108117117_0_r;379160.11;3950600.6;583378752_0_r;386706.7;3948327;357.0;29863.0;1291.0;12426.38;10655.19;-7.46;29115;31714.26
28247.0;31124013913-1;drtA37;115333951_0_r;374213.31;3944708.78;51077735_0;373401.69;3944221.45;515.0;29345.0;583.0;3682.52;1471.74;-1.03;29147;30106.23
28524.0;31131018083-1;drtA20;231288102_4;383464.97;3948600.12;115447186_1;380334.17;3949396.55;316.0;30956.0;2116.0;25501.57;4972.32;-3.48;29424;31057.78
28811.0;31143034252-1;drtA13;785791423_0_r;379222.58;3949546.6;201705622_0_r;378419.09;3950434.48;121.0;29384.0;452.0;2419.79;1656.83;-1.16;29711;30701.96
28818.0;31023019562-1;drtA20;97671343_0;389066.05;3948714.62;572505836_0;381967.43;3950217.73;579.0;29972.0;575.0;8855.99;8855.99;-6.2;29718;31681.56
28819.0;31131009282-1;drtA0;22566958_1;382173.73;3946409.15;593129405_0_r;389985.86;3948778.88;601.0;30648.0;1228.0;14538.55;10268.83;-7.19;29719;31825.86
28823.0;31157230261-1;drtA32;100407864_1;377103.9;3951219.33;306095928_0;381539.94;3950997.67;298.0;29742.0;621.0;5743.02;4687.86;-3.28;29723;30975.27
28824.0;31132013173-1;drtA22;92712572_4;382888.85;3947278.75;41857130_1;383111.01;3947876.28;113.0;29092.0;155.0;1551.47;1551.47;-1.09;29724;30483.49
28824.0;31157245633-1;drtA13;46729450_4;378144.75;3950450.16;149740926_4;378580.69;3950344.56;458.0;29525.0;243.0;1118.97;1049.02;-0.73;29724;30512.59
28830.0;32023006463-1;drtA40;102267309_0;391093.05;3954164.25;41857201_1;383358.2;3947516.69;209.0;29833.0;794.0;13890.25;13890.25;-9.72;29730;32384.08
28831.0;31157121092-1;drtA42;36879235_2;376119.48;3948331.58;1013337158_11;379049.5;3946384.66;295.0;29960.0;834.0;4481.23;4481.23;-3.14;29731;31659.83
28836.0;31105009541-1;drtA0;282756968_0;381603.91;3946422.27;520422791_1;382879.31;3947729.78;346.0;29654.0;472.0;3945.14;2727.08;-1.91;29736;30873.92
28843.0;31035004091-1;drtA38;207659090_0;386788.66;3943101.23;39683341_1;381976.5;3949628.97;601.0;30666.0;1222.0;14550.03;12813.77;-8.97;29743;32501.25
29124.0;31157267692-1;drtA32;783202731_0_r;378641.98;3950878.81;378284510_0;388962.11;3948615.93;290.0;33253.0;3839.0;38065.2;12773.39;-8.94;30024;32856.42
29719.0;31157101081-1;drtA32;32040966_10;376443.03;3949128.22;1040865313_4;388262.45;3950946.65;826.0;33530.0;2985.0;29306.61;14649.27;-10.25;30619;34049.06
29720.0;31155008803-1;drtA20;31093674_1;377514.01;3948435.06;619292956_21;382082.07;3950715.3;821.0;31493.0;952.0;6776.78;6134.25;-4.29;30620;32463.16
30039.0;31046026513-1;drtA38;39393274_0;381328.18;3950140.02;696285659_0;388611.18;3949399.54;360.0;31292.0;893.0;9929.53;9147.15;-6.4;30939;33065.04
30326.0;31123083161-1;drtA42;32231211_2;378877.76;3946686.1;282583323_1;376704.17;3946668.54;140.0;30867.0;401.0;2740.84;2740.84;-1.92;31226;32671.92
