departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
1701.0;32083000661-2;drtB10;1064039460_0;379509.8;3947181.13;85780852_0_r;367455.28;3946624.41;312.0;3352.0;1339.0;15486.51;15486.51;-10.84;2601;6445.64
4160.0;31154070111-2;drtB14;115447180_0;380108.14;3947878.82;32125389_1;378471.37;3947869.64;455.0;4828.0;213.0;1954.1;1954.1;-1.37;5060;5959.36
22876.0;31124031391-1;drtB16;116433153_2;376597.59;3945187.6;116433232_0;379266.53;3945564.71;260.0;23629.0;493.0;3136.45;3136.45;-2.2;23776;25482.66
23421.0;31123057381-1;drtB8;1094688557_0;378696.08;3943922.99;163337220_1;375326.31;3944296.11;238.0;24530.0;871.0;6237.97;4936.46;-3.46;24321;25582.68
23426.0;32094018093-1;drtB13;173773219_3;357882.75;3938498.61;120322803_0;376270.96;3947250.89;902.0;27258.0;2930.0;29843.65;29540.73;-20.68;24326;31696.65
23427.0;31124026835-1;drtB8;242669507_0_r;376011.11;3945607.63;43099692_0_r;362711.76;3929580.49;792.0;28108.0;3889.0;42627.1;24827.59;-17.38;24327;30874.98
24331.0;31124064491-1;drtB8;850339813_2;375991.7;3942751.16;41957073_7;379018.88;3944880.35;468.0;25143.0;344.0;4240.47;4240.47;-2.97;25231;26487.27
24989.0;32097079912-1;drtB7;35907322_7;359389.22;3935020.09;1173880030_0_r;359890;3935691.36;704.0;25863.0;170.0;1106.16;1106.16;-0.77;25889;26679.77
25231.0;31124073794-1;drtB8;318936057_0;375417.64;3946684.74;296110144_0;356737.65;3939813.69;743.0;30562.0;4588.0;42197.39;32406.56;-22.68;26131;34266.28
25246.0;32254011561-1;drtB13;194310732_0_r;365907.2;3945286.17;170327873_0;365947.32;3945004.68;638.0;26014.0;130.0;625.83;625.83;-0.44;26146;26634.12
26175.0;31124030933-1;drtB5;49903693_1;377348.8;3945531.73;750630133_0;379144.32;3948073.93;306.0;26994.0;513.0;3904.92;3904.92;-2.73;27075;28832.4
26724.0;61357053891-1;drtB15;243391466_2;366959.27;3942244.01;36935709_0;367086.22;3942569.99;625.0;27444.0;95.0;501.59;501.59;-0.35;27624;28213.68
