departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
22263.0;32094018271-1;drtC2;221668831_0;357914.15;3938124.42;161450365_0;349461.78;3923714.75;816.0;26711.0;3632.0;29740.26;26799.41;-18.76;23163;31041.27
23424.0;91532019342-1;drtC6;206229848_0;356582.92;3933411.65;150719242_2;357360.12;3933853.3;344.0;23975.0;207.0;1366.24;1366.24;-0.96;24324;25209.87
24024.0;42163009041-1;drtC2;760198977_0_r;356998.57;3930770.82;469633513_0;352516;3911433.45;689.0;29085.0;4372.0;36993.47;22552.65;-15.79;24924;31842.31
25216.0;42128036364-1;drtC3;41946947_0;348387.16;3923135.07;27768307_0;359980.06;3930446.9;664.0;28289.0;2409.0;19493.71;18660.17;-13.06;26116;31299.22
25217.0;42155013651-1;drtC2;315080878_0_r;357601.81;3926686.3;37037522_0;354980.83;3922017.25;484.0;27821.0;2120.0;18887.02;6731.99;-4.71;26117;29038.05
25534.0;91532019121-1;drtC6;313953430_0_r;356300.64;3933830.09;265021667_0_r;352711.18;3936172.93;252.0;27774.0;1988.0;13506.59;5413.45;-3.79;26434;28810.21
26114.0;91534021391-1;drtC6;86881535_0;356072.86;3935307.95;214619520_0_r;354073.79;3932921.39;451.0;27274.0;709.0;5123.6;5123.6;-3.59;27014;29397.35
26117.0;42141001343-1;drtC4;204624964_0;347007.09;3916761.49;176173847_0;350511.48;3921486.32;215.0;27292.0;960.0;7600.23;7600.23;-5.32;27017;29985.24
26272.0;42183013043-1;drtC0;162098072_0_r;356067.98;3924216.81;483228891_1;358731.89;3920788.28;164.0;27003.0;567.0;5262.5;5262.5;-3.68;27172;28993.2
27047.0;42132026341-1;drtC3;149685649_5;358654.09;3929238.63;83476969_0;358045.16;3929638.02;605.0;27799.0;147.0;1007.71;1007.71;-0.71;27947;28667.83
28810.0;32093056604-1;drtC6;152468756_3;357280.72;3937033.45;122006338_4;357914.82;3936470.28;866.0;29879.0;203.0;1218.62;1218.62;-0.85;29710;30593.98
28819.0;42141006601-1;drtC4;32353619_3;344798.02;3918988.94;311744359_0_r;347544.96;3918865.87;793.0;30070.0;458.0;3462.51;3462.51;-2.42;29719;31265.19
28825.0;42141006942-1;drtC5;311773864_0_r;350235.21;3918265.57;166127573_0_r;348514.15;3920357.14;788.0;30079.0;466.0;3659.29;3659.29;-2.56;29725;31412.12
30018.0;42155003015-1;drtC1;162356367_0_r;354750.98;3924847.8;31664809_6;352573.02;3923824.02;791.0;31446.0;637.0;2998.07;2998.07;-2.1;30918;32561.71
30222.0;32094008771-1;drtC3;671205322_0_r;359787.91;3933145.48;35907322_5;359315.8;3935125.32;567.0;31204.0;415.0;2589.2;2535.67;-1.77;31122;32597.19
30324.0;42124001512-1;drtC5;31463451_4;351889.77;3922662.66;31520803_0_r;351642.62;3923023.54;628.0;31047.0;95.0;728.6;728.6;-0.51;31224;31797.98
31231.0;51125033661-1;drtC5;469638073_1;351423.27;3923191.62;658711906_0_r;351072.94;3923186.14;166.0;31596.0;199.0;560.44;560.44;-0.39;32131;32700.96
31944.0;32094006511-1;drtC3;221503804_2;359643.37;3937783.67;894710182_1;358523.02;3935964.45;415.0;32695.0;336.0;2980.73;2980.73;-2.09;32844;34105.28
33331.0;42155003691-1;drtC1;986987389_0_r;354272.97;3924883.46;171438180_0;351056.97;3925324.21;413.0;34322.0;578.0;4894.42;4894.42;-3.43;34231;35833.67
36013.0;42033000061-1;drtC4;164812784_5;345992.9;3916560.48;1071937066_0;344079.71;3915227.95;674.0;37121.0;434.0;3201.42;3201.42;-2.24;36913;38509.51
36042.0;42125012242-1;drtC1;194915053_3;350668.88;3926800.07;369344537_0_r;351504.05;3923112.18;313.0;36847.0;492.0;4703.67;4703.67;-3.29;36942;38681.63
37642.0;42124016552-1;drtC5;41907902_7;347676.99;3922550.75;655184158_1;346673.57;3923650.77;546.0;38794.0;606.0;1888.6;1888.6;-1.32;38542;39689.24
38117.0;91534019322-2;drtC3;150719242_2;357360.12;3933853.3;242304128_1;357413.89;3934322.86;531.0;38753.0;105.0;693.54;693.54;-0.49;39017;39614.8
40522.0;42157017581-2;drtC1;312774105_1;352998.36;3922938.33;50802069_0;355114.4;3923733.67;440.0;41468.0;506.0;3066.7;3066.7;-2.15;41422;42906.26
41450.0;91532014012-2;drtC3;1075924291_0_r;357457.07;3934849.14;192210042_3;356472.88;3935561.86;211.0;41814.0;153.0;1749.52;1749.52;-1.22;42350;43093.76
42034.0;32097083182-3;drtC6;185949039_0;360258.63;3935622.9;947532077_0_r;359485.91;3936268.6;551.0;42783.0;198.0;1204.46;1204.46;-0.84;42934;43825.12
43221.0;91536013822-2;drtC3;45734701_1;358463.73;3932999.12;27242845_0;357872.72;3932305.24;385.0;44299.0;693.0;4393.63;1423.19;-1;44121;45037.73
43240.0;91534015541-4;drtC3;1194917323_0;356999.67;3931327.41;147925808_0;355823.18;3931132.43;801.0;44851.0;810.0;4868.7;1915.82;-1.34;44140;45359.99
43647.0;42124023431-4;drtC1;32927158_1;351497.63;3923062.41;641309275_0;351099.5;3922628.27;750.0;44501.0;104.0;617.49;617.49;-0.43;44547;45152.43
45057.0;61355049111-2;drtC4;169511832_0;341874.4;3912747.75;25304345_0_r;345618.01;3942127.94;831.0;50515.0;4627.0;41626.54;41626.54;-29.14;45957;60033.17
45630.0;42125028341-3;drtC1;194938919_0_r;349581.73;3924657.36;28832293_2;359122.54;3934486.9;436.0;48106.0;2040.0;21004.6;20836.88;-14.59;46530;52673.05
46847.0;91532014012-3;drtC6;192210042_3;356472.88;3935561.86;265021667_0;352852.08;3935662.71;706.0;48396.0;843.0;5181.14;5181.14;-3.63;47747;49866.54
47458.0;51134039742-3;drtC1;29425086_2;359174.27;3934247.3;29424536_0;359584.34;3934312.6;577.0;48378.0;343.0;1146.32;563.3;-0.39;48358;48895.24
49973.0;91532014012-4;drtC6;265021667_0;352852.08;3935662.71;198163588_6;355624.88;3931646.42;61.0;50726.0;692.0;5199.84;5199.84;-3.64;50873;53186.43
52231.0;91522009192-3;drtC1;86917349_1;356749.62;3935826.4;251715348_0_r;354641.52;3937442.39;635.0;53408.0;542.0;4560.33;4560.33;-3.19;53131;55044.66
54048.0;91536013632-4;drtC1;28832293_2;359122.54;3934486.9;27796527_2;358936.86;3932137.81;845.0;55516.0;623.0;3842.97;3842.97;-2.69;54948;56741.15
54115.0;42124027751-3;drtC5;283052667_4;351449.02;3923214.27;171401620_1;350957.08;3925801.03;900.0;55379.0;364.0;3871.38;3871.38;-2.71;55015;56383.39
55828.0;42124018572-2;drtC5;663070171_0_r;351909.47;3923237.56;41946733_1;346267.5;3923413.94;475.0;57186.0;883.0;7822.98;7822.98;-5.48;56728;59691.34
57611.0;91533018882-4;drtC1;39168242_2;358025.21;3933057.27;545592676_0;356687.51;3933522.22;381.0;58279.0;287.0;1711.05;1711.05;-1.2;58511;59634.58
57919.0;42124016292-2;drtC5;1102387879_0;348754.61;3923996.08;204194727_0;346733.03;3922556.96;624.0;59055.0;512.0;3801.12;3801.12;-2.66;58819;60604.27
58517.0;42163005382-3;drtC3;1212658094_0;357836.87;3928843.63;148965593_0_r;359226.5;3928760.1;591.0;59395.0;287.0;2076.51;2076.51;-1.45;59417;60547.19
59416.0;42183013162-2;drtC0;162098983_0_r;357460.06;3922499.53;200068707_0;355963.04;3923930;383.0;60081.0;282.0;3022.28;3022.28;-2.12;60316;61443.02
61539.0;32094050151-4;drtC1;242314636_1;356371.59;3935197.49;753249007_0;359812.3;3936052.84;464.0;63812.0;1809.0;11410.32;5234.79;-3.66;62439;64863.51
62146.0;32094007891-2;drtC1;37708443_3;358315.03;3933042;143581932_1;360370.1;3932527.25;567.0;63038.0;325.0;2618.52;2618.52;-1.83;63046;64293.97
64767.0;42187011141-2;drtC0;162351623_1;354343.79;3924243.45;1068692585_0;355717.76;3921884.9;395.0;65688.0;526.0;3340.36;3340.36;-2.34;65667;67490.03
64818.0;42124027572-4;drtC5;312149304_0_r;350672.18;3925389.86;194936796_0;349649.34;3924534.35;845.0;65940.0;277.0;1991.4;1991.4;-1.39;65718;66842.65
65444.0;32093005801-3;drtC1;25629271_0;361170.86;3939384.51;168118678_0_r;360573.39;3939486.84;630.0;66191.0;117.0;669.04;669.04;-0.47;66344;66975.04
66359.0;42154003561-6;drtC5;313114262_0_r;354777.94;3926258.13;167612983_0;354487.3;3925203.59;732.0;67293.0;202.0;1275.87;1275.87;-0.89;67259;68146.06
70407.0;91532016204-2;drtC6;150859614_0_r;353666.9;3935886.39;242195137_1;358719.71;3931701.43;874.0;72311.0;1030.0;9094.85;9094.85;-6.37;71307;74645.86
72055.0;91532019991-6;drtC6;113699047_0;358514.29;3931908.79;31958070_1;358459.78;3932338.34;461.0;72603.0;87.0;531.99;531.99;-0.37;72955;73506.24
74743.0;32097069863-5;drtC6;262817484_0;359246.6;3934845.03;142377377_1;359734.98;3937366.05;597.0;75894.0;554.0;3596.66;3596.66;-2.52;75643;77272.87
79248.0;42125011841-3;drtC5;710095368_0;350960.36;3921405.44;312419754_2;350180.84;3927051.54;683.0;80524.0;593.0;6827.66;6827.66;-4.78;80148;82154.55
