departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
31226.0;42142011132-1;drtD2;46888493_2;347063.52;3918795.29;130549589_1;347526.28;3918113.12;358.0;31835.0;251.0;1619.34;1619.34;-1.13;32126;33152.08
31513.0;42113015211-1;drtD0;547859691_0_r;339467.98;3916454.82;316046352_0_r;338875.39;3915972.4;630.0;32318.0;175.0;1056.37;1056.37;-0.74;32413;33233.87
36029.0;42033030242-1;drtD2;202514981_0_r;347731.77;3913678.61;1032514351_0_r;343054.81;3914405.2;681.0;37564.0;854.0;5770.32;5763.15;-4.03;36929;39590.42
39660.0;42118023262-1;drtD0;316021084_0;339682.75;3914735.63;558090070_1;339134.26;3916367.06;372.0;40321.0;289.0;2617.89;2617.89;-1.83;40560;41705.72
42327.0;42114011041-2;drtD1;46888499_0;346875.27;3919162.49;1071937066_0;344079.71;3915227.95;397.0;43442.0;718.0;6123.97;6123.97;-4.29;43227;45798.65
45611.0;42113002592-4;drtD0;556282773_0;334865.05;3918280.52;204881831_0;336574.49;3916597.25;905.0;46908.0;392.0;3726.96;3726.96;-2.61;46511;48006.77
50415.0;42114003302-1;drtD0;174092532_22;338220.84;3915543.89;316473356_2;336505.43;3915563.99;409.0;51200.0;376.0;2298.71;2298.71;-1.61;51315;52574.91
50435.0;42113011312-1;drtD1;197515789_4;344171.97;3916828.52;1042747061_1;347946.04;3914021.17;516.0;51663.0;712.0;5501.87;5501.87;-3.85;51335;53749.63
54665.0;42113000032-3;drtD2;576229020_0;345267.42;3918419.27;106474341_1;343643.51;3917592.18;816.0;55768.0;287.0;2327.6;2327.6;-1.63;55565;56717.06
55379.0;42114008803-2;drtD0;205211803_0;337953.78;3918191.85;316324739_0_r;338010.28;3916668;560.0;56420.0;481.0;2139.45;2043.01;-1.43;56279;57348.04
59729.0;42114008902-4;drtD0;204883056_2;334710.08;3916166.77;316683155_0_r;337354.72;3917710.87;469.0;60768.0;570.0;4575.12;4575.12;-3.2;60629;62604.05
61241.0;42113005392-2;drtD0;317117556_0_r;334039.26;3917219.2;316529854_0_r;335839.97;3915706.5;729.0;62316.0;346.0;3021.74;3021.74;-2.12;62141;63428.74
63621.0;42113007051-2;drtD0;317521291_0;339868.88;3915242.16;556703908_0;338093.21;3916577.34;712.0;64651.0;318.0;3146.68;3146.68;-2.2;64521;65777.87
66076.0;42113016711-4;drtD0;316046317_0;339319.15;3915214.94;554001016_0_r;337243.3;3915206.69;405.0;67376.0;895.0;6200.05;2702.48;-1.89;66976;68382.61
66699.0;42114015862-2;drtD0;204881831_0;336574.49;3916597.25;316053929_1;338814.62;3915285.46;401.0;67715.0;615.0;4029.18;3253.96;-2.28;67599;69140.13
68449.0;42118023242-2;drtD0;1030873456_0;338725.47;3915820.36;205032553_0_r;337684.2;3916070.12;173.0;68777.0;155.0;1186.32;1186.32;-0.83;69349;70102.88
72088.0;42113001331-2;drtD0;317096884_0_r;336398.48;3917653.87;558090070_1;339134.26;3916367.06;428.0;72981.0;465.0;3658.34;3658.34;-2.56;72988;74667.29
