vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtA1;17447.63;14093.22;3354.41;16978.07
drtA27;67465.45;54700.33;12765.12;71203.29
drtA2;23347.21;18757.85;4589.36;18757.85
drtA28;13693.07;6211.47;7481.61;6211.47
drtA29;108208.01;81911.22;26296.8;109610.01
drtA0;76422.62;65302.54;11120.08;89088.12
drtA9;8882.35;8827.19;55.16;8827.19
drtA7;79030.86;58433.64;20597.22;81681.72
drtA8;63250.47;53887.95;9362.52;63796.42
drtA5;12123.15;6860.91;5262.24;7660.81
drtA6;22959.23;18678.51;4280.72;20184.18
drtA3;31159.32;21388.35;9770.98;21388.35
drtA4;14075.59;10486.78;3588.82;10486.78
drtA30;16322.12;14228.13;2093.99;14228.13
drtA31;43150.91;38535.78;4615.13;89058.2
drtA10;59014.91;49787.86;9227.05;62173.46
drtA32;139998.53;124865.3;15133.23;257430.58
drtA11;51838.94;44507.45;7331.49;59222.57
drtA33;57868.07;42746.14;15121.93;43644.08
drtA12;27529.92;16273.76;11256.16;16273.76
drtA34;9165.27;7148.6;2016.68;7148.6
drtA13;20821.69;16914.85;3906.84;21291.66
drtA35;34665.8;24253.25;10412.55;24253.25
drtA14;25856.73;20772.46;5084.26;20772.46
drtA36;109666.13;85960.08;23706.05;102191.47
drtA15;11671.67;8162.34;3509.33;8162.34
drtA37;67771.97;41747.32;26024.65;45496.56
drtA16;46128.98;37290.4;8838.59;37290.4
drtA38;101230.45;72169.45;29060.99;74260.42
drtA17;28302.61;24163.8;4138.81;35135.2
drtA39;29647.16;27123.43;2523.74;40640.38
drtA18;24346.39;17813.01;6533.38;17813.01
drtA19;48532.25;27660.09;20872.16;30919.53
drtA40;75602.21;67684.18;7918.03;68666.19
drtA41;24649.91;22366.77;2283.14;43261.65
drtA20;59151.85;49827.11;9324.74;67796.25
drtA42;18162.7;12097.06;6065.64;12097.06
drtA21;14124.63;10859.31;3265.32;10859.31
drtA22;47515.7;40585.02;6930.68;46032.18
drtA23;7705.93;7240.73;465.2;7240.73
drtA24;70091.7;60270.11;9821.59;114793.18
drtA25;26189.59;22134.06;4055.53;23826.78
