vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtB2;50102.18;36680.2;13421.98;44480.41
drtB15;27765.82;11893.97;15871.86;11893.97
drtB3;3698.05;1753.79;1944.25;1753.79
drtB16;30617.96;25673.18;4944.78;25673.18
drtB0;47130.13;21362.4;25767.73;21362.4
drtB1;36268.35;28633;7635.36;31840.1
drtB8;160284.87;107112.99;53171.88;147788.27
drtB9;4775.13;2913.31;1861.83;2913.31
drtB6;9622.79;5908.3;3714.49;5908.3
drtB7;87414.2;45035.14;42379.06;60524.84
drtB4;0;0;0;0
drtB5;19942.01;10956.52;8985.49;10956.52
drtB10;51945.63;26066.65;25878.98;26066.65
drtB11;31329.31;13842.69;17486.62;13842.69
drtB12;25040.39;15925.13;9115.26;15925.13
drtB13;48687.01;39466.44;9220.56;40092.27
drtB14;8395.68;3863.6;4532.08;3863.6
