departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
929.0;31144040261-2;drtE3;34951902_0;387618.28;3950773.84;846599943_0_r;379628.51;3951061.49;359.0;1968.0;680.0;9164.14;8648.12;-8.05;1829;3656.06
1223.0;31157191992-5;drtE3;155224457_1;382632.83;3950367.19;263041982_1;376590.2;3950937.76;484.0;2356.0;649.0;7204.85;6894.4;-6.83;2123;3848.63
2718.0;31143035672-2;drtE38;107995138_0;378934.01;3950152.39;96400260_0_r;379044.14;3949566;252.0;3090.0;120.0;812.23;812.23;-2.57;3618;4264.73
21608.0;61362012381-1;drtE28;968482760_0;369369.85;3940229.16;256546677_0;368587.11;3939582.23;666.0;22510.0;236.0;1552.97;1552.97;-3.09;22508;23502.98
22512.0;61357058142-1;drtE28;970493846_0_r;367493.51;3940673.44;32818749_1;367971.61;3942255.59;442.0;23320.0;366.0;2377.96;2377.96;-3.66;23412;24781.66
22531.0;42154005961-2;drtE10;205759117_2;355161.54;3925783.34;205759233_2;355196.44;3925804.82;412.0;23001.0;58.0;348.7;348.7;-2.35;23431;23901.83
22816.0;31147068181-1;drtE40;57582507_0;380668.22;3951270.74;1073412897_0;384938.23;3950743.24;201.0;23412.0;395.0;5075.4;5021.07;-5.51;23716;25161.89
24316.0;31147075541-1;drtE48;115461048_0_r;380969.44;3950860.22;60719572_3;381448.11;3950169.89;189.0;24637.0;132.0;1593.9;1593.9;-3.12;25216;25907.17
25216.0;31046048291-1;drtE43;183870171_0;381765.24;3951746.42;571867819_0;381447.42;3951015.45;324.0;25714.0;174.0;1033.66;1033.66;-2.72;26116;26910.95
25226.0;31157247681-1;drtE1;101725282_0;377901.04;3950919.76;31765012_0_r;377915.69;3946874.85;246.0;26109.0;637.0;5214.84;5214.84;-5.65;26126;28293.8
26122.0;31144037881-1;drtE48;52886047_0;380687.52;3950684.73;854234721_0;383146.65;3951056.74;199.0;26603.0;282.0;3434.28;3434.28;-4.4;27022;28155.81
26128.0;42125016645-1;drtE15;41907925_4;347871.82;3922493.17;1136147348_0_r;345933.35;3923220.82;591.0;27092.0;373.0;2641.4;2641.4;-3.85;27028;28459.05
26165.0;61371017833-1;drtE0;150483974_0;364393.99;3938304.25;32928869_3;363713.45;3939692.77;837.0;27285.0;283.0;2065.24;2065.24;-3.45;27065;28198.52
