vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtE5;38793.34;15218.44;23574.9;15218.44
drtE45;5422.93;1746.76;3676.17;1746.76
drtE6;31903.17;24015.67;7887.5;24015.67
drtE46;33458.17;26554.51;6903.66;26554.51
drtE3;48799.56;25212.11;23587.45;29181.6
drtE47;30170.83;22886.41;7284.42;22886.41
drtE4;0;0;0;0
drtE48;10089.46;3746.73;6342.73;3746.73
drtE1;73018.11;51161.74;21856.37;60790.45
drtE49;34844.33;29496.66;5347.67;37072.98
drtE2;16182.36;8520.91;7661.45;8520.91
drtE0;12409.66;8046.51;4363.15;8046.51
drtE9;15780.46;11849.34;3931.12;11849.34
drtE7;25577.06;17519.57;8057.49;17519.57
drtE8;3072.79;0;3072.79;0
drtE50;39915.16;28045.86;11869.3;28045.86
drtE51;19342.61;12723.47;6619.14;12723.47
drtE52;0;0;0;0
drtE53;11330.98;10221.56;1109.42;14844.44
drtE10;57973.44;14786.13;43187.31;14786.13
drtE11;0;0;0;0
drtE34;36454.57;7174.09;29280.48;7174.09
drtE35;6348.71;0;6348.71;0
drtE36;7476.74;6354.82;1121.91;6354.82
drtE37;16792.46;8151.22;8641.24;8151.22
drtE38;64290.02;41950.13;22339.9;41950.13
drtE39;38632.38;1879.08;36753.3;1879.08
drtE40;7316.59;6465.89;850.7;6465.89
drtE41;13070.77;3519.25;9551.53;3519.25
drtE42;15594.54;12148.39;3446.15;12148.39
drtE43;0;0;0;0
drtE44;2915.32;2586.62;328.71;2586.62
drtE23;12910.86;6612.54;6298.32;6612.54
drtE24;20838.24;15787.43;5050.81;15787.43
drtE25;7034.98;2509.13;4525.85;2509.13
drtE26;38097.38;29108.97;8988.41;29108.97
drtE27;15834.53;13052.05;2782.48;13052.05
drtE28;25970.21;10658.38;15311.83;10658.38
drtE29;29050.95;9360.5;19690.45;9360.5
drtE30;34441.06;20600.71;13840.35;20600.71
drtE31;21171.7;18758.93;2412.77;28658.12
drtE32;14333.41;5803.84;8529.57;5803.84
drtE33;8395.7;7801.32;594.38;7801.32
drtE12;13420.42;9527.53;3892.89;9527.53
drtE13;39887.25;24252.22;15635.03;24252.22
drtE14;5015.74;2983.92;2031.82;2983.92
drtE15;40259.05;7178.5;33080.55;7178.5
drtE16;35080.92;26743.66;8337.26;28789.87
drtE17;39204.15;24280.15;14924.01;24280.15
drtE18;33411.65;18088.28;15323.37;18088.28
drtE19;46782.77;33598.2;13184.57;41071.52
drtE20;26576.67;17347.87;9228.79;17347.87
drtE21;25584.89;8189.72;17395.17;8189.72
drtE22;8825.67;8219.02;606.65;8219.02
