departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
30.0;31157237041-2;drtE48;306095928_0;381539.94;3950997.67;107746641_0_r;378832.3;3948876.67;150.0;591.0;411.0;5574.03;5574.03;-3.9;930;2422.23
32.0;42124022751-4;drtE39;80141194_0;338928.17;3915560.19;34916619_0;351311.83;3923229.25;631.0;2318.0;1655.0;16424.6;16424.6;-11.5;932;6017.31
32.0;31082004471-2;drtE23;39436612_0;382897.96;3950387.24;133287966_1;390859.5;3947975.29;87.0;746.0;627.0;10088.57;10088.57;-7.06;932;3070.32
620.0;31124112811-4;drtE3;653751890_0_r;386379.29;3951783.22;72453619_0;376444.98;3943671.22;310.0;2255.0;1325.0;16658.12;16312.52;-11.42;1520;4811.88
926.0;31124037151-2;drtE3;182823065_0;382638.94;3946930.55;154464490_0_r;379565.65;3945041.67;604.0;1868.0;338.0;3969.5;3969.5;-2.78;1826;2874.63
1217.0;31147052413-4;drtE40;39393243_3;381157.12;3950476.01;65419351_0;380942.8;3951444.35;131.0;1508.0;160.0;1946.85;1946.85;-1.36;2117;2877.55
1223.0;31056004321-2;drtE37;48391641_0;382127.6;3947099.25;232807614_3;386658.87;3952269.87;250.0;2172.0;699.0;11456.12;11456.12;-8.02;2123;4448.94
1223.0;31157191992-5;drtE33;155224457_1;382632.83;3950367.19;263041982_1;376590.2;3950937.76;110.0;1885.0;552.0;6904.67;6904.67;-4.83;2123;3885.25
1807.0;31047053301-3;drtE48;32122784_3;377776.75;3948018.86;157415978_0_r;384451.78;3950293.08;261.0;2601.0;533.0;7857.06;7857.06;-5.5;2707;4531.63
1823.0;31123045483-2;drtE35;199121805_1;377386.59;3947270.77;248924729_0;374731.28;3950101.6;305.0;2539.0;411.0;4891.74;4891.74;-3.42;2723;4225.56
1825.0;31124031991-2;drtE17;1108117724_0;387110.26;3946619.6;58799366_12;376440.11;3945362.55;270.0;3312.0;1217.0;13652.03;13547.79;-9.48;2725;6113.33
1826.0;31157185231-3;drtE17;23646664_0;382611.57;3946807.88;206645191_0;374089.71;3949251.18;740.0;3975.0;1409.0;14413.35;12356.03;-8.65;2726;5374.93
1831.0;32084034671-4;drtE5;125775433_2;371949.34;3947387.97;109158355_0_r;371694.39;3948290.22;176.0;2214.0;207.0;1239.93;1207.81;-0.85;2731;3623.39
1851.0;31127124241-6;drtE27;39629166_0_r;387832.08;3947810.9;1096443149_0;378402.92;3944700.27;284.0;2963.0;828.0;11282.22;11282.22;-7.9;2751;5441.1
2442.0;31157208721-2;drtE43;39433614_2;381788.82;3950810.54;261623835_0;373526.27;3952935.1;109.0;3593.0;1042.0;16339.76;16339.76;-11.44;3342;6723.45
2718.0;31143035672-2;drtE38;107995138_0;378934.01;3950152.39;96400260_0_r;379044.14;3949566;252.0;3090.0;120.0;812.23;812.23;-0.57;3618;4261.68
3032.0;31124023311-6;drtE24;41857233_0;382610.89;3947593.31;73172411_0;378114.43;3944119.95;217.0;3924.0;675.0;8276.55;6601.88;-4.62;3932;5610.22
3338.0;31123028081-3;drtE24;330038902_0;383114.78;3946875.6;291824531_0;377442.37;3944416.43;161.0;4206.0;707.0;7820.89;7485.43;-5.24;4238;6075.16
