runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;21;255.62;684;672.9;324;203;95.24;100;367.67;4589.1;4246.17;623.29;2.97;0;0
NA;2;42;220.19;684;556.35;276;178.5;97.62;100;367.48;4417.49;4183.81;587.67;2.93;0;0
NA;3;59;243.36;787;628;306;199;94.92;100;388.92;4334.66;4094.67;632.27;2.87;0;0
NA;4;65;247.08;787;562.4;303;220;96.92;100;422.66;4763.18;4556.9;669.74;3.19;0;0
NA;5;85;261.34;787;622.9;308;224;95.29;100;455.91;5188.11;4864.76;717.25;3.41;0;0
NA;6;89;252.07;787;568.5;295;221;97.75;100;439.69;5091.77;4855.15;691.75;3.4;0;0
NA;7;89;247.48;569;460.5;300;225;100;100;442.55;5177.01;4941.67;690.03;3.46;0;0
NA;8;104;284.46;1060;636.5;350.75;237;94.23;97.12;527.38;5694.1;4994.44;811.85;3.5;0;0
NA;9;101;239.61;608;425.2;287.5;230;99.01;100;468.33;5519.28;5204.87;707.94;3.64;0;0
NA;10;97;273.88;921;646.2;329;248;94.85;98.97;508.22;5695.74;5161.57;782.09;3.61;1;0.01
NA;11;89;276.87;889;685.5;326.5;247;92.13;100;521.45;5980.85;5274.37;798.31;3.69;1;0.01
NA;12;94;274.66;831;675.25;330.75;238.5;93.62;100;546.68;6025.09;5235.34;821.34;3.66;1;0.01
NA;13;97;300.87;920;777.9;367;241;91.75;97.94;524.84;5993.08;5391.44;825.7;3.77;0;0
NA;14;98;289.96;913;749.9;347.5;236;90.82;98.98;554.4;6550.32;5566.67;844.36;3.9;0;0
NA;15;97;279.79;913;578.7;346;264;96.91;98.97;524.95;6095.73;5464.37;804.74;3.83;1;0.01
NA;16;98;284.2;900;633.9;354.25;259;94.9;98.98;492.34;5695.73;5292.23;776.54;3.7;1;0.01
NA;17;105;277.81;883;684.7;325;249;92.38;100;473.09;5531.67;5088.23;750.9;3.56;1;0.01
NA;18;90;283.64;816;604.45;376.5;232;95.56;100;463.8;5426.49;5203.07;747.44;3.64;1;0.01
NA;19;102;281.54;860;659.45;324.25;238.5;94.12;100;510.25;5863.13;5382.43;791.79;3.77;0;0
NA;20;96;271.9;805;641.35;317;225.5;94.79;100;520.54;5939.38;5533.82;792.44;3.87;1;0.01
