runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;9;388.56;724;724;443;382;88.89;100;276.89;3170.94;3170.94;665.44;2.22;0;0
NA;2;20;335.5;738;730.05;423.75;290.5;95;100;315.85;2880.87;2880.87;651.35;2.02;0;0
NA;3;33;316.55;656;602.1;431;302;96.97;100;344.88;3007.07;2981.22;661.42;2.09;0;0
NA;4;39;306.51;656;579;411;282;97.44;100;429.59;4069.78;4047.91;736.1;2.83;0;0
NA;5;45;310.31;656;545.7;413.5;290;97.78;100;481.91;4580.88;4561.01;792.22;3.19;0;0
NA;6;43;370.14;1275;718.8;434;339;88.37;97.67;556.72;4926.79;4877.98;926.86;3.41;0;0
NA;7;42;368;960;747.65;448.75;365.5;90.48;97.62;599.5;5662.08;5632.94;967.5;3.94;0;0
NA;8;35;365.97;960;798.4;439;348;91.43;97.14;699.74;6929.32;6891.66;1065.71;4.82;0;0
NA;9;36;376.11;920;849.45;461.75;350;86.11;97.22;715;6837.05;6790.19;1091.11;4.75;0;0
NA;10;38;329.76;671;644.4;371.25;316;92.11;100;643.87;6435.84;6431.41;973.63;4.5;0;0
NA;11;41;327.93;639;549.8;410;305;97.56;100;539.49;5253.51;5251.02;867.41;3.68;0;0
NA;12;43;339.93;743;622;440;303;95.35;100;472.05;4327.54;4283.48;811.98;3;0;0
NA;13;46;350.13;741;616.85;452;338;95.65;100;508.78;4539.89;4527.38;858.91;3.17;0;0
NA;14;42;336.45;760;528.85;444.25;325;97.62;100;527.52;4821.75;4813.26;863.98;3.37;0;0
NA;15;43;389.09;884;844.8;478;358;88.37;100;529.88;4422.84;4277.27;918.98;2.99;0;0
NA;16;43;423.58;803;784.2;563;403;79.07;100;516.19;4107.3;4099.15;939.77;2.87;0;0
NA;17;43;396.07;884;801.2;516;389;88.37;100;491.02;3972.58;3971.73;887.09;2.78;0;0
NA;18;41;383.8;779;721.7;469;385;87.8;100;507.71;4034.87;4034.2;891.51;2.82;0;0
NA;19;42;384.36;881;733.85;490;371;85.71;100;539.1;4389.49;4388.83;923.45;3.07;0;0
NA;20;44;409.05;1020;738.75;536.5;388;84.09;97.73;545.16;4713.74;4710.43;954.2;3.3;0;0
