runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;1;468;468;468;468;468;100;100;961;9065.31;9065.31;1429;6.35;0;0
NA;2;3;476.33;574;574;574;520;100;100;950.33;9265.09;9265.09;1426.67;6.49;0;0
NA;3;4;468;574;574;557.25;453.5;100;100;747.75;7296.23;7296.23;1215.75;5.11;0;0
NA;4;5;485.2;582;582;581.5;456;100;100;597.4;5660.07;5660.07;1082.6;3.96;0;0
NA;5;4;368.5;456;456;455.25;403.5;100;100;304;2593.69;2593.69;672.5;1.82;0;0
NA;6;6;452.67;844;844;553;445.5;83.33;100;739.17;6301.35;5269.81;1191.83;3.69;0;0
NA;7;7;465.43;942;942;620;453;71.43;85.71;592.29;5293.21;5235.85;1057.71;3.67;0;0
NA;8;6;434.5;885;885;686.25;297;66.67;100;601;5243;5190.01;1035.5;3.63;1;0.14
NA;9;6;458.67;885;885;686.25;369.5;66.67;100;604.33;5247.69;5194.69;1063;3.64;1;0.14
NA;10;6;514;826;826;751;512;50;100;658.5;5714.15;5656.48;1172.5;3.96;1;0.14
NA;11;7;530.14;727;727;726;620;42.86;100;591;5147.09;5091.52;1121.14;3.56;1;0.12
NA;12;8;638.88;1337;1337;711.75;579;62.5;87.5;731.38;5330.86;4172.2;1370.25;2.92;2;0.2
NA;13;6;577.67;735;735;683.25;599.5;50;100;399;3116.83;3095.74;976.67;2.17;1;0.14
NA;14;6;599.67;726;726;681;599.5;50;100;500.83;4003.08;3936.15;1100.5;2.76;1;0.14
NA;15;3;579.33;595;595;595;572;100;100;595.67;5057.02;4965.35;1175;3.48;2;0.4
NA;16;6;588;853;853;712.75;571.5;66.67;100;423.83;3509.39;3463.56;1011.83;2.42;0;0
NA;17;8;579.5;853;853;702;583;62.5;100;412.25;3337;3302.62;991.75;2.31;0;0
NA;18;11;597.27;854;854;698;572;63.64;100;681.45;6637.71;6612.71;1278.73;4.63;0;0
NA;19;10;623.3;854;854;751;626.5;50;100;681.9;6658.71;6631.21;1305.2;4.64;0;0
NA;20;11;595.27;854;854;710;601;45.45;100;611.55;5951.32;5951.32;1206.82;4.17;0;0
