runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;1;505;505;505;505;505;100;100;486;4832.47;4832.47;991;3.38;0;0
NA;2;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;3;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;4;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;5;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;6;3;485.33;516;516;516;511;100;100;555.33;6092.54;6092.54;1040.67;4.26;0;0
NA;7;4;441.75;512;512;511.75;448.5;100;100;571.75;5991.11;5991.11;1013.5;4.19;0;0
NA;8;6;508.33;788;788;582.5;502;83.33;100;561.33;5995.18;5995.18;1069.67;4.2;0;0
NA;9;6;507;788;788;582.5;502;83.33;100;561.33;5995.18;5995.18;1068.33;4.2;0;0
NA;10;7;370.71;514;514;511;350;100;100;542.29;5510.04;5510.04;913;3.86;0;0
NA;11;6;374.17;514;514;511.75;382;100;100;503.17;4986.99;4986.99;877.33;3.49;0;0
NA;12;6;435.83;723;723;564;411;83.33;100;469.17;3943.43;3943.43;905;2.76;0;0
NA;13;4;482.25;571;571;556;487;100;100;372.25;3362.83;3362.83;854.5;2.35;0;0
NA;14;3;469;571;571;571;463;100;100;388;3721.5;3721.5;857;2.61;0;0
NA;15;3;577;914;914;914;444;66.67;66.67;569.67;6725.91;6725.91;1146.67;4.71;0;0
NA;16;4;500;723;723;658;452;75;100;493;3934.73;3934.73;993;2.75;0;0
NA;17;5;396.6;463;463;452;402;100;100;328.6;2863.99;2863.99;725.2;2;0;0
NA;18;3;462.67;570;570;570;442;100;100;290.33;3077.39;3077.39;753;2.15;0;0
NA;19;1;325;325;325;325;325;100;100;64;398.53;398.53;389;0.28;0;0
NA;20;1;274;274;274;274;274;100;100;519;5356.42;5356.42;793;3.75;0;0
